declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,deaths_direct,injuries_direct,damage_property_usd,damage_crops_usd,event_types,event_count,total_damage_usd
NH-2003-09,2003-09,Craig R. Benson,An order declaring a limited state of emergency,2003-08-11,https://www.sos.nh.gov/executive-orders,C,county/county-equivalent,11,HILLSBOROUGH,0,9,0.0,0.0,Lightning,1,0.0
NH-2003-09,2003-09,Craig R. Benson,An order declaring a limited state of emergency,2003-08-11,https://www.sos.nh.gov/executive-orders,C,county/county-equivalent,1,BELKNAP,0,4,0.0,0.0,Lightning,1,0.0
NH-2003-09,2003-09,Craig R. Benson,An order declaring a limited state of emergency,2003-08-11,https://www.sos.nh.gov/executive-orders,C,county/county-equivalent,5,CHESHIRE,0,1,500000.0,0.0,Flash Flood,1,500000.0
NH-2003-09,2003-09,Craig R. Benson,An order declaring a limited state of emergency,2003-08-11,https://www.sos.nh.gov/executive-orders,C,county/county-equivalent,3,CARROLL,0,0,0.0,0.0,Thunderstorm Wind,2,0.0
NH-2003-09,2003-09,Craig R. Benson,An order declaring a limited state of emergency,2003-08-11,https://www.sos.nh.gov/executive-orders,C,county/county-equivalent,13,MERRIMACK,0,0,0.0,0.0,Flash Flood,1,0.0
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,12,EASTERN HILLSBOROUGH,0,0,15000000.0,0.0,Ice Storm,1,15000000.0
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,15,WESTERN AND CENTRAL HILLSBOROUGH,0,0,12000000.0,0.0,Ice Storm,1,12000000.0
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,11,CHESHIRE,0,0,9000000.0,0.0,Ice Storm,1,9000000.0
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,13,INTERIOR ROCKINGHAM,0,0,1620000.0,0.0,Ice Storm,1,1620000.0
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,8,MERRIMACK,0,0,1580000.0,0.0,Ice Storm,1,1580000.0
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,7,SULLIVAN,0,0,786000.0,0.0,Ice Storm,1,786000.0
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,9,BELKNAP,0,0,359000.0,0.0,Ice Storm,1,359000.0
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,14,COASTAL ROCKINGHAM,0,0,326000.0,0.0,Ice Storm,1,326000.0
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,5,SOUTHERN GRAFTON,0,0,225000.0,0.0,Ice Storm,1,225000.0
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,6,SOUTHERN CARROLL,0,0,166000.0,0.0,Ice Storm,1,166000.0
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,2,SOUTHERN COOS,0,0,110000.0,0.0,Winter Storm,1,110000.0
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,1,NORTHERN COOS,0,0,55000.0,0.0,Winter Storm,1,55000.0
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,10,STRAFFORD,0,0,1460.0,0.0,Ice Storm,1,1460.0
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,3,NORTHERN GRAFTON,0,0,0.0,0.0,Ice Storm,1,0.0
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,4,NORTHERN CARROLL,0,0,0.0,0.0,Ice Storm,1,0.0
NH-2013-03,2013-03,Margaret Wood Hassan,An Order declaring a State of Emergency due to Severe Winter Storm,2013-02-08,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,1,NORTHERN COOS,0,0,0.0,0.0,Heavy Snow,1,0.0
NH-2013-03,2013-03,Margaret Wood Hassan,An Order declaring a State of Emergency due to Severe Winter Storm,2013-02-08,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,2,SOUTHERN COOS,0,0,0.0,0.0,Heavy Snow,1,0.0
NH-2013-03,2013-03,Margaret Wood Hassan,An Order declaring a State of Emergency due to Severe Winter Storm,2013-02-08,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,3,NORTHERN GRAFTON,0,0,0.0,0.0,Heavy Snow,1,0.0
NH-2013-03,2013-03,Margaret Wood Hassan,An Order declaring a State of Emergency due to Severe Winter Storm,2013-02-08,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,4,NORTHERN CARROLL,0,0,0.0,0.0,Heavy Snow,1,0.0
NH-2013-03,2013-03,Margaret Wood Hassan,An Order declaring a State of Emergency due to Severe Winter Storm,2013-02-08,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,5,SOUTHERN GRAFTON,0,0,0.0,0.0,Heavy Snow,1,0.0
NH-2013-03,2013-03,Margaret Wood Hassan,An Order declaring a State of Emergency due to Severe Winter Storm,2013-02-08,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,6,SOUTHERN CARROLL,0,0,0.0,0.0,Heavy Snow,1,0.0
NH-2013-03,2013-03,Margaret Wood Hassan,An Order declaring a State of Emergency due to Severe Winter Storm,2013-02-08,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,7,SULLIVAN,0,0,0.0,0.0,Heavy Snow,1,0.0
NH-2013-03,2013-03,Margaret Wood Hassan,An Order declaring a State of Emergency due to Severe Winter Storm,2013-02-08,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,8,MERRIMACK,0,0,0.0,0.0,Heavy Snow,1,0.0
NH-2013-03,2013-03,Margaret Wood Hassan,An Order declaring a State of Emergency due to Severe Winter Storm,2013-02-08,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,9,BELKNAP,0,0,0.0,0.0,Heavy Snow,1,0.0
NH-2013-03,2013-03,Margaret Wood Hassan,An Order declaring a State of Emergency due to Severe Winter Storm,2013-02-08,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,10,STRAFFORD,0,0,0.0,0.0,Blizzard,1,0.0
NH-2013-03,2013-03,Margaret Wood Hassan,An Order declaring a State of Emergency due to Severe Winter Storm,2013-02-08,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,11,CHESHIRE,0,0,0.0,0.0,Heavy Snow,1,0.0
NH-2013-03,2013-03,Margaret Wood Hassan,An Order declaring a State of Emergency due to Severe Winter Storm,2013-02-08,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,12,EASTERN HILLSBOROUGH,0,0,0.0,0.0,"Blizzard, Heavy Snow",2,0.0
NH-2013-03,2013-03,Margaret Wood Hassan,An Order declaring a State of Emergency due to Severe Winter Storm,2013-02-08,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,13,INTERIOR ROCKINGHAM,0,0,0.0,0.0,Blizzard,1,0.0
NH-2013-03,2013-03,Margaret Wood Hassan,An Order declaring a State of Emergency due to Severe Winter Storm,2013-02-08,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,14,COASTAL ROCKINGHAM,0,0,0.0,0.0,Blizzard,1,0.0
NH-2013-03,2013-03,Margaret Wood Hassan,An Order declaring a State of Emergency due to Severe Winter Storm,2013-02-08,https://www.sos.nh.gov/executive-orders,Z,NWS forecast zone,15,WESTERN AND CENTRAL HILLSBOROUGH,0,0,0.0,0.0,Heavy Snow,1,0.0
NH-2013-08,2013-08,Margaret Wood Hassan,An Order Declaring a State of Emergency due to Severe Weather,2013-06-26,https://www.sos.nh.gov/executive-orders,C,county/county-equivalent,1,BELKNAP,0,30,0.0,0.0,Lightning,1,0.0
NH-2013-08,2013-08,Margaret Wood Hassan,An Order Declaring a State of Emergency due to Severe Weather,2013-06-26,https://www.sos.nh.gov/executive-orders,C,county/county-equivalent,5,CHESHIRE,0,0,100000.0,0.0,Flash Flood,1,100000.0
NH-2013-08,2013-08,Margaret Wood Hassan,An Order Declaring a State of Emergency due to Severe Weather,2013-06-26,https://www.sos.nh.gov/executive-orders,C,county/county-equivalent,3,CARROLL,0,0,0.0,0.0,"Hail, Thunderstorm Wind",2,0.0
NH-2013-08,2013-08,Margaret Wood Hassan,An Order Declaring a State of Emergency due to Severe Weather,2013-06-26,https://www.sos.nh.gov/executive-orders,C,county/county-equivalent,7,COOS,0,0,0.0,0.0,Hail,1,0.0
