declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
NH-2024-03,NH,,2024-03,executive_order,termination,"An order related to rescinding certain executive orders that have been become outdated, superseded, codified in law, or are suited to be the subject of consideration in the context of the advent of an incoming administration.",2024-12-20,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2024-03.pdf,https://www.sos.nh.gov/executive-orders
NH-2023-07,NH,,2023-07,executive_order,extension,"An order Establishing the ""Don't Overload the Code"" Initiative to Extend the 603 Area Code and to Prepare New Hampshire Businesses for the Eventuality of an Additional Area Code.",2023-10-31,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2023-07.pdf,https://www.sos.nh.gov/executive-orders
NH-2022-07,NH,,2022-07,executive_order,amendment,An order amending Executive Order 2022-6,2022-08-15,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2022-07.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-60,NH,,2020-04 #60,executive_order,termination,Termination of Emergency Order #10,2020-07-27,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-60.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-53,NH,,2020-04 #53,executive_order,amendment,Amendment to Emergency Order #36 (Ensuring Worker's Compensation Coverage for New Hampshire First Responders Exposed to COVID-19),2020-06-17,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-53.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-13,NH,,2020-13,executive_order,amendment,An order amending Executive Order 2020-11,2020-06-16,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-13.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-19,NH,,2020-04 #19,executive_order,extension,Extension of Emergency Order #1 (temporary remote instructions and support for public K-12 school districts,2020-05-04,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-19.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-55,NH,,2020-04 #55,executive_order,extension,Extension of COVID-19 Long Term Care Stabilization Program,2020-04-16,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-55.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-07,NH,,2020-07,executive_order,amendment,An order amending Executive Order 2020-06,2020-04-14,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-07.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-58,NH,,2020-04 #58,executive_order,termination,An Order Terminating Emergency Order #3,2020-03-17,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-58.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-51,NH,,2020-04 #51,executive_order,termination,An order terminating Emergency Orders #4 and #24,2020-03-17,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-51.pdf,https://www.sos.nh.gov/executive-orders
NH-2021-10,NH,,2021-10,executive_order,extension,Twenty-first Extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2021-10.pdf,https://www.sos.nh.gov/executive-orders
NH-2021-08,NH,,2021-08,executive_order,extension,Twentieth extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2021-08.pdf,https://www.sos.nh.gov/executive-orders
NH-2021-06,NH,,2021-06,executive_order,extension,Nineteenth Extension of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2021-06.pdf,https://www.sos.nh.gov/executive-orders
NH-2021-05,NH,,2021-05,executive_order,extension,Eighteenth Extension of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2021-05.pdf,https://www.sos.nh.gov/executive-orders
NH-2021-04,NH,,2021-04,executive_order,extension,Seventeenth Extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2021-04.pdf,https://www.sos.nh.gov/executive-orders
NH-2021-02,NH,,2021-02,executive_order,extension,Sixteenth Extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2021-02.pdf,https://www.sos.nh.gov/executive-orders
NH-2021-01,NH,,2021-01,executive_order,extension,Fifteenth Extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2021-01.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-25,NH,,2020-25,executive_order,extension,Fourteenth Extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-25.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-24,NH,,2020-24,executive_order,extension,Thirteenth Extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-24.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-23,NH,,2020-23,executive_order,extension,Twelfth Extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-23.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-21,NH,,2020-21,executive_order,extension,Eleventh Extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-21.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-20,NH,,2020-20,executive_order,extension,Tenth Extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-20.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-18,NH,,2020-18,executive_order,extension,Ninth Extension of State pf Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-18.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-17,NH,,2020-17,executive_order,extension,Eighth Extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-17.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-16,NH,,2020-16,executive_order,extension,Seventh Extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-16.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-15,NH,,2020-15,executive_order,extension,Sixth Extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-15.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-14,NH,,2020-14,executive_order,extension,Fifth Extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-14.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-10,NH,,2020-10,executive_order,extension,Fourth Extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-10.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-09,NH,,2020-09,executive_order,extension,Third Extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-09.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-08,NH,,2020-08,executive_order,extension,Second Extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-08.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-05,NH,,2020-05,executive_order,extension,Extension of State of Emergency Declared in Executive Order 2020-04,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-05.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-89,NH,,2020-04 #89,executive_order,amendment,Second Amendment and Restatement of Emergency Order #64 (Temporary Remote Instructions and Support and Hybrid Instruction for K-12 School Districts),2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-89.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-88,NH,,2020-04 #88,executive_order,extension,An order regarding travel guidance and extending Emergency Order #52,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-88.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-87,NH,,2020-04 #87,executive_order,extension,Extension of Emergency Order #74,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-87.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-85,NH,,2020-04 #85,executive_order,amendment,An order amending and restating Order #64 (Temporary Remote Instruction and Support and Hybrid Instruction for K-12 School Districts),2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-85.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-84,NH,,2020-04 #84,executive_order,termination,An order rescinding Emergency Orders 37 and 77,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-84.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-82,NH,,2020-04 #82,executive_order,extension,An order regarding travel guidance and extending Emergency Order #52,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-82.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-81,NH,,2020-04 #81,executive_order,extension,Extension of Emergency Order #74,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-81.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-77,NH,,2020-04 #77,executive_order,amendment,An order amending and restating Emergency Order #37 (An Order relative to Executive Branch hiring and out-of-state travel),2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-77.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-70,NH,,2020-04 #70,executive_order,extension,An order extending Emergency Order #52,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-70.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-66,NH,,2020-04 #66,executive_order,extension,An order extending Emergency Order #52,2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-66.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-49,NH,,2020-04 #49,executive_order,extension,An order extending Emergency Order #40 (An order extending and modifying Emergency Order #17(Closure of non-essential businesses and requiring Granite Staters to stay at home)),2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-49.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-40,NH,,2020-04 #40,executive_order,extension,An order extending and modifying Emergency Order #17 (Closure of non-essential businesses and requiring Granite Staters to stay at home) ( Exhibit A ) ( Exhibit B ) ( Exhibit C ) ( Exhibit D ),2020-03-13,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-40.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04-EO-26,NH,,2020-04 #26,executive_order,extension,"Extension of Emergency Orders 2,6 and 16",2020-03-11,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04-26.pdf,https://www.sos.nh.gov/executive-orders
NH-2020-04,NH,,2020-04,emergency_declaration,declaration,An Order declaring a state of emergency due to Novel Coronavirus (COVID-19),2020-01-23,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2020-04.pdf,https://www.sos.nh.gov/executive-orders
NH-2021-03,NH,,2021-03,executive_order,amendment,An order amending and restating Executive Order 2019-06 (An order preparing New Hampshire for future offshore wind development and the Bureau of Ocean Energy Management (BOEM) Offshore Renewable Energy Task Force),2019-12-03,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/sununu-2021-03.pdf,https://www.sos.nh.gov/executive-orders
NH-2006-06,NH,,2006-06,executive_order,extension,Continuing Emergency Prescription Drug Relief - Renewal of Emergency Order.,2006-01-06,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/lynch2006-6.pdf,https://www.sos.nh.gov/executive-orders
NH-2006-05,NH,,2006-05,executive_order,extension,Continuing Emergency Prescription Drug Relief - Renewal of Emergency Order.,2006-01-06,,false,nh_secretary_of_state_executive_order_registry,pdf,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/lynch2006-5.pdf,https://www.sos.nh.gov/executive-orders
