source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
NH-2024-03,NH-2003-01,terminates,Executive Order 2003-01,title_or_document_text,high
NH-2024-03,NH-2003-03,terminates,Executive Order 2003-03,title_or_document_text,high
NH-2024-03,NH-2003-04,terminates,Executive Order 2003-04,title_or_document_text,high
NH-2024-03,NH-2003-05,terminates,Executive Order 2003-05,title_or_document_text,high
NH-2024-03,NH-2003-06,terminates,Executive Order 2003-06,title_or_document_text,high
NH-2024-03,NH-2003-07,terminates,Executive Order 2003-07,title_or_document_text,high
NH-2024-03,NH-2003-08,terminates,Executive Order 2003-08,title_or_document_text,high
NH-2024-03,NH-2003-09,terminates,Executive Order 2003-09,title_or_document_text,high
NH-2024-03,NH-2003-10,terminates,Executive Order 2003-10,title_or_document_text,high
NH-2024-03,NH-2004-01,terminates,Executive Order 2004-01,title_or_document_text,high
NH-2024-03,NH-2004-02,terminates,Executive Order 2004-02,title_or_document_text,high
NH-2024-03,NH-2004-03,terminates,Executive Order 2004-03,title_or_document_text,high
NH-2024-03,NH-2004-05,terminates,Executive Order 2004-05,title_or_document_text,high
NH-2024-03,NH-2004-06,terminates,Executive Order 2004-06,title_or_document_text,high
NH-2024-03,NH-2004-07,terminates,Executive Order 2004-07,title_or_document_text,high
NH-2024-03,NH-2004-08,terminates,Executive Order 2004-08,title_or_document_text,high
NH-2024-03,NH-2004-09,terminates,Executive Order 2004-09,title_or_document_text,high
NH-2024-03,NH-2005-02,terminates,Executive Order 2005-02,title_or_document_text,high
NH-2024-03,NH-2005-03,terminates,Executive Order 2005-03,title_or_document_text,high
NH-2024-03,NH-2005-04,terminates,Executive Order 2005-04,title_or_document_text,high
NH-2024-03,NH-2005-05,terminates,Executive Order 2005-05,title_or_document_text,high
NH-2024-03,NH-2005-06,terminates,Executive Order 2005-06,title_or_document_text,high
NH-2024-03,NH-2006-01,terminates,Executive Order 2006-01,title_or_document_text,high
NH-2024-03,NH-2006-02,terminates,Executive Order 2006-02,title_or_document_text,high
NH-2024-03,NH-2006-03,terminates,Executive Order 2006-03,title_or_document_text,high
NH-2024-03,NH-2006-04,terminates,Executive Order 2006-04,title_or_document_text,high
NH-2024-03,NH-2006-05,terminates,Executive Order 2006-05,title_or_document_text,high
NH-2024-03,NH-2006-06,terminates,Executive Order 2006-06,title_or_document_text,high
NH-2024-03,NH-2006-08,terminates,Executive Order 2006-08,title_or_document_text,high
NH-2024-03,NH-2006-10,terminates,Executive Order 2006-10,title_or_document_text,high
NH-2024-03,NH-2006-11,terminates,Executive Order 2006-11,title_or_document_text,high
NH-2024-03,NH-2007-01,terminates,Executive Order 2007-01,title_or_document_text,high
NH-2024-03,NH-2007-02,terminates,Executive Order 2007-02,title_or_document_text,high
NH-2024-03,NH-2007-03,terminates,Executive Order 2007-03,title_or_document_text,high
NH-2024-03,NH-2008-01,terminates,Executive Order 2008-01,title_or_document_text,high
NH-2024-03,NH-2008-02,terminates,Executive Order 2008-02,title_or_document_text,high
NH-2024-03,NH-2008-03,terminates,Executive Order 2008-03,title_or_document_text,high
NH-2024-03,NH-2008-04,terminates,Executive Order 2008-04,title_or_document_text,high
NH-2024-03,NH-2008-05,terminates,Executive Order 2008-05,title_or_document_text,high
NH-2024-03,NH-2008-06,terminates,Executive Order 2008-06,title_or_document_text,high
NH-2024-03,NH-2008-07,terminates,Executive Order 2008-07,title_or_document_text,high
NH-2024-03,NH-2008-08,terminates,Executive Order 2008-08,title_or_document_text,high
NH-2024-03,NH-2008-09,terminates,Executive Order 2008-09,title_or_document_text,high
NH-2024-03,NH-2008-10,terminates,Executive Order 2008-10,title_or_document_text,high
NH-2024-03,NH-2008-11,terminates,Executive Order 2008-11,title_or_document_text,high
NH-2024-03,NH-2008-12,terminates,Executive Order 2008-12,title_or_document_text,high
NH-2024-03,NH-2009-01,terminates,Executive Order 2009-01,title_or_document_text,high
NH-2024-03,NH-2009-02,terminates,Executive Order 2009-02,title_or_document_text,high
NH-2024-03,NH-2010-01,terminates,Executive Order 2010-01,title_or_document_text,high
NH-2024-03,NH-2010-02,terminates,Executive Order 2010-02,title_or_document_text,high
NH-2024-03,NH-2010-03,terminates,Executive Order 2010-03,title_or_document_text,high
NH-2024-03,NH-2010-04,terminates,Executive Order 2010-04,title_or_document_text,high
NH-2024-03,NH-2011-01,terminates,Executive Order 2011-01,title_or_document_text,high
NH-2024-03,NH-2011-02,terminates,Executive Order 2011-02,title_or_document_text,high
NH-2024-03,NH-2011-03,terminates,Executive Order 2011-03,title_or_document_text,high
NH-2024-03,NH-2011-04,terminates,Executive Order 2011-04,title_or_document_text,high
NH-2024-03,NH-2011-05,terminates,Executive Order 2011-05,title_or_document_text,high
NH-2024-03,NH-2011-06,terminates,Executive Order 2011-06,title_or_document_text,high
NH-2024-03,NH-2011-07,terminates,Executive Order 2011-07,title_or_document_text,high
NH-2024-03,NH-2012-01,terminates,Executive Order 2012-01,title_or_document_text,high
NH-2024-03,NH-2012-02,terminates,Executive Order 2012-02,title_or_document_text,high
NH-2024-03,NH-2012-03,terminates,Executive Order 2012-03,title_or_document_text,high
