declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
NJ-SHERRILL-EO-15,Sherrill,15,"WHEREAS, Executive Order No. 14, declaring a State of Emergency across all 21 counties in New Jersey, was issued on Saturday, February 21, 2026, due to the anticipated statewide impact of a severe winter storm, including blizzard conditions, and heavy and widespread snow accumulations; and",2026-02-25,https://www.nj.gov/infobank/eo/057sherrill/pdf/EO-15.pdf
NJ-SHERRILL-EO-14,Sherrill,14,,2026-02-22,https://www.nj.gov/infobank/eo/057sherrill/pdf/EO-14.pdf
NJ-SHERRILL-EO-9,Sherrill,9,", declaring a State of Emergency across all 21 counties in New Jersey, was issued on Friday, January 23, 2026, due to the anticipated statewide impact of a severe winter storm, including significant snowfall, extreme cold temperatures, wind gusts, and icy conditions; and",2026-01-26,https://www.nj.gov/infobank/eo/057sherrill/pdf/EO-9.pdf
NJ-SHERRILL-EO-8,Sherrill,8,,2026-01-24,https://www.nj.gov/infobank/eo/057sherrill/pdf/EO-8.pdf
NJ-MURPHY-EO-415,Murphy,415,"WHEREAS, Executive Order No. 73, declaring a State of Emergency across all twenty-one (21) counties in New Jersey, was issued on August 25, 2011, due to the severe weather impacts of Hurricane Irene; and",2026-01-16,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-415.pdf
NJ-MURPHY-EO-410,Murphy,410,"WHEREAS, Executive Order No. 409, declaring a State of Emergency across all twenty-one (21) counties in New Jersey, was issued on Friday, December 26, 2025, due to the expected impacts of a winter storm, including snowfall, freezing rain, and sleet; and",2025-12-30,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-410.pdf
NJ-MURPHY-EO-407,Murphy,407,"WHEREAS, Executive Order No. 406, declaring a State of Emergency in Hunterdon, Morris, Passaic, Sussex, and Warren Counties in New Jersey, was issued on Monday, December 1, 2025, due to the expected impacts of a winter storm, including snowfall, freezing rain, and sleet; and",2025-12-09,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-407.pdf
NJ-MURPHY-EO-406,Murphy,406,"State of Emergency Declared Across Hunterdon, Morris, Passaic, Sussex, and Warren Counties",2025-12-01,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-406.pdf
NJ-MURPHY-EO-400,Murphy,400,"WHEREAS, Executive Order No. 399, declaring a State of Emergency across all twenty-one (21) counties in New Jersey, was issued on Friday, October 10, 2025, due to the impacts of a severe coastal storm, including high winds, coastal flooding, high surf, flash flooding, and coastal erosion; and",2025-10-16,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-400.pdf
NJ-MURPHY-EO-397,Murphy,397,"WHEREAS, Executive Order No. 396, declaring a State of Emergency across all twenty-one (21) counties, was issued on Thursday, August 21, 2025, due to Hurricane Erin’s offshore impacts, including high winds, coastal flooding, high surf, and dangerous rip currents; and",2025-08-27,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-397.pdf
NJ-MURPHY-EO-396,Murphy,396,,2025-08-21,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-396.pdf
NJ-MURPHY-EO-395,Murphy,395,"WHEREAS, Executive Order No. 392, declaring a State of Emergency across all twenty-one (21) counties, was issued on Monday, July 14, 2025, due to severe weather conditions, including intense rainfall, flash flooding, and damaging wind gusts; and",2025-08-08,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-395.pdf
NJ-MURPHY-EO-392,Murphy,392,Declares a State of Emergency across all 21 counties in New Jersey due to flash flooding and severe thunderstorms statewide,2025-07-14,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-392.pdf
NJ-MURPHY-EO-388,Murphy,388,", declaring a State of Emergency in Ocean County, was issued on Wednesday, April 23, 2025, due to a wildfire in the Greenwood Wildlife Management Area near the intersection of Bryant Road and Jones Road in Ocean Township, Ocean County, New Jersey (“the Jones Road Wildfire”); and",2025-05-13,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-388.pdf
NJ-MURPHY-EO-387,Murphy,387,,2025-04-23,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-387.pdf
NJ-MURPHY-EO-380,Murphy,380,"WHEREAS, Executive Order No. 378, declaring a State of Emergency, was issued on Saturday, January 18, 2025, due to the potential for severe winter weather Statewide, including significant snowfall and extreme cold temperatures; and",2025-01-27,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-380.pdf
NJ-MURPHY-EO-378,Murphy,378,"Declares that New Jersey will enter a State of Emergency effective at 8:00 a.m. on Sunday, January 19 in anticipation of significant winter weather.",2025-01-18,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-378.pdf
NJ-MURPHY-EO-374,Murphy,374,The Governor has declared State of Emergency  to allocate more resources in preparation of  winter storm,2025-01-05,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-374.pdf
NJ-MURPHY-EO-365,Murphy,365,"WHEREAS, Executive Order No. 364, declaring a State of Emergency, was issued on August 9, 2024, due to the potential for severe weather impacts from the remnants of Tropical Storm Debby; and",2024-08-12,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-365.pdf
NJ-MURPHY-EO-364,Murphy,364,"Lt. Governor Way announced a State of Emergency effective at 6:00pm on Friday, August 9 in anticipation of severe storms causing hazardous weather conditions including heavy rain, high winds, and flash flooding.",2024-08-09,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-364.pdf
NJ-MURPHY-EO-350,Murphy,350,Governor Murphy Declares State of Emergency in Preparation for Winter Storm,2024-01-08,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-350.pdf
NJ-MURPHY-EO-343,Murphy,343,"WHEREAS, Executive Order No. 342 (2023), declaring a State of Emergency, was issued on September 29, 2023, because of a major storm that began impacting the State on September 28, 2023; and",2023-10-01,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-343.pdf
NJ-MURPHY-EO-342,Murphy,342,Governor Murphy Declares State of Emergency Due to Severe Weather,2023-09-29,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-342.pdf
NJ-MURPHY-EO-336,Murphy,336,Governor Murphy Declares State of Emergency Due to Severe Storms,2023-07-16,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-336.pdf
NJ-MURPHY-EO-322,Murphy,322,Governor Murphy Lifts Storm-Related State of Emergency,2023-03-16,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-322.pdf
NJ-MURPHY-EO-320,Murphy,320,Governor Murphy Declares State of Emergency for Five New Jersey Counties in Preparation for Winter Storm,2023-03-13,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-320.pdf
NJ-MURPHY-EO-317,Murphy,317,"Governor Murphy Sign Executive Order Initiating a Process In Partnership With The State’S Hometown Utilities, Key Stakeholders Including Organized Labor, And The New Jersey Board Of Public Utilities (BPU) To Plan For The Future Of The Natural Gas Utility In New Jersey",2023-02-15,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-317.pdf
NJ-MURPHY-EO-316,Murphy,316,"Governor Murphy Signs Executive Order to Target To Install Zero-Carbon-Emission Space Heating And Cooling Systems In 400,000 Homes And 20,000 Commercial Properties And Make 10% Of All Low-To-Moderate Income (LMI) Properties Electrification-Ready By 2030",2023-02-15,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-316.pdf
NJ-MURPHY-EO-315,Murphy,315,"Governor Murphy Signs Executive Order to Accelerate Target Of 100% Clean Energy By 2035, Defined As 100% Of The Electricity Sold In The State To Come From Clean Sources Of Electricity By January 1, 2035 Through Clean Energy Market Mechanisms, Paired With Support For A Clean Energy Standard In New Jersey",2023-02-15,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-315.pdf
NJ-MURPHY-EO-286,Murphy,286,Governor Murphy Lifts Storm-Related State of Emergency,2022-02-04,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-286.pdf
NJ-MURPHY-EO-285,Murphy,285,Governor Murphy Declares Statewide State of Emergency in Preparation for Expected Winter Storm,2022-01-28,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-285.pdf
NJ-MURPHY-EO-282,Murphy,282,Governor Murphy Lifts Storm-Related States of Emergency,2022-01-13,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-282.pdf
NJ-MURPHY-EO-279,Murphy,279,Governor Murphy Declares Statewide State of Emergency in Preparation for Expected Winter Storm,2022-01-06,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-279.pdf
NJ-MURPHY-EO-278,Murphy,278,"Governor Murphy Declares State of Emergency in Atlantic, Burlington, Cape May, Cumberland, and Ocean Counties in Preparation for Expected Winter Storm",2022-01-02,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-278.pdf
NJ-MURPHY-EO-274,Murphy,274,Governor Murphy Advances Climate Action to Secure New Jersey’s Clean Energy Future,2021-11-10,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-274.pdf
NJ-MURPHY-EO-273,Murphy,273,Governor Murphy Lifts Storm-Related State of Emergency,2021-11-01,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-273.pdf
NJ-MURPHY-EO-272,Murphy,272,Declares State of Emergency in Preparation for Nor’easter Storm,2021-10-25,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-272.pdf
NJ-MURPHY-EO-264,Murphy,264,Governor Murphy Signs Executive Order Instituting Vaccination or Testing Requirement for All Child Care Center Personnel,2021-09-20,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-264.pdf
NJ-MURPHY-EO-260,Murphy,260,Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff to Honor Those Who Lost Their Lives to Tropical Storm Ida,2021-09-07,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-260.pdf
NJ-MURPHY-EO-259,Murphy,259,Governor Murphy Declares State of Emergency in Response to Tropical Storm Ida,2021-09-01,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-259.pdf
NJ-MURPHY-EO-258,Murphy,258,Governor Murphy Directs U.S. and New Jersey Flags to Fly at Half-Staff in Honor of Berkeley Township Beach Patrol Lifeguard Keith Pinto,2021-09-01,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-258.pdf
NJ-MURPHY-EO-251,Murphy,251,Governor Murphy Announces Indoor Mask Requirement for Beginning of 2021-2022 School Year,2021-08-06,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-251.pdf
NJ-MURPHY-EO-226,Murphy,226,Governor Murphy Lifts Storm-Related State of Emergency,2021-02-23,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-226.pdf
NJ-MURPHY-EO-218,Murphy,218,Governor Murphy Declares State of Emergency In Response to Expected Winter Storm,2021-01-31,https://www.nj.gov/infobank/eo/056murphy/pdf/EO-218.pdf
