declaration_id,hazard_category_override,review_note,source_url
NJ-MURPHY-EO-317,exclude,Utility partnership process for infrastructure planning; not a weather emergency,https://www.nj.gov/infobank/eo/
NJ-MURPHY-EO-316,exclude,Clean-energy home heating/cooling policy target; not a weather emergency,https://www.nj.gov/infobank/eo/
NJ-MURPHY-EO-315,exclude,100% clean energy by 2035 policy target; not a weather emergency,https://www.nj.gov/infobank/eo/
NJ-MURPHY-EO-274,exclude,Climate action policy order; not a weather emergency,https://www.nj.gov/infobank/eo/
NJ-MURPHY-EO-264,exclude,Vaccination/testing requirement for child care personnel; not a weather emergency,https://www.nj.gov/infobank/eo/
NJ-MURPHY-EO-258,exclude,Flags at half-staff for a lifeguard's death; memorial order,https://www.nj.gov/infobank/eo/
NJ-MURPHY-EO-251,exclude,Indoor mask requirement for schools; COVID policy,https://www.nj.gov/infobank/eo/
NJ-MURPHY-EO-175,exclude,School reopening health/safety protocols; COVID policy,https://www.nj.gov/infobank/eo/
NJ-MURPHY-EO-166,exclude,Oversight of federal COVID-19 resources; administrative,https://www.nj.gov/infobank/eo/
NJ-MURPHY-EO-100,exclude,Energy Master Plan and emissions regulatory reform; climate policy,https://www.nj.gov/infobank/eo/
NJ-MURPHY-EO-94,exclude,Flags at half-staff for a Monsignor's death; memorial order,https://www.nj.gov/infobank/eo/
NJ-MURPHY-EO-89,exclude,Statewide Climate Change Resilience Strategy; climate policy,https://www.nj.gov/infobank/eo/
NJ-MURPHY-EO-47,exclude,Flags at half-staff for President George H.W. Bush; memorial order,https://www.nj.gov/infobank/eo/
NJ-MURPHY-EO-10,exclude,"Establishes a Commission on Puerto Rico Relief; an administrative body, not an NJ weather emergency declaration",https://www.nj.gov/infobank/eo/
NJ-MURPHY-EO-7,exclude,Rejoins the Regional Greenhouse Gas Initiative; climate policy,https://www.nj.gov/infobank/eo/
NJ-CHRISTIE-EO-125,exclude,Directs State Comptroller contract/expenditure review; administrative,https://www.nj.gov/infobank/eo/
NJ-CHRISTIE-EO-126,exclude,Seasonal alcoholic beverage licensing timing; administrative,https://www.nj.gov/infobank/eo/
NJ-CHRISTIE-EO-116,exclude,Division of Taxation directive; administrative,https://www.nj.gov/infobank/eo/
NJ-CHRISTIE-EO-101,exclude,Honors a WWII soldier reported missing in action; memorial order,https://www.nj.gov/infobank/eo/
NJ-CHRISTIE-EO-200,exclude,Honors a deceased Port Authority police officer; memorial order,https://www.nj.gov/infobank/eo/
NJ-CHRISTIE-EO-233,exclude,Standing designation of law enforcement/responders as State Emergency Forces; general preparedness policy not tied to one declared weather event,https://www.nj.gov/infobank/eo/
NJ-CHRISTIE-EO-238,exclude,Standing authorization to implement the State Emergency Operations Plan; general preparedness policy not tied to one declared weather event,https://www.nj.gov/infobank/eo/
NJ-CORZINE-EO-132,winter,"CORRECTED from an earlier wrongly-guessed exclude: real text confirmed via direct fetch of eojsc132.htm - 'severe weather conditions... including snow and high winds' forced school closures, which is why this order extends a filing deadline",https://www.nj.gov/infobank/circular/eojsc132.htm
NJ-MCGREEVEY-EO-97,exclude,Establishes the NJ Invasive Species Council; not a weather emergency,https://www.nj.gov/infobank/eo/
NJ-FLORIO-EO-33,exclude,Transfers title of state-owned vehicles to Treasury; administrative,https://www.nj.gov/infobank/eo/
NJ-FLORIO-EO-66,exclude,Creates a Chief of Economic Recovery position; administrative,https://www.nj.gov/infobank/eo/
NJ-FLORIO-EO-91,exclude,Directs state agencies to appoint internal coordinators; administrative,https://www.nj.gov/infobank/eo/
NJ-FLORIO-EO-115,exclude,Establishes a standing interagency Hazard Mitigation Team; general preparedness policy not tied to one declared weather event,https://www.nj.gov/infobank/eo/
NJ-KEAN-EO-219,exclude,Directs reduction of climate-affecting gas emissions; climate policy,https://www.nj.gov/infobank/eo/
