source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
NJ-MURPHY-EO-381,NJ-MURPHY-EO-45,supersedes,"superseded Executive Order No.
45",document_text,medium
NJ-MURPHY-EO-286,NJ-MURPHY-EO-285,terminates,"Executive
Order No. 285 is terminated",document_text,medium
NJ-MURPHY-EO-281,NJ-MURPHY-EO-111,continues,"continues Executive Orders Nos. 111, 112, and 207",description,medium
NJ-MURPHY-EO-281,NJ-MURPHY-EO-112,continues,"continues Executive Orders Nos. 111, 112, and 207",description,medium
NJ-MURPHY-EO-281,NJ-MURPHY-EO-207,continues,"continues Executive Orders Nos. 111, 112, and 207",description,medium
NJ-MURPHY-EO-150,NJ-MURPHY-EO-104,supersedes,superseded Executive Order No. 104,document_text,medium
NJ-MURPHY-EO-147,NJ-MURPHY-EO-118,supersedes,superseding Executive Order No. 118,document_text,medium
NJ-MURPHY-EO-146,NJ-MURPHY-EO-118,supersedes,superseding Executive Order No. 118,document_text,medium
NJ-MURPHY-EO-144,NJ-MURPHY-EO-104,supersedes,superseding Executive Order No. 104,document_text,medium
NJ-MURPHY-EO-143,NJ-MURPHY-EO-108,supersedes,"superseded Executive
Order No. 108",document_text,medium
NJ-MURPHY-EO-143,NJ-MURPHY-EO-118,supersedes,superseding Executive Order No. 118,document_text,medium
NJ-MURPHY-EO-133,NJ-MURPHY-EO-108,supersedes,"superseded Executive
Order No. 108",document_text,medium
NJ-MURPHY-EO-132,NJ-MURPHY-EO-104,supersedes,superseding Executive Order No. 104,document_text,medium
NJ-MURPHY-EO-127,NJ-MURPHY-EO-104,supersedes,superseded Executive Order No. 104,document_text,medium
NJ-MURPHY-EO-120,NJ-MURPHY-EO-104,supersedes,superseding Executive Order No. 104,document_text,medium
NJ-MURPHY-EO-118,NJ-MURPHY-EO-104,supersedes,"superseded
Executive Order No. 104",document_text,medium
NJ-MURPHY-EO-116,NJ-MURPHY-EO-104,supersedes,superseding Executive Order No. 104,document_text,medium
NJ-MURPHY-EO-108,NJ-MURPHY-EO-104,supersedes,superseding Executive Order No. 104,document_text,medium
NJ-MURPHY-EO-103,NJ-MURPHY-EO-102,continues,"Executive
Order No. 102 is continued",document_text,medium
NJ-MURPHY-EO-51,NJ-MURPHY-EO-50,terminates,Executive Order No. 50  is terminated,description,medium
NJ-MURPHY-EO-19,NJ-MURPHY-EO-137,extends_duration,"extended Executive
Order No. 137",document_text,medium
NJ-CHRISTIE-EO-19,NJ-CHRISTIE-EO-103,terminates,Rescinds Executive Orders No.103,description,medium
NJ-CHRISTIE-EO-20,NJ-CHRISTIE-EO-12,terminates,Rescinds Executive Order No. 12,description,medium
NJ-CHRISTIE-EO-44,NJ-CHRISTIE-EO-21,terminates,Rescinds Executive Orders No. 21,description,medium
NJ-CHRISTIE-EO-191,NJ-CHRISTIE-EO-55,terminates,rescinding Executive Order 55,description,medium
NJ-CHRISTIE-EO-198,NJ-CHRISTIE-EO-41,extends_duration,Executive Order No. 41 was extended,document_text,medium
NJ-CHRISTIE-EO-198,NJ-CHRISTIE-EO-41,amends,Executive Order No. 41 is amended,document_text,medium
NJ-CORZINE-EO-7,NJ-CORZINE-EO-47,terminates,rescinds Executive Order No. 47,description,medium
NJ-CORZINE-EO-7,NJ-CORZINE-EO-24,amends,Amends Executive Order No. 24,description,medium
NJ-CORZINE-EO-14,NJ-CORZINE-EO-65,terminates,Rescinds Executive Order No. 65,description,medium
NJ-CORZINE-EO-14,NJ-CORZINE-EO-1,amends,amends Executive Order No. 1,description,medium
NJ-CORZINE-EO-20,NJ-CORZINE-EO-16,terminates,Terminates Executive Order #16,description,medium
NJ-CORZINE-EO-49,NJ-CORZINE-EO-208,extends_duration,extended EO #208,description,medium
NJ-CORZINE-EO-66,NJ-CORZINE-EO-64,terminates,Executive Order No. 64 is terminated,document_text,medium
NJ-CORZINE-EO-113,NJ-CORZINE-EO-111,terminates,Rescinds Executive Order No. 111,description,medium
NJ-CORZINE-EO-120,NJ-CORZINE-EO-1,amends,Amends Executive Order No. 1,description,medium
NJ-MCGREEVEY-EO-1,NJ-MCGREEVEY-EO-11,terminates,rescinds EO #11,document_text,medium
NJ-MCGREEVEY-EO-5,NJ-MCGREEVEY-EO-132,continues,continues EO #132,document_text,medium
NJ-MCGREEVEY-EO-6,NJ-MCGREEVEY-EO-113,terminates,rescinds EO #113,document_text,medium
NJ-MCGREEVEY-EO-10,NJ-MCGREEVEY-EO-2,terminates,"Rescinds 
              Executive Order #2",document_text,medium
NJ-MCGREEVEY-EO-12,NJ-MCGREEVEY-EO-208,extends_duration,extended EO #208,document_text,medium
NJ-MCGREEVEY-EO-44,NJ-MCGREEVEY-EO-11,terminates,Terminates Executive Order No. 11,description,medium
NJ-MCGREEVEY-EO-49,NJ-MCGREEVEY-EO-48,terminates,Executive Order No. 48 is terminated,document_text,medium
NJ-MCGREEVEY-EO-61,NJ-MCGREEVEY-EO-45,terminates,rescinds EO# 45,document_text,medium
NJ-MCGREEVEY-EO-64,NJ-MCGREEVEY-EO-63,terminates,Executive Order No. 63 is terminated,document_text,medium
NJ-MCGREEVEY-EO-69,NJ-MCGREEVEY-EO-68,terminates,Executive Order No. 68 is terminated,document_text,medium
