declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
NM-2026-072,NM,Michelle Lujan Grisham,2026-072,executive_order,unclassified,Executive Order 2026-072 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-072.pdf,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-072.pdf
NM-2026-071,NM,Michelle Lujan Grisham,2026-071,executive_order,unclassified,Executive Order 2026-071 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-071.pdf,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-071.pdf
NM-2026-070,NM,Michelle Lujan Grisham,2026-070,executive_order,unclassified,Executive Order 2026-070 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-070.pdf,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-070.pdf
NM-2026-069,NM,Michelle Lujan Grisham,2026-069,executive_order,unclassified,Executive Order 2026-069 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-069.pdf,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-069.pdf
NM-2026-068,NM,Michelle Lujan Grisham,2026-068,executive_order,unclassified,Executive Order 2026-068 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-068.pdf,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-068.pdf
NM-2026-067,NM,Michelle Lujan Grisham,2026-067,executive_order,unclassified,Executive Order 2026-067 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-067.pdf,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-067.pdf
NM-2026-066,NM,Michelle Lujan Grisham,2026-066,executive_order,unclassified,Executive Order 2026-066 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-066.pdf,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-066.pdf
NM-2026-065,NM,Michelle Lujan Grisham,2026-065,executive_order,unclassified,Executive Order 2026-065 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-065.pdf,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-065.pdf
NM-2026-064,NM,Michelle Lujan Grisham,2026-064,executive_order,unclassified,Executive Order 2026-064 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-064.pdf,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-064.pdf
NM-2026-063,NM,Michelle Lujan Grisham,2026-063,executive_order,unclassified,Executive Order 2026-063 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-063.pdf,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-063.pdf
NM-2026-062,NM,Michelle Lujan Grisham,2026-062,executive_order,unclassified,Executive Order 2026-062 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-062.pdf,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-062.pdf
NM-2026-061,NM,Michelle Lujan Grisham,2026-061,executive_order,unclassified,Executive Order 2026-061 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-061.pdf,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-061.pdf
NM-2026-060,NM,Michelle Lujan Grisham,2026-060,executive_order,unclassified,Executive Order 2026-060 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-060.pdf,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-060.pdf
NM-2026-059,NM,Michelle Lujan Grisham,2026-059,executive_order,unclassified,Executive Order 2026-059 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-059.pdf,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-059.pdf
NM-2026-058,NM,Michelle Lujan Grisham,2026-058,executive_order,unclassified,Executive Order 2026-058 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-058.pdf,https://www.governor.state.nm.us/assets/executive-orders/2026/executive-order-2026-058.pdf
NM-2026-057,NM,Michelle Lujan Grisham,2026-057,executive_order,unclassified,Executive Order 2026-057 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://governor.state.nm.us/wp-content/uploads/2026/07/Executive-Order-2026-057.pdf,https://governor.state.nm.us/wp-content/uploads/2026/07/Executive-Order-2026-057.pdf
NM-2026-056,NM,Michelle Lujan Grisham,2026-056,executive_order,unclassified,Executive Order 2026-056 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://governor.state.nm.us/wp-content/uploads/2026/07/Executive-Order-2026-056.pdf,https://governor.state.nm.us/wp-content/uploads/2026/07/Executive-Order-2026-056.pdf
NM-2026-055,NM,Michelle Lujan Grisham,2026-055,executive_order,unclassified,Executive Order 2026-055 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://governor.state.nm.us/wp-content/uploads/2026/07/Executive-Order-2026-055.pdf,https://governor.state.nm.us/wp-content/uploads/2026/07/Executive-Order-2026-055.pdf
NM-2026-054,NM,Michelle Lujan Grisham,2026-054,executive_order,unclassified,Executive Order 2026-054 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://governor.state.nm.us/wp-content/uploads/2026/07/Executive-Order-2026-054.pdf,https://governor.state.nm.us/wp-content/uploads/2026/07/Executive-Order-2026-054.pdf
NM-2026-053,NM,Michelle Lujan Grisham,2026-053,executive_order,unclassified,Executive Order 2026-053 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://governor.state.nm.us/wp-content/uploads/2026/07/Executive-Order-2026-053.pdf,https://governor.state.nm.us/wp-content/uploads/2026/07/Executive-Order-2026-053.pdf
NM-2026-052,NM,Michelle Lujan Grisham,2026-052,executive_order,unclassified,Executive Order 2026-052 (text unavailable),,,false,new_mexico_governor_executive_orders_2019_present,pdf_ocr_required,https://governor.state.nm.us/wp-content/uploads/2026/07/Executive-Order-2026-052.pdf,https://governor.state.nm.us/wp-content/uploads/2026/07/Executive-Order-2026-052.pdf
NM-2026-051,NM,Michelle Lujan Grisham,2026-051,executive_order,administrative,"AUTHORIZING ADDITIONAL EMERGENCY FUNDS FOR THE FORESTRY DIVISION OF THE ENERGY, MINERALS AND NATURAL RESOURCES DEPARTMENT \VHEREAS, wildland fires have or are occurring statewide, and conditions for wildland fires are dangerous and expected to increase;",2026-06-29,,false,new_mexico_governor_executive_orders_2019_present,pdf,https://governor.state.nm.us/wp-content/uploads/2026/06/Executive-Order-2026-051.pdf,https://governor.state.nm.us/wp-content/uploads/2026/06/Executive-Order-2026-051.pdf
NM-2026-050,NM,Michelle Lujan Grisham,2026-050,executive_order,administrative,"AUTHORIZING ADDITIONAL EMERGENCY FUNDS FOR THE FORESTRY DIVISION OF THE ENERGY, MINERALS AND NATURAL RESOURCES DEPARTMENT",2026-06-29,,false,new_mexico_governor_executive_orders_2019_present,pdf,https://governor.state.nm.us/wp-content/uploads/2026/06/Executive-Order-2026-050.pdf,https://governor.state.nm.us/wp-content/uploads/2026/06/Executive-Order-2026-050.pdf
NM-2026-049,NM,Michelle Lujan Grisham,2026-049,executive_order,administrative,"AUTHORIZING ADDITIONAL EMERGENCY FUNDS FOR THE FORESTRY DIVISION OF THE ENERGY, MINERALS AND NATURAL RESOURCES DEPARTMENT",2026-06-29,,false,new_mexico_governor_executive_orders_2019_present,pdf,https://governor.state.nm.us/wp-content/uploads/2026/06/Executive-Order-2026-049.pdf,https://governor.state.nm.us/wp-content/uploads/2026/06/Executive-Order-2026-049.pdf
