declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
NY-KATHYHOCHUL-EO-62,Kathy Hochul,62,Establishing a Temporary Moratorium on Data Centers in New York While the State Develops Higher Standards for Data Center Development and Benefits Blueprint to Support Localities.,2026-07-14,https://www.governor.ny.gov/sites/default/files/2026-07/EO_62.pdf
NY-KATHYHOCHUL-EO-58,Kathy Hochul,58,"Declares a State Disaster Emergency effective Feb. 22, 2026 in the counties of Albany, Bronx, Columbia, Greene, Delaware, Dutchess, Kings, Nassau, New York, Orange, Otsego, Putnam, Queens, Richmond, Rensselaer, Rockland, Schoharie, Schenectady, Suffolk, Sullivan, Ulster, Westchester, and Contiguous Counties through March 24, 2026.",2026-02-21,https://www.governor.ny.gov/sites/default/files/2026-02/EO_58.pdf
NY-KATHYHOCHUL-EO-57,Kathy Hochul,57,Declaring a Disaster Emergency Throughout the State of New York,2026-01-23,https://www.governor.ny.gov/sites/default/files/2026-01/eo_57.pdf
NY-KATHYHOCHUL-EO-55,Kathy Hochul,55,"Declaring a Disaster Emergency in the Counties of Albany, Bronx, Broome, Cayuga, Chenango, Columbia, Cortland, Delaware, Dutchess, Fulton, Greene, Herkimer, Kings, Madison, Montgomery, Nassau, New York, Oneida, Onondaga, Orange, Oswego, Otsego, Putnam, Queens, Richmond, Rockland, Saratoga, Schenectady, Schoharie, Sullivan, Rensselaer, Suffolk, Ulster, Wayne, Westchester, and Contiguous Counties",2025-12-26,https://www.governor.ny.gov/sites/default/files/2025-12/EO_55.pdf
NY-KATHYHOCHUL-EO-53,Kathy Hochul,53,"Declaring a Disaster Emergency in the Counties of Bronx, Kings, Nassau, New York, Queens, Richmond, Suffolk, Westchester, and Contiguous Counties",2025-10-12,https://www.governor.ny.gov/sites/default/files/2025-10/EO_53.pdf
NY-KATHYHOCHUL-EO-50,Kathy Hochul,50,"Executive Order 50 declares a disaster emergency for hazardous conditions as a result of severe weather effective through August 30, 2025.",2025-07-31,https://www.governor.ny.gov/sites/default/files/2025-07/eo_50.pdf
NY-KATHYHOCHUL-EO-49,Kathy Hochul,49,"Executive Order 49 declares a State Disaster Emergency in response to a series of severe storms, effective June 22nd, 2025.",2025-06-22,https://www.governor.ny.gov/sites/default/files/2025-06/EO_49_0.pdf
NY-KATHYHOCHUL-EO-48,Kathy Hochul,48,Executive Order 48 declares a Disaster in Suffolk County in response to wildfires.,2025-03-10,https://www.governor.ny.gov/sites/default/files/2025-03/Executive-Order-48.pdf
NY-KATHYHOCHUL-EO-46,Kathy Hochul,46,"Executive Order 46 declares a State Disaster Emergency in response to a hazardous winter storm system, effective February 14, 2025 through March 16, 2025.",2025-02-14,https://www.governor.ny.gov/sites/default/files/2025-02/eo_46.pdf
NY-KATHYHOCHUL-EO-45,Kathy Hochul,45,"Executive Order 45 declares a State Disaster Emergency effective February 7, 2025, for the entire State of New York through February 14, 2025.",2025-02-07,https://www.governor.ny.gov/sites/default/files/2025-02/EO_45.pdf
NY-KATHYHOCHUL-EO-44,Kathy Hochul,44,"DECLARING A DISASTER EMERGENCY IN THE COUNTIES OF ALLEGANY, CATTARAUGUS, CHAUTAUQUA, ERIE, GENESEE, JEFFERSON, LEWIS, NIAGARA, ONEIDA, ORLEANS, OSWEGO, WYOMING, AND CONTIGUOUS COUNTIES.",2025-01-20,https://www.governor.ny.gov/sites/default/files/2025-01/eo-44.pdf
NY-KATHYHOCHUL-EO-43,Kathy Hochul,43,"Executive Order Number 43: Declares a disaster emergency in the Counties of Cattaraugus, Chautauqua, Erie, Franklin, Genesee, Hamilton, Herkimer, Jefferson, Lewis, Oswego, St. Lawrence, Wyoming, and contiguous counties.",2024-12-11,https://www.governor.ny.gov/sites/default/files/2024-12/executive-order_43.pdf
NY-KATHYHOCHUL-EO-42,Kathy Hochul,42,"Executive Order 42 declares an emergency in the Counties of Allegany, Erie, Cattaraugus, Chautauqua, Genesee, Herkimer, Jefferson, Lewis, Oswego, St. Lawrence, Wyoming, and contiguous counties and is in effect through December 29, 2024.",2024-11-29,https://www.governor.ny.gov/sites/default/files/2024-11/executive-order_42.pdf
NY-KATHYHOCHUL-EO-39,Kathy Hochul,39,"Executive Order 39 declares a State Disaster Emergency for the county of Suffolk in effect through September 22, 2024.",2024-08-23,https://www.governor.ny.gov/sites/default/files/2024-08/eo_39.pdf
NY-KATHYHOCHUL-EO-38,Kathy Hochul,38,"Executive Order 38 declares a State Disaster Emergency effective August 9, 2024, for the entire State of New York through September 8, 2024.",2024-08-09,https://www.governor.ny.gov/sites/default/files/2024-08/eo_38.pdf
NY-KATHYHOCHUL-EO-37,Kathy Hochul,37,"No. 37: Declaring a Disaster in the Counties of Albany, Allegany, Bronx, Broome, Cattaraugus, Cayuga, Chautauqua, Chemung, Chenango, Clinton, Columbia, Cortland, Delaware, Dutchess, Erie, Essex, Franklin, Fulton, Genesee, Greene, Hamilton, Herkimer...",2024-07-16,https://www.governor.ny.gov/sites/default/files/2024-07/eo-37.pdf
NY-KATHYHOCHUL-EO-36,Kathy Hochul,36,"Executive Order 36 declares a State Disaster Emergency to prepare for a severe storm system expected to create hazardous conditions posing an imminent danger to public transportation, utility service, public health, and public safety systems.",2024-01-12,https://www.governor.ny.gov/sites/default/files/2024-01/EO_36.pdf
NY-KATHYHOCHUL-EO-33,Kathy Hochul,33,"Executive Order 33 declares a disaster emergency after a severe storm created hazardous conditions posing an imminent danger to public transportation, utility service, public health, and public safety systems.",2023-09-29,https://www.governor.ny.gov/sites/default/files/2023-09/EO_33.pdf
NY-KATHYHOCHUL-EO-29,Kathy Hochul,29,"Effective July 9, 2023 and in effect through August 8, 2023, a State Disaster Emergency has been declared for the Counties of Ontario and Orange due to severe thunderstorms and hazardous conditions in New York State.",2023-07-09,https://www.governor.ny.gov/sites/default/files/2023-07/EO_29.pdf
NY-KATHYHOCHUL-EO-24,Kathy Hochul,24,Declaring a State Disaster Emergency due to a severe winter storm expected to create hazardous conditions in New York State.,2022-11-17,https://www.governor.ny.gov/sites/default/files/2022-11/EO_24.pdf
