declaration_id,state,governor,eo_number,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
NY-KATHYHOCHUL-EO-62,NY,Kathy Hochul,62,declaration,Establishing a Temporary Moratorium on Data Centers in New York While the State Develops Higher Standards for Data Center Development and Benefits Blueprint to Support Localities.,2026-07-14,,True,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-62-establishing-temporary-moratorium-data-centers-new-york-while-state-develops,https://www.governor.ny.gov/sites/default/files/2026-07/EO_62.pdf
NY-KATHYHOCHUL-EO-61,NY,Kathy Hochul,61,declaration,Directing New York state agencies to reform outdated regulations and policies that waste time and money.,2026-07-08,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-61-directing-new-york-state-agencies-reform-outdated-regulations-and-policies,https://www.governor.ny.gov/sites/default/files/2026-07/eo_61_reg_reform.pdf
NY-KATHYHOCHUL-EO-60,NY,Kathy Hochul,60,declaration,"Declares that no governmental decision should be motivated by achieving personal financial gain, and that public servants should not utilize their access to government information for personal financial gain.",2026-04-22,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-60-prohibiting-state-employees-profiting-insider-information,https://www.governor.ny.gov/sites/default/files/2026-04/eo_60.pdf
NY-KATHYHOCHUL-EO-59,NY,Kathy Hochul,59,declaration,"Directs that the New York State Department of Labor Building 12, located on the Governor W. Averell Harriman State Office Campus in Albany, New York, shall henceforth be officially known as the New York State Department of Labor Frances Perkins Building.",2026-04-10,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-59-naming-new-york-state-department-labor-building-governor-w-averell-harriman,https://www.governor.ny.gov/sites/default/files/2026-04/eo_59.pdf
NY-KATHYHOCHUL-EO-58,NY,Kathy Hochul,58,declaration,"Declares a State Disaster Emergency effective Feb. 22, 2026 in the counties of Albany, Bronx, Columbia, Greene, Delaware, Dutchess, Kings, Nassau, New York, Orange, Otsego, Putnam, Queens, Richmond, Rensselaer, Rockland, Schoharie, Schenectady, Suffolk, Sullivan, Ulster, Westchester, and Contiguous Counties through March 24, 2026.",2026-02-21,,True,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-58-declaring-disaster-emergency-counties-albany-bronx-columbia-greene-delaware,https://www.governor.ny.gov/sites/default/files/2026-02/EO_58.pdf
NY-KATHYHOCHUL-EO-57.1,NY,Kathy Hochul,57.1,extension,"Extending a Disaster Emergency Throughout the State of New York through March 19, 2026.",2026-02-17,,True,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-571-declaring-disaster-emergency-throughout-state-new-york,https://www.governor.ny.gov/sites/default/files/2026-02/eo_57.1.pdf
NY-KATHYHOCHUL-EO-57,NY,Kathy Hochul,57,declaration,Declaring a Disaster Emergency Throughout the State of New York,2026-01-23,,True,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-57-declaring-disaster-emergency-throughout-state-new-york,https://www.governor.ny.gov/sites/default/files/2026-01/eo_57.pdf
NY-KATHYHOCHUL-EO-56.10,NY,Kathy Hochul,56.10,extension,"Executive Order 56.10 extends the State Disaster Emergency as set forth in Executive Order Number 56 through February 27, 2026.",2026-02-24,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-5610-extending-declaration-disaster-emergency-new-york-county-due-healthcare,https://www.governor.ny.gov/sites/default/files/2026-02/eo_56.10.pdf
NY-KATHYHOCHUL-EO-56.9,NY,Kathy Hochul,56.9,extension,Extending the Declaration of a Disaster Emergency in New York County Due to Healthcare Staffing Shortages in the State of New York,2026-02-17,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-569-extending-declaration-disaster-emergency-new-york-county-due-healthcare,https://www.governor.ny.gov/sites/default/files/2026-02/eo_56.9.pdf
NY-KATHYHOCHUL-EO-56.8,NY,Kathy Hochul,56.8,extension,"Extending the Declaration of a Disaster Emergency in the Counties of Bronx, New York, and Contiguous Counties Due to Healthcare Staffing Shortages in the State of New York",2026-02-12,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-568-extending-declaration-disaster-emergency-counties-bronx-new-york-and,https://www.governor.ny.gov/sites/default/files/2026-02/eo_56_8.pdf
NY-KATHYHOCHUL-EO-56.7,NY,Kathy Hochul,56.7,extension,"Extending the Declaration of a Disaster Emergency in the Counties of Bronx, New York, and Contiguous Counties Due to Healthcare Staffing Shortages in the State of New York",2026-02-10,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-567-extending-declaration-disaster-emergency-counties-bronx-new-york-and,https://www.governor.ny.gov/sites/default/files/2026-02/eo_56.7.pdf
NY-KATHYHOCHUL-EO-56.6,NY,Kathy Hochul,56.6,extension,"Extending the Declaration of a Disaster Emergency in the Counties of Bronx, New York, and Contiguous Counties Due to Healthcare Staffing Shortages in the State of New York.",2026-02-08,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-566-extending-declaration-disaster-emergency-counties-bronx-new-york-and,https://www.governor.ny.gov/sites/default/files/2026-02/EO56.6.pdf
NY-KATHYHOCHUL-EO-56.5,NY,Kathy Hochul,56.5,extension,"No. 56.5: Extending the Declaration of a Disaster Emergency in the Counties of Bronx, New York, and Contiguous Counties Due to Healthcare Staffing Shortages in the State of New York",2026-02-06,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-565-extending-declaration-disaster-emergency-counties-bronx-new-york-and,https://www.governor.ny.gov/sites/default/files/2026-02/eo_56.5.pdf
NY-KATHYHOCHUL-EO-56.4,NY,Kathy Hochul,56.4,extension,"Extending the Declaration of a Disaster Emergency in the Counties of Bronx, New York, and Contiguous Counties Due to Healthcare Staffing Shortages in the State of New York.",2026-02-04,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-564-extending-declaration-disaster-emergency-counties-bronx-new-york-and,https://www.governor.ny.gov/sites/default/files/2026-02/eo_56.4.pdf
NY-KATHYHOCHUL-EO-56.3,NY,Kathy Hochul,56.3,extension,"Extending the Declaration of a Disaster Emergency in the Counties of Bronx, New York, and Contiguous Counties Due to Healthcare Staffing Shortages in the State of New York",2026-02-02,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-563-extending-declaration-disaster-emergency-counties-bronx-new-york-and,https://www.governor.ny.gov/sites/default/files/2026-02/eo_56.3.pdf
NY-KATHYHOCHUL-EO-56.2,NY,Kathy Hochul,56.2,extension,"Extending the Declaration of a Disaster Emergency in the Counties of Bronx, New York, and Contiguous Counties Due to Healthcare Staffing Shortages in the State of New York",2026-01-24,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-562-extending-declaration-disaster-emergency-counties-bronx-new-york-and,https://www.governor.ny.gov/sites/default/files/2026-01/EO_56.2.pdf
NY-KATHYHOCHUL-EO-56.1,NY,Kathy Hochul,56.1,amendment,"Modifying the Declaration of a Disaster Emergency in the Counties of Bronx, Nassau, New York, and Contiguous Counties Due to Healthcare Staffing Shortages in the State of New York",2026-01-10,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-561-modifying-declaration-disaster-emergency-counties-bronx-nassau-new-york-and,https://www.governor.ny.gov/sites/default/files/2026-01/eo_56_1.pdf
NY-KATHYHOCHUL-EO-56,NY,Kathy Hochul,56,declaration,"Declaring a Disaster Emergency in the Counties of Bronx, Nassau, New York, and Contiguous Counties Due to Healthcare Staffing Shortages in the State of New York",2026-01-09,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-56-declaring-disaster-emergency-counties-bronx-nassau-new-york-and-contiguous,https://www.governor.ny.gov/sites/default/files/2026-01/eo_56.pdf
NY-KATHYHOCHUL-EO-55.1,NY,Kathy Hochul,55.1,extension,Extension of the State Disaster Emergency as set forth in Executive Order 55.,2025-12-29,,True,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-551-declaring-disaster-emergency-state-new-york,https://www.governor.ny.gov/sites/default/files/2025-12/EO_55.1.pdf
NY-KATHYHOCHUL-EO-55,NY,Kathy Hochul,55,declaration,"Declaring a Disaster Emergency in the Counties of Albany, Bronx, Broome, Cayuga, Chenango, Columbia, Cortland, Delaware, Dutchess, Fulton, Greene, Herkimer, Kings, Madison, Montgomery, Nassau, New York, Oneida, Onondaga, Orange, Oswego, Otsego, Putnam, Queens, Richmond, Rockland, Saratoga, Schenectady, Schoharie, Sullivan, Rensselaer, Suffolk, Ulster, Wayne, Westchester, and Contiguous Counties",2025-12-26,,True,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-55-declaring-disaster-emergency-counties-albany-bronx-broome-cayuga-chenango,https://www.governor.ny.gov/sites/default/files/2025-12/EO_55.pdf
NY-KATHYHOCHUL-EO-54,NY,Kathy Hochul,54,declaration,"Executive Order 54 declares a State Disaster Emergency in response to the interruption of federal SNAP benefits, effective October 30, 2025 through November 29, 2025.",2025-10-30,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-54-declaring-statewide-disaster-emergency-due-federal-actions-related,https://www.governor.ny.gov/sites/default/files/2025-10/eo_54_snap_emergency.pdf
NY-KATHYHOCHUL-EO-53,NY,Kathy Hochul,53,declaration,"Declaring a Disaster Emergency in the Counties of Bronx, Kings, Nassau, New York, Queens, Richmond, Suffolk, Westchester, and Contiguous Counties",2025-10-12,,True,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-53-declaring-disaster-emergency-counties-bronx-kings-nassau-new-york-queens,https://www.governor.ny.gov/sites/default/files/2025-10/EO_53.pdf
NY-KATHYHOCHUL-EO-52.8,NY,Kathy Hochul,52.8,extension,Extending the Declaration of a Disaster in the State of New York Due to Federal Actions Related to Vaccine Access,2026-04-17,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-528-extending-declaration-disaster-state-new-york-due-federal-actions-related,https://www.governor.ny.gov/sites/default/files/2026-04/eo_52.8.pdf
NY-KATHYHOCHUL-EO-52.7,NY,Kathy Hochul,52.7,extension,"Executive Order 52.7 extends the State Disaster Emergency as set forth in Executive Order 52 through April 19, 2026.",2026-03-20,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-527-extending-declaration-disaster-state-new-york-due-federal-actions-related,https://www.governor.ny.gov/sites/default/files/2026-03/eo_52.7.pdf
NY-KATHYHOCHUL-EO-52.6,NY,Kathy Hochul,52.6,extension,Extension of the declaration of a disaster in the state of New York due to federal actions related to vaccine access.,2026-02-18,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no526-extending-declaration-disaster-state-new-york-due-federal-actions-related,https://www.governor.ny.gov/sites/default/files/2026-02/eo52.6.pdf
NY-KATHYHOCHUL-EO-52.5,NY,Kathy Hochul,52.5,extension,Extension of the declaration of a disaster in the state of New York due to federal actions related to vaccine access.,2026-01-23,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-525-extending-declaration-disaster-state-new-york-due-federal-actions-related,https://www.governor.ny.gov/sites/default/files/2026-01/eo_52.5.pdf
