source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
NY-KATHYHOCHUL-EO-57.1,NY-KATHYHOCHUL-EO-57,extends_duration,Decimal-series child of Executive Order 57,decimal_series,high
NY-KATHYHOCHUL-EO-56.10,NY-KATHYHOCHUL-EO-56,extends_duration,Decimal-series child of Executive Order 56,decimal_series,high
NY-KATHYHOCHUL-EO-56.9,NY-KATHYHOCHUL-EO-56,extends_duration,Decimal-series child of Executive Order 56,decimal_series,high
NY-KATHYHOCHUL-EO-56.8,NY-KATHYHOCHUL-EO-56,extends_duration,Decimal-series child of Executive Order 56,decimal_series,high
NY-KATHYHOCHUL-EO-56.7,NY-KATHYHOCHUL-EO-56,extends_duration,Decimal-series child of Executive Order 56,decimal_series,high
NY-KATHYHOCHUL-EO-56.6,NY-KATHYHOCHUL-EO-56,extends_duration,Decimal-series child of Executive Order 56,decimal_series,high
NY-KATHYHOCHUL-EO-56.5,NY-KATHYHOCHUL-EO-56,extends_duration,Decimal-series child of Executive Order 56,decimal_series,high
NY-KATHYHOCHUL-EO-56.4,NY-KATHYHOCHUL-EO-56,extends_duration,Decimal-series child of Executive Order 56,decimal_series,high
NY-KATHYHOCHUL-EO-56.3,NY-KATHYHOCHUL-EO-56,extends_duration,Decimal-series child of Executive Order 56,decimal_series,high
NY-KATHYHOCHUL-EO-56.2,NY-KATHYHOCHUL-EO-56,extends_duration,Decimal-series child of Executive Order 56,decimal_series,high
NY-KATHYHOCHUL-EO-56.1,NY-KATHYHOCHUL-EO-56,amends,Decimal-series child of Executive Order 56,decimal_series,high
NY-KATHYHOCHUL-EO-55.1,NY-KATHYHOCHUL-EO-55,extends_duration,Decimal-series child of Executive Order 55,decimal_series,high
NY-KATHYHOCHUL-EO-52.8,NY-KATHYHOCHUL-EO-52,extends_duration,Decimal-series child of Executive Order 52,decimal_series,high
NY-KATHYHOCHUL-EO-52.7,NY-KATHYHOCHUL-EO-52,extends_duration,Decimal-series child of Executive Order 52,decimal_series,high
NY-KATHYHOCHUL-EO-52.6,NY-KATHYHOCHUL-EO-52,extends_duration,Decimal-series child of Executive Order 52,decimal_series,high
NY-KATHYHOCHUL-EO-52.5,NY-KATHYHOCHUL-EO-52,extends_duration,Decimal-series child of Executive Order 52,decimal_series,high
NY-KATHYHOCHUL-EO-52.4,NY-KATHYHOCHUL-EO-52,extends_duration,Extending Executive Order No. 52,metadata,medium
NY-KATHYHOCHUL-EO-52.3,NY-KATHYHOCHUL-EO-52,extends_duration,Extends Executive Order No. 52,metadata,medium
NY-KATHYHOCHUL-EO-52.2,NY-KATHYHOCHUL-EO-52,extends_duration,Extending Executive Order No. 52,metadata,medium
NY-KATHYHOCHUL-EO-52.1,NY-KATHYHOCHUL-EO-52,extends_duration,Decimal-series child of Executive Order 52,decimal_series,high
NY-KATHYHOCHUL-EO-47.21,NY-KATHYHOCHUL-EO-47,extends_duration,Decimal-series child of Executive Order 47,decimal_series,high
NY-KATHYHOCHUL-EO-47.20,NY-KATHYHOCHUL-EO-47,extends_duration,Decimal-series child of Executive Order 47,decimal_series,high
NY-KATHYHOCHUL-EO-47.19,NY-KATHYHOCHUL-EO-47,extends_duration,Decimal-series child of Executive Order 47,decimal_series,high
NY-KATHYHOCHUL-EO-47.18,NY-KATHYHOCHUL-EO-47,extends_duration,Decimal-series child of Executive Order 47,decimal_series,high
NY-KATHYHOCHUL-EO-47.17,NY-KATHYHOCHUL-EO-47,extends_duration,Decimal-series child of Executive Order 47,decimal_series,high
NY-KATHYHOCHUL-EO-47.16,NY-KATHYHOCHUL-EO-47,extends_duration,Decimal-series child of Executive Order 47,decimal_series,high
NY-KATHYHOCHUL-EO-47.15,NY-KATHYHOCHUL-EO-47,extends_duration,Decimal-series child of Executive Order 47,decimal_series,high
NY-KATHYHOCHUL-EO-47.14,NY-KATHYHOCHUL-EO-47,extends_duration,Decimal-series child of Executive Order 47,decimal_series,high
NY-KATHYHOCHUL-EO-47.13,NY-KATHYHOCHUL-EO-47,extends_duration,Decimal-series child of Executive Order 47,decimal_series,high
