declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
NC-ROYCOOPER-EO-1,Roy Cooper,1,Executive Order No. 1:  Governor Cooper Declares State of Emergency Due to Winter Storm,2017-01-06,https://governor.nc.gov/documents/files/executive-order-no-1-governor-cooper-declares-state-emergency-due-winter-storm/open
NC-ROYCOOPER-EO-19,Roy Cooper,19,Executive Order No. 19: Declaration of State of Emergency In Order to Suspend Motor Vehicle Regulations to Ensure Adequate Fuel Supplies in the State of North Carolina and to Support Relief Efforts for Hurricane Harvey,2017-08-31,https://governor.nc.gov/documents/files/executive-order-no-19-declaration-state-emergency-order-suspend-motor-vehicle-regulations-ensure-0/open
NC-ROYCOOPER-EO-74,Roy Cooper,74,Executive Order No. 74: Declaration of a State of Emergency,2018-10-10,https://governor.nc.gov/documents/files/executive-order-no-74-declaration-state-emergency/open
NC-ROYCOOPER-EO-83,Roy Cooper,83,EXECUTIVE ORDER NO. 83: DECLARATION OF A STATE OF EMERGENCY,2018-12-07,https://governor.nc.gov/documents/files/executive-order-no-83-declaration-state-emergency/open
NC-ROYCOOPER-EO-101,Roy Cooper,101,Executive Order No. 101: Declaration of State of Emergency,2019-08-31,https://governor.nc.gov/documents/files/executive-order-no-101-declaration-state-emergency/open
NC-ROYCOOPER-EO-309,Roy Cooper,309,"EO309-DisasterDeclarationWestJefferson.pdf PDF • 603.12 KB - June 18, 2024 Executive Order June 18, 2024 EXECUTIVE ORDER NO. 309 DISASTER DECLARATION FOR THE TOWN OF WEST JEFFERSON IN ASHE COUNTY NORTH CAROLINA",2024-06-18,https://governor.nc.gov/executive-order-no-309/open
NC-JOSHSTEIN-EO-7,Josh Stein,7,"EO7-WinterStorm-StateofEmergency_0.pdf PDF • 3.41 MB - January 09, 2025 Executive Order January 9, 2025 Executive Order No. 7 Declaration of a State of Emergency and Temporary Suspension of Motor Vehicle Regulations",2025-01-09,https://governor.nc.gov/gov-stein-executive-order-7/open
NC-JOSHSTEIN-EO-9,Josh Stein,9,Declaration Of A State Of Emergency And Temporary Suspension Of Motor Vehicle Regulations,2025-02-18,https://governor.nc.gov/executive-order-9-declaration-state-emergency-and-temporary-suspension-motor-vehicle-regulations/open
NC-JOSHSTEIN-EO-12,Josh Stein,12,Declaration Of A State Of Emergency,2025-03-26,https://governor.nc.gov/executive-order-no-12-declaration-state-emergency-0/open
NC-JOSHSTEIN-EO-18,Josh Stein,18,Declaration of a State of Emergency,2025-07-16,https://governor.nc.gov/executive-order-18-declaration-state-emergency/open
NC-JOSHSTEIN-EO-19,Josh Stein,19,"Disaster Declaration for Individual Assistance for Durham, Orange, and Surrounding Counties",2025-08-05,https://governor.nc.gov/executive-order-19-disaster-declaration-individual-assistance-durham-orange-and-surrounding-counties/open
NC-JOSHSTEIN-EO-20,Josh Stein,20,Declaration of a State of Emergency and Temporary Waiver and Suspension of Motor Vehicle Regulations,2025-08-19,https://governor.nc.gov/executive-order-no-20-declaration-state-emergency-and-temporary-waiver-and-suspension-motor-vehicle/open
NC-JOSHSTEIN-EO-26,Josh Stein,26,Declaration of a State of Emergency and Temporary Waiver and Suspension of Motor Vehicle Regulations,2025-09-27,https://governor.nc.gov/executive-order-26-declaration-state-emergency-and-temporary-waiver-and-suspension-motor-vehicle/open
NC-JOSHSTEIN-EO-31,Josh Stein,31,Declaration of a State of Emergency and Temporary Waiver and Suspension of Motor Vehicle Regulations,2026-01-21,https://governor.nc.gov/executive-order-no-31-declaration-state-emergency-and-temporary-waiver-and-suspension-motor-vehicle/open
NC-JOSHSTEIN-EO-32,Josh Stein,32,Declaration of a State of Emergency,2026-01-29,https://governor.nc.gov/documents/executive-order-no-32-declaration-state-emergency/open
