declaration_id,hazard_category_override,review_note,source_url
NC-ROYCOOPER-EO-74,tropical,"Confirmed Hurricane Michael via official PDF filename ""EO74 - Declaration of a State of Emergency_Hurricane Michael.pdf""",https://governor.nc.gov/documents/executive-order-no-74-declaration-state-emergency-governor-north-carolina
NC-ROYCOOPER-EO-101,tropical,Confirmed Hurricane Dorian via NC DOI Bulletin 19-B-03 text,https://www.ncdoi.gov/documents/files/19-b-03-state-emergency/open
NC-JOSHSTEIN-EO-9,winter,Confirmed winter storm via order text (WHEREAS current weather projections indicate that a winter storm is anticipated),https://governor.nc.gov/executive-order-9-declaration-state-emergency-and-temporary-suspension-motor-vehicle-regulations
NC-JOSHSTEIN-EO-12,"fire,drought",Confirmed Black Cove Fire Complex and Table Rock Fire Complex wildfires plus NC Drought Management Advisory Council drought conditions via order text,https://governor.nc.gov/executive-order-no-12-declaration-state-emergency-0
NC-JOSHSTEIN-EO-18,"tropical,flood",Confirmed Tropical Depression Chantal flooding and wind damage via order text and governor press release,https://governor.nc.gov/executive-order-18-declaration-state-emergency
NC-JOSHSTEIN-EO-20,tropical,Confirmed Hurricane Erin via order text and governor press release,https://governor.nc.gov/executive-order-no-20-declaration-state-emergency-and-temporary-waiver-and-suspension-motor-vehicle
NC-JOSHSTEIN-EO-26,tropical,Confirmed Tropical Depression Nine (Imelda) via order text and Council of State concurrence record,https://governor.nc.gov/executive-order-26-declaration-state-emergency-and-temporary-waiver-and-suspension-motor-vehicle
NC-JOSHSTEIN-EO-31,winter,Confirmed winter storm (January 24 2026) via order text and NC DOI Bulletin 26-B-02,https://governor.nc.gov/executive-order-no-31-declaration-state-emergency-and-temporary-waiver-and-suspension-motor-vehicle
NC-JOSHSTEIN-EO-32,winter,Confirmed second consecutive winter storm (January 30 2026) via order text referencing prior January 24-25 freezing rain event,https://governor.nc.gov/documents/executive-order-no-32-declaration-state-emergency
NC-ROYCOOPER-EO-83,winter,Confirmed via official filename ('EO83 - State of Emergency_Winter Storm.pdf') and NCDPS press release: 'major winter storm... up to 18 inches of snow and ice' (Dec 2018),https://www.ncdps.gov/news/press-releases/2018/12/07/governor-cooper-declares-state-emergency-ahead-winter-storm
NC-ROYCOOPER-EO-309,flood,Confirmed via the order's own text and governor's press release: the Town of West Jefferson 'experienced damages to roads and bridges from a significant flood event' (May 26 2024),https://governor.nc.gov/executive-order-no-309
NC-JOSHSTEIN-EO-19,"tropical,flood,severe_storm","Confirmed directly via the order's own text: 'on July 6, 2025, Tropical Depression Chantal entered North Carolina and caused several EF-1 tornadoes as well as both flash and riverine flooding,' resulting in 6 confirmed deaths",https://governor.nc.gov/executive-order-19-disaster-declaration-individual-assistance-durham-orange-and-surrounding-counties
