declaration_id,state,governor,eo_number,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url,supporting_urls
NC-ROYCOOPER-EO-1,NC,Roy Cooper,1,declaration,Executive Order No. 1:  Governor Cooper Declares State of Emergency Due to Winter Storm,2017-01-06,2017-01-10,True,governor_archive_2017_present,pdf,https://governor.nc.gov/documents/files/executive-order-no-1-governor-cooper-declares-state-emergency-due-winter-storm,https://governor.nc.gov/documents/files/executive-order-no-1-governor-cooper-declares-state-emergency-due-winter-storm/open,
NC-ROYCOOPER-EO-2,NC,Roy Cooper,2,administrative,Executive Order No. 2:  Temporary Suspensions of Motor Vehicle Regulations To Ensure Restoration of Utility Services and Transporting Essentials,2017-01-06,2017-01-10,False,governor_archive_2017_present,pdf,https://governor.nc.gov/documents/files/executive-order-no-2-temporary-suspensions-motor-vehicle-regulations-ensure-restoration-utility,https://governor.nc.gov/documents/files/executive-order-no-2-temporary-suspensions-motor-vehicle-regulations-ensure-restoration-utility/open,
NC-ROYCOOPER-EO-3,NC,Roy Cooper,3,termination,Executive Order No 3:  Notice of Termination of Executive Orders 1 and 2,2017-01-10,,False,governor_archive_2017_present,pdf,https://governor.nc.gov/documents/files/executive-order-no-3-notice-termination-executive-orders-1-and-2,https://governor.nc.gov/documents/files/executive-order-no-3-notice-termination-executive-orders-1-and-2/open,
NC-ROYCOOPER-EO-4,NC,Roy Cooper,4,administrative,Executive Order No. 4: Expedited Movement of Temporary Housing for Survivors of Hurricane Matthew,2017-01-31,,True,governor_archive_2017_present,pdf,https://governor.nc.gov/documents/files/executive-order-no-4-expedited-movement-temporary-housing-survivors-hurricane-matthew,https://governor.nc.gov/documents/files/executive-order-no-4-expedited-movement-temporary-housing-survivors-hurricane-matthew/open,
NC-ROYCOOPER-EO-5,NC,Roy Cooper,5,administrative,Executive Order No. 5: To Facilitate Employee Access To State Facilities And Cabinet Agency Leaders,2017-03-23,,False,governor_archive_2017_present,pdf,https://governor.nc.gov/documents/files/executive-order-no-5-facilitate-employee-access-state-facilities-and-cabinet-agency-leaders,https://governor.nc.gov/documents/files/executive-order-no-5-facilitate-employee-access-state-facilities-and-cabinet-agency-leaders/open,
NC-ROYCOOPER-EO-6,NC,Roy Cooper,6,administrative,Executive Order No. 6: North Carolina Emergency Response Commission,2017-04-25,,False,governor_archive_2017_present,pdf,https://governor.nc.gov/documents/files/executive-order-no-6-north-carolina-emergency-response-commission,https://governor.nc.gov/documents/files/executive-order-no-6-north-carolina-emergency-response-commission/open,
NC-ROYCOOPER-EO-7,NC,Roy Cooper,7,administrative,Executive Order No. 7: Recognizing Military Appreciation Month and Memorial Day and Authorizing the Display of the Prisoner of War/Missing in Action Flag Over the State Capitol,2017-05-30,,False,governor_archive_2017_present,pdf,https://governor.nc.gov/documents/files/executive-order-no-7-recognizing-military-appreciation-month-and-memorial-day-and-authorizing,https://governor.nc.gov/documents/files/executive-order-no-7-recognizing-military-appreciation-month-and-memorial-day-and-authorizing/open,
NC-ROYCOOPER-EO-8,NC,Roy Cooper,8,administrative,Executive Order No. 8: North Carolina Interagency Council for Coordinating Homeless Programs,2017-05-30,,False,governor_archive_2017_present,pdf,https://governor.nc.gov/documents/files/executive-order-no-8-north-carolina-interagency-council-coordinating-homeless-programs,https://governor.nc.gov/documents/files/executive-order-no-8-north-carolina-interagency-council-coordinating-homeless-programs/open,
NC-ROYCOOPER-EO-9,NC,Roy Cooper,9,declaration,"Executive Order No. 9: Disaster Declaration for Sampson County and the Contiguous Counties of Bladen, Cumberland, Duplin, Harnett, Johnston, Pender and Wayne",2017-06-16,,False,governor_archive_2017_present,pdf,https://governor.nc.gov/documents/files/executive-order-no-9-disaster-declaration-sampson-county-and-contiguous-counties-bladen-cumberland,https://governor.nc.gov/documents/files/executive-order-no-9-disaster-declaration-sampson-county-and-contiguous-counties-bladen-cumberland/open,
NC-ROYCOOPER-EO-10,NC,Roy Cooper,10,administrative,Executive Order No. 10: Establishing the Governor's Commission on Access to Sound Basic Education,2017-07-25,,False,governor_archive_2017_present,pdf,https://governor.nc.gov/documents/files/executive-order-no-10-establishing-governors-commission-access-sound-basic-education,https://governor.nc.gov/documents/files/executive-order-no-10-establishing-governors-commission-access-sound-basic-education/open,
