source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
NC-ROYCOOPER-EO-3,NC-ROYCOOPER-EO-1,terminates,References Executive Order 1,title_or_document_text,high
NC-ROYCOOPER-EO-3,NC-ROYCOOPER-EO-2,terminates,References Executive Order 2,title_or_document_text,high
NC-ROYCOOPER-EO-22,NC-ROYCOOPER-EO-20,terminates,References Executive Order 20,title_or_document_text,high
NC-ROYCOOPER-EO-22,NC-ROYCOOPER-EO-21,terminates,References Executive Order 21,title_or_document_text,high
NC-ROYCOOPER-EO-33,NC-ROYCOOPER-EO-31,terminates,References Executive Order 31,title_or_document_text,high
NC-ROYCOOPER-EO-33,NC-ROYCOOPER-EO-32,terminates,References Executive Order 32,title_or_document_text,high
NC-ROYCOOPER-EO-39,NC-ROYCOOPER-EO-34,terminates,References Executive Order 34,title_or_document_text,high
NC-ROYCOOPER-EO-39,NC-ROYCOOPER-EO-35,terminates,References Executive Order 35,title_or_document_text,high
NC-ROYCOOPER-EO-46,NC-ROYCOOPER-EO-41,terminates,References Executive Order 41,title_or_document_text,high
NC-ROYCOOPER-EO-46,NC-ROYCOOPER-EO-44,terminates,References Executive Order 44,title_or_document_text,high
NC-ROYCOOPER-EO-46,NC-ROYCOOPER-EO-45,terminates,References Executive Order 45,title_or_document_text,high
NC-ROYCOOPER-EO-55,NC-ROYCOOPER-EO-52,amends,References Executive Order 52,title_or_document_text,high
NC-ROYCOOPER-EO-59,NC-ROYCOOPER-EO-55,terminates,References Executive Order 55,title_or_document_text,high
NC-ROYCOOPER-EO-59,NC-ROYCOOPER-EO-52,terminates,References Executive Order 52,title_or_document_text,high
NC-ROYCOOPER-EO-60,NC-ROYCOOPER-EO-57,amends,References Executive Order 57,title_or_document_text,high
NC-ROYCOOPER-EO-66,NC-ROYCOOPER-EO-61,terminates,References Executive Order 61,title_or_document_text,high
NC-ROYCOOPER-EO-77,NC-ROYCOOPER-EO-74,amends,References Executive Order 74,title_or_document_text,high
NC-ROYCOOPER-EO-77,NC-ROYCOOPER-EO-75,amends,References Executive Order 75,title_or_document_text,high
NC-ROYCOOPER-EO-81,NC-ROYCOOPER-EO-74,terminates,References Executive Order 74,title_or_document_text,high
NC-ROYCOOPER-EO-81,NC-ROYCOOPER-EO-75,terminates,References Executive Order 75,title_or_document_text,high
NC-ROYCOOPER-EO-81,NC-ROYCOOPER-EO-77,terminates,References Executive Order 77,title_or_document_text,high
NC-ROYCOOPER-EO-85,NC-ROYCOOPER-EO-83,terminates,References Executive Order 83,title_or_document_text,high
NC-ROYCOOPER-EO-85,NC-ROYCOOPER-EO-84,terminates,References Executive Order 84,title_or_document_text,high
NC-ROYCOOPER-EO-87,NC-ROYCOOPER-EO-67,terminates,References Executive Order 67,title_or_document_text,high
NC-ROYCOOPER-EO-88,NC-ROYCOOPER-EO-86,terminates,References Executive Order 86,title_or_document_text,high
NC-ROYCOOPER-EO-89,NC-ROYCOOPER-EO-52,terminates,References Executive Order 52,title_or_document_text,high
NC-ROYCOOPER-EO-89,NC-ROYCOOPER-EO-55,terminates,References Executive Order 55,title_or_document_text,high
NC-ROYCOOPER-EO-89,NC-ROYCOOPER-EO-59,terminates,References Executive Order 59,title_or_document_text,high
NC-ROYCOOPER-EO-135,NC-ROYCOOPER-EO-116,extends_duration,References Executive Order 116,title_or_document_text,high
NC-ROYCOOPER-EO-135,NC-ROYCOOPER-EO-122,extends_duration,References Executive Order 122,title_or_document_text,high
NC-ROYCOOPER-EO-135,NC-ROYCOOPER-EO-124,extends_duration,References Executive Order 124,title_or_document_text,high
NC-ROYCOOPER-EO-135,NC-ROYCOOPER-EO-118,extends_duration,References Executive Order 118,title_or_document_text,high
NC-ROYCOOPER-EO-135,NC-ROYCOOPER-EO-120,extends_duration,References Executive Order 120,title_or_document_text,high
NC-ROYCOOPER-EO-135,NC-ROYCOOPER-EO-121,extends_duration,References Executive Order 121,title_or_document_text,high
NC-ROYCOOPER-EO-135,NC-ROYCOOPER-EO-131,extends_duration,References Executive Order 131,title_or_document_text,high
NC-ROYCOOPER-EO-140,NC-ROYCOOPER-EO-133,extends_duration,References Executive Order 133,title_or_document_text,high
NC-ROYCOOPER-EO-140,NC-ROYCOOPER-EO-119,extends_duration,References Executive Order 119,title_or_document_text,high
NC-ROYCOOPER-EO-140,NC-ROYCOOPER-EO-116,extends_duration,References Executive Order 116,title_or_document_text,high
NC-ROYCOOPER-EO-140,NC-ROYCOOPER-EO-122,extends_duration,References Executive Order 122,title_or_document_text,high
NC-ROYCOOPER-EO-140,NC-ROYCOOPER-EO-124,extends_duration,References Executive Order 124,title_or_document_text,high
NC-ROYCOOPER-EO-142,NC-ROYCOOPER-EO-116,extends_duration,References Executive Order 116,title_or_document_text,high
NC-ROYCOOPER-EO-142,NC-ROYCOOPER-EO-122,extends_duration,References Executive Order 122,title_or_document_text,high
NC-ROYCOOPER-EO-142,NC-ROYCOOPER-EO-124,extends_duration,References Executive Order 124,title_or_document_text,high
NC-ROYCOOPER-EO-144,NC-ROYCOOPER-EO-130,extends_duration,References Executive Order 130,title_or_document_text,high
NC-ROYCOOPER-EO-144,NC-ROYCOOPER-EO-116,extends_duration,References Executive Order 116,title_or_document_text,high
