declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
ND-EO-2017-01,Burgum,2017-01,Orders Emergency Evacuation to Protect People and the Environment from Flooding,2017-02-15,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2017-02,Burgum,2017-02,Declares State of Emergency for Walsh County in Response to Flood Threat,2017-03-24,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2017-02.1,Burgum,2017-02.1,Declares State of Emergency for Nine Counties Due to Flood Threat,2017-04-14,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2017-03,Burgum,2017-03,Declares Flood Disaster for 10 Counties and Turtle Mountain Reservation,2017-05-19,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2017-06,Burgum,2017-06,Declares Drought Emergency,2017-06-22,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2017-07,Burgum,2017-07,Proclaims Statewide Fire and Drought Emergency,2017-06-26,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2017-12,Burgum,2017-12,Declares Drought Disaster,2017-07-26,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2017-14,Burgum,2017-14,Declares Summer Storm Disaster for Three Counties,2017-08-17,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2019-02,Burgum,2019-02,Declares Winter Storm Emergency,2019-03-26,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2019-03,Burgum,2019-03,Declares Statewide Flood Emergency,2019-03-27,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2019-09,Burgum,2019-09,Activates State Emergency Operations Plan for Severe Snowstorm,2019-10-11,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2019-10,Burgum,2019-10,Declares Statewide Flood Emergency,2019-10-21,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2020-30,Burgum,2020-30,Declares Statewide Flood Emergency for Spring Flooding,2020-04-24,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2020-41,Burgum,2020-41,Activates State Emergency Operations Plan for Severe Summer Storm,2020-08-31,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2021-07,Burgum,2021-07,Declares Statewide Wildfire Emergency,2021-04-01,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2021-08,Burgum,2021-08,Declares Statewide Drought Disaster,2021-04-08,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2021-14,Burgum,2021-14,Declares Statewide Severe Summer Storm Disaster,2021-08-09,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2022-04,Burgum,2022-04,Declares Disaster for Historic Blizzard,2022-04-25,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2022-05,Burgum,2022-05,Declares Statewide Emergency for Flooding and Infrastructure Damage,2022-04-25,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2022-09,Burgum,2022-09,Declares Winter Storm Disaster for November Storm,2022-12-09,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2023-03,Burgum,2023-03,Declares Winter Storm Disaster for January Fog and Ice Event,2023-03-21,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2023-04,Burgum,2023-04,Declares Statewide Emergency for Spring Flooding,2023-04-10,https://www.governor.nd.gov/executive-orders/executive-order-archive
ND-EO-2025-05,Armstrong,2025-05,Declares Statewide Disaster for Tornado Damage (Enderlin severe storms),2025-06-21,https://ndresponse.gov/news/armstrong-declares-disaster-tornado-damage-extends-sympathy-victims-families
ND-EO-2026-03,Armstrong,2026-03,Declares Statewide Disaster for Damage from Severe Storms June 7-9,2026-06-30,https://www.governor.nd.gov/news/armstrong-issues-executive-order-declaring-statewide-disaster-severe-storms-june-7-9
