event_url,declaration_url,link_text
https://oklahoma.gov/oem/emergencies-and-disasters/2016/20160323-wildfire-event.html,https://www.ok.gov/triton/modules/newsroom/newsroom_article.php?id&#61;223&amp;article_id&#61;19741,"Governor Fallin Declares State of Emergency for Woods County Due to Wildfires, Drought Conditions"
https://oklahoma.gov/oem/emergencies-and-disasters/2017/20170113-winter-weather-event.html,https://www.ok.gov/triton/modules/newsroom/newsroom_article.php?id&#61;223&amp;article_id&#61;28441,Governor Mary Fallin Declares State of Emergency Due to Approaching Storms
https://oklahoma.gov/oem/emergencies-and-disasters/2017/20170805-severe-weather-event.html,https://www.ok.gov/triton/modules/newsroom/newsroom_article.php?id&#61;223&amp;article_id&#61;34664,Gov. Fallin Declares State of Emergency for Four Northeastern Counties
https://oklahoma.gov/oem/emergencies-and-disasters/2018/20180412-wildfire-event.html,https://www.ok.gov/triton/modules/newsroom/newsroom_article.php?id&#61;223&amp;article_id&#61;42168,"Gov. Fallin Declares State of Emergency Due to Wildfires, Drought Conditions"
https://oklahoma.gov/oem/emergencies-and-disasters/2018/20181130-severe-weather-event.html,https://www.ok.gov/triton/modules/newsroom/newsroom_article.php?id&#61;223&amp;article_id&#61;46983,Gov. Fallin Declares State of Emergency Due to Tornadoes and Severe Storms
https://oklahoma.gov/oem/emergencies-and-disasters/2018/20181206-winter-weather-event.html,http://services.ok.gov/triton/modules/newsroom/newsroom_article.php?id&#61;223&amp;article_id&#61;47007,Gov. Fallin Declares State of Emergency Due to Approaching Storms
https://oklahoma.gov/oem/emergencies-and-disasters/2019/20190430-severe-weather-event.html,https://oklahoma.gov/oem/emergencies-and-disasters/2019/20190430-severe-weather-event/april-30--2019-severe-weather-event-gov--stitt-declares-state-of.html,Governor Stitt Declares State of Emergency Due to Severe Storms and Flooding
https://oklahoma.gov/oem/emergencies-and-disasters/2019/20190430-severe-weather-event.html,https://oklahoma.gov/content/sok-wcm/en/oem/emergencies-and-disasters/2019/20190430-severe-weather-event/april-30--2019-severe-weather-event-gov--stitt-declares-state-of.html,Gov. Stitt Declares State of Emergency
https://oklahoma.gov/oem/emergencies-and-disasters/2019/20190430-severe-weather-event.html,https://oklahoma.gov/oem/emergencies-and-disasters/2019/20190430-severe-weather-event/april-30--2019-severe-weather-event-gov--stitt-declares-state-of.html,Gov. Stitt Declares State of Emergency
https://oklahoma.gov/oem/emergencies-and-disasters/2019/may-18--2019-severe-weather-event.html,https://oklahoma.gov/content/sok-wcm/en/oem/emergencies-and-disasters/2019/20190430-severe-weather-event/april-30--2019-severe-weather-event-gov--stitt-declares-state-of.html,Gov. Stitt Declares State of Emergency
https://oklahoma.gov/oem/emergencies-and-disasters/2019/may-18--2019-severe-weather-event.html,https://oklahoma.gov/oem/emergencies-and-disasters/2019/20190430-severe-weather-event/april-30--2019-severe-weather-event-gov--stitt-declares-state-of.html,Gov. Stitt Declares State of Emergency
https://oklahoma.gov/oem/emergencies-and-disasters/2019/20190520-severe-weather-event.html,https://oklahoma.gov/content/sok-wcm/en/oem/emergencies-and-disasters/2019/20190430-severe-weather-event/april-30--2019-severe-weather-event-gov--stitt-declares-state-of.html,Gov. Stitt Declares State of Emergency
https://oklahoma.gov/oem/emergencies-and-disasters/2019/20190520-severe-weather-event.html,https://oklahoma.gov/oem/emergencies-and-disasters/2019/20190430-severe-weather-event/april-30--2019-severe-weather-event-gov--stitt-declares-state-of.html,Gov. Stitt Declares State of Emergency
https://oklahoma.gov/oem/emergencies-and-disasters/2019/20191126-wildfire-event.html,https://oklahoma.gov/content/sok-wcm/en/oem/emergencies-and-disasters/2019/20190430-severe-weather-event/april-30--2019-severe-weather-event-gov--stitt-declares-state-of.html,Gov. Stitt Declares State of Emergency
https://oklahoma.gov/oem/emergencies-and-disasters/2019/20191126-wildfire-event.html,https://oklahoma.gov/oem/emergencies-and-disasters/2019/20190430-severe-weather-event/april-30--2019-severe-weather-event-gov--stitt-declares-state-of.html,Gov. Stitt Declares State of Emergency
https://oklahoma.gov/oem/emergencies-and-disasters/2020/20200306-covid-19.html,https://oklahoma.gov/governor/newsroom/newsroom/2020/march/governor-stitt-announces-declaration-of-emergency.html,Governor Stitt Declares a State of Emergency
https://oklahoma.gov/oem/emergencies-and-disasters/2021/february-8--2021-winter-weather-event.html,https://oklahoma.gov/governor/newsroom/newsroom/2021/february/governor-stitt-declares-state-of-emergency-as-winter-storm-appro.html,Governor Stitt Declares State of Emergency as Winter Storm Approaches
https://oklahoma.gov/oem/emergencies-and-disasters/2022/november-4--2022-severe-weather-event.html,https://oklahoma.gov/governor/newsroom/newsroom/2022/november2022/governor-stitt-declares-state-of-emergency-for-bryan--mccurtain-.html,Governor Stitt Declares State of Emergency
https://oklahoma.gov/oem/emergencies-and-disasters/2025/march-14-wildfires.html,https://oklahoma.gov/oem/emergencies-and-disasters/2025/march-14-wildfires/governor-declares-state-of-emergency-march-15-2025.html,Governor Declares State of Emergency
https://oklahoma.gov/oem/emergencies-and-disasters/2026/severe-storms-march-5-6.html,https://oklahoma.gov/governor/newsroom/newsroom/2026/governor-stitt-declares-state-of-emergency-following-severe-weather.html,Governor Stitt Declares State of Emergency Following Severe Weather
https://oklahoma.gov/oem/emergencies-and-disasters/2026/severe-storms-april-23.html,https://oklahoma.gov/governor/newsroom/newsroom/2026/governor-stitt-declares-disaster-emergency-in-garfield-and-kay-counties.html,Gov. Stitt Declares Disaster Emergency in Garfield and Kay Counties
