declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
OR-EO-06-11,Ted Kulongoski,06-11,Invocation of Emergency Conflagration Act for McClean Creek Fire in Baker County,2006-07-04,https://www.oregon.gov/gov/eo/eo0611.pdf
OR-EO-26-24,Tina Kotek,26-24,Invocation of Emergency Conflagration Act for the Wrights Spring Fire in Klamath County,,https://www.oregon.gov/gov/eo/eo-26-24.pdf
OR-EO-26-23,Tina Kotek,26-23,Invocation of Emergency Conflagration Act for the Grasshopper Fire in Wasco County,,https://www.oregon.gov/gov/eo/eo-26-23.pdf
OR-EO-26-22,Tina Kotek,26-22,Invocation of Emergency Conflagration Act for the Second Flat Fire in Harney County,,https://www.oregon.gov/gov/eo/eo-26-22.pdf
OR-EO-26-21,Tina Kotek,26-21,Invocation of Emergency Conflagration Act for the Bench and Beachcomb Fires in Jefferson County,,https://www.oregon.gov/gov/eo/eo-26-21.pdf
OR-EO-26-20,Tina Kotek,26-20,Invocation of Emergency Conflagration Act for the Shingle Fire in Grant and Wheeler Counties,,https://www.oregon.gov/gov/eo/eo-26-20.pdf
OR-EO-26-19,Tina Kotek,26-19,Invocation of Emergency Conflagration Act for the Marks Creek Area of the Crosswhite West Fire in Crook and Jefferson Counties,,https://www.oregon.gov/gov/eo/eo-26-19.pdf
OR-EO-26-18,Tina Kotek,26-18,Invocation of Emergency Conflagration Act for the Hagen Fire in Umatilla County,,https://www.oregon.gov/gov/eo/eo-26-18.pdf
OR-EO-26-17,Tina Kotek,26-17,Invocation of Emergency Conflagration Act for the Akawa and Brewer Fires in Deschutes and Jefferson Counties,,https://www.oregon.gov/gov/eo/eo-26-17.pdf
OR-EO-26-16,Tina Kotek,26-16,Invocation of Emergency Conflagration Act for the Rowe Creek Complex Fire in Wheeler County,,https://www.oregon.gov/gov/eo/eo-26-16.pdf
OR-EO-26-15,Tina Kotek,26-15,Invocation of Emergency Conflagration Act for the Lower Dry Creek Fire in Umatilla County,,https://www.oregon.gov/gov/eo/eo-26-15.pdf
OR-EO-26-14,Tina Kotek,26-14,Invocation of Emergency Conflagration Act for the Olive Butte Fire in Grant County,,https://www.oregon.gov/gov/eo/eo-26-14.pdf
OR-EO-26-13,Tina Kotek,26-13,Invocation of Emergency Conflagration Act for the East Evans Creek Road Fire in Jackson County,,https://www.oregon.gov/gov/eo/eo-26-13.pdf
OR-EO-26-12,Tina Kotek,26-12,Determination of a State of Drought Emergency in Curry and Union Counties,,https://www.oregon.gov/gov/eo/eo-26-12.pdf
OR-EO-26-11,Tina Kotek,26-11,Determination of a State of Drought Emergency in Josephine and Wasco Counties,,https://www.oregon.gov/gov/eo/eo-26-11.pdf
OR-EO-26-10,Tina Kotek,26-10,Proclamation of State of Emergency Due to Imminent Threat of Wildfire,,https://www.oregon.gov/gov/eo/eo-26-10.pdf
OR-EO-26-09,Tina Kotek,26-09,"Determination of a State of Drought Emergency in Douglas, Gilliam, Harney, Lake and Malheur Counties",,https://www.oregon.gov/gov/eo/eo-26-09.pdf
OR-EO-26-08,Tina Kotek,26-08,"Determination of a State of Drought Emergency in Coos, Klamath and Wheeler Counties",,https://www.oregon.gov/gov/eo/eo-26-08.pdf
OR-EO-26-07,Tina Kotek,26-07,"Determination of a State of Drought Emergency in Crook, Grant, Jackson, Jefferson, Morrow and Wallowa Counties",,https://www.oregon.gov/gov/eo/eo-26-07.pdf
OR-EO-26-05,Tina Kotek,26-05,"Determination of a State of Drought Emergency in Baker, Deschutes and Umatilla Counties",,https://www.oregon.gov/gov/eo/eo-26-05.pdf
OR-EO-25-32,Tina Kotek,25-32,"Determination of State of Emergency in multiple counties due to a Severe Storm that included high winds, heavy rain, flooding, and landslides",,https://www.oregon.gov/gov/eo/eo-25-32.pdf
OR-EO-25-24,Tina Kotek,25-24,Invocation of Emergency Conflagration Act for the Moon Complex Fire in Curry County,,https://www.oregon.gov/gov/eo/eo-25-24.pdf
OR-EO-25-23,Tina Kotek,25-23,Determination of a State of Drought Emergency on Jefferson County,,https://www.oregon.gov/gov/eo/eo-25-23.pdf
OR-EO-25-20,Tina Kotek,25-20,Invocation of Emergency Conflagration Act for the Flat Fire in Jefferson and Deschutes Counties,,https://www.oregon.gov/gov/eo/eo-25-20.pdf
OR-EO-25-19,Tina Kotek,25-19,Determination of a State of Drought Emergency in Coos and Wheeler Counties,,https://www.oregon.gov/gov/eo/eo-25-19.pdf
OR-EO-25-18,Tina Kotek,25-18,"Determination of a State of Drought Emergency in Morrow, Douglas, and Union Counties.",,https://www.oregon.gov/gov/eo/eo-25-18.pdf
OR-EO-25-16,Tina Kotek,25-16,Declaration of State of Emergency Due to Imminent Threat of Wildfire,,https://www.oregon.gov/gov/eo/eo-25-16.pdf
OR-EO-25-15,Tina Kotek,25-15,Invocation of Emergency Conflagration Act for the Cram Fire in Jefferson and Wasco Counties,,https://www.oregon.gov/gov/eo/eo-25-15.pdf
OR-EO-25-14,Tina Kotek,25-14,Invocation of Emergency Conflagration Act for the Highland Fire in Crook County,,https://www.oregon.gov/gov/eo/eo-25-14.pdf
OR-EO-25-13,Tina Kotek,25-13,Determination of a State of Drought Emergency in Lincoln County,,https://www.oregon.gov/gov/eo/eo-25-13.pdf
OR-EO-25-12,Tina Kotek,25-12,Determination of a State of Drought Emergency in Baker County,,https://www.oregon.gov/gov/eo/eo-25-12.pdf
OR-EO-25-11,Tina Kotek,25-11,Invocation of Emergency Conflagration Act for the Elk Fire in Klamath County,,https://www.oregon.gov/gov/eo/eo-25-11.pdf
OR-EO-25-10,Tina Kotek,25-10,Invocation of Emergency Conflagration Act for the Cold Springs Fire in Umatilla County,,https://www.oregon.gov/gov/eo/eo-25-10.pdf
OR-EO-25-08,Tina Kotek,25-08,Declaration of State of Emergency in Wasco County Due to the Rowena Wildfire,,https://www.oregon.gov/gov/eo/eo-25-08.pdf
OR-EO-25-07,Tina Kotek,25-07,Invocation of Emergency Conflagration Act for the Alder Springs Fire in Jefferson County,,https://www.oregon.gov/gov/eo/eo-25-07.pdf
OR-EO-25-06,Tina Kotek,25-06,Invocation of Emergency Conflagration Act for the Rowena Fire in Wasco County,,https://www.oregon.gov/gov/eo/eo-25-06.pdf
OR-EO-25-05,Tina Kotek,25-05,Declaration of State of Emergency in Harney County due to Flooding,,https://www.oregon.gov/gov/eo/eo-25-05.pdf
OR-EO-25-04,Tina Kotek,25-04,"Determination of State of Emergency in Clackamas, Coos, Curry, Douglas, Harney, Jackson, Josephine, Lane, Multnomah, and Malheur Counties due to Flooding and Landslide Incidents",,https://www.oregon.gov/gov/eo/eo-25-04.pdf
OR-EO-25-03,Tina Kotek,25-03,"Determination of State of Emergency in Tillamook, Clackamas, Polk, Lincoln, Lane, Coos, Curry, Douglas, Jackson, Wasco, Lake, Umatilla, Wheeler, Grant, and Wallowa due to Heavy Rain and Flooding",,https://www.oregon.gov/gov/eo/eo-25-03.pdf
OR-EO-24-30,Tina Kotek,24-30,Determination of a State of Drought Emergency in Harney County,,https://www.oregon.gov/gov/eo/eo-24-30.pdf
OR-EO-24-29,Tina Kotek,24-29,Determination of a State of Drought Emergency in Wallowa County,,https://www.oregon.gov/gov/eo/eo-24-29.pdf
OR-EO-24-27,Tina Kotek,24-27,Invocation of Emergency Conflagration Act for the Service Fire in Wheeler,,https://www.oregon.gov/gov/eo/eo-24-27.pdf
OR-EO-24-26,Tina Kotek,24-26,Determination of a State of Drought Emergency in Lake County,,https://www.oregon.gov/gov/eo/eo-24-26.pdf
OR-EO-24-25,Tina Kotek,24-25,Invocation of Emergency Conflagration Act for the Shoe Fly Fire in Wheeler County,,https://www.oregon.gov/gov/eo/eo-24-25.pdf
