declaration_id,hazard_category_override,review_note,source_url
OR-EO-06-11,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo0611.pdf
OR-EO-26-24,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-26-24.pdf
OR-EO-26-23,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-26-23.pdf
OR-EO-26-22,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-26-22.pdf
OR-EO-26-21,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-26-21.pdf
OR-EO-26-20,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-26-20.pdf
OR-EO-26-19,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-26-19.pdf
OR-EO-26-18,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-26-18.pdf
OR-EO-26-17,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-26-17.pdf
OR-EO-26-16,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-26-16.pdf
OR-EO-26-15,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-26-15.pdf
OR-EO-26-14,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-26-14.pdf
OR-EO-26-13,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-26-13.pdf
OR-EO-25-24,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-25-24.pdf
OR-EO-25-20,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-25-20.pdf
OR-EO-25-15,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-25-15.pdf
OR-EO-25-14,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-25-14.pdf
OR-EO-25-11,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-25-11.pdf
OR-EO-25-07,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-25-07.pdf
OR-EO-25-06,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-25-06.pdf
OR-EO-24-27,fire,"The official Governor archive description invokes the Emergency Conflagration Act for a named Fire; the shared classifier does not recognize bare 'Fire' or 'conflagration', so a cited fire override is required.",https://www.oregon.gov/gov/eo/eo-24-27.pdf
