declaration_id,eo_number,event_description,archive_record_url,review_reason
OR-EO-26-24,26-24,Invocation of Emergency Conflagration Act for the Wrights Spring Fire in Klamath County,https://www.oregon.gov/gov/eo/eo-26-24.pdf,Official PDF is image-only or its signature date was not machine-readable; date_signed intentionally left blank pending OCR/manual review.
OR-EO-26-23,26-23,Invocation of Emergency Conflagration Act for the Grasshopper Fire in Wasco County,https://www.oregon.gov/gov/eo/eo-26-23.pdf,Official PDF is image-only or its signature date was not machine-readable; date_signed intentionally left blank pending OCR/manual review.
OR-EO-26-22,26-22,Invocation of Emergency Conflagration Act for the Second Flat Fire in Harney County,https://www.oregon.gov/gov/eo/eo-26-22.pdf,Official PDF is image-only or its signature date was not machine-readable; date_signed intentionally left blank pending OCR/manual review.
OR-EO-26-21,26-21,Invocation of Emergency Conflagration Act for the Bench and Beachcomb Fires in Jefferson County,https://www.oregon.gov/gov/eo/eo-26-21.pdf,Official PDF is image-only or its signature date was not machine-readable; date_signed intentionally left blank pending OCR/manual review.
OR-EO-26-20,26-20,Invocation of Emergency Conflagration Act for the Shingle Fire in Grant and Wheeler Counties,https://www.oregon.gov/gov/eo/eo-26-20.pdf,Official PDF is image-only or its signature date was not machine-readable; date_signed intentionally left blank pending OCR/manual review.
OR-EO-26-19,26-19,Invocation of Emergency Conflagration Act for the Marks Creek Area of the Crosswhite West Fire in Crook and Jefferson Counties,https://www.oregon.gov/gov/eo/eo-26-19.pdf,Official PDF is image-only or its signature date was not machine-readable; date_signed intentionally left blank pending OCR/manual review.
OR-EO-26-18,26-18,Invocation of Emergency Conflagration Act for the Hagen Fire in Umatilla County,https://www.oregon.gov/gov/eo/eo-26-18.pdf,Official PDF is image-only or its signature date was not machine-readable; date_signed intentionally left blank pending OCR/manual review.
OR-EO-26-17,26-17,Invocation of Emergency Conflagration Act for the Akawa and Brewer Fires in Deschutes and Jefferson Counties,https://www.oregon.gov/gov/eo/eo-26-17.pdf,Official PDF is image-only or its signature date was not machine-readable; date_signed intentionally left blank pending OCR/manual review.
OR-EO-26-16,26-16,Invocation of Emergency Conflagration Act for the Rowe Creek Complex Fire in Wheeler County,https://www.oregon.gov/gov/eo/eo-26-16.pdf,Official PDF is image-only or its signature date was not machine-readable; date_signed intentionally left blank pending OCR/manual review.
OR-EO-26-15,26-15,Invocation of Emergency Conflagration Act for the Lower Dry Creek Fire in Umatilla County,https://www.oregon.gov/gov/eo/eo-26-15.pdf,Official PDF is image-only or its signature date was not machine-readable; date_signed intentionally left blank pending OCR/manual review.
OR-EO-26-14,26-14,Invocation of Emergency Conflagration Act for the Olive Butte Fire in Grant County,https://www.oregon.gov/gov/eo/eo-26-14.pdf,Official PDF is image-only or its signature date was not machine-readable; date_signed intentionally left blank pending OCR/manual review.
OR-EO-26-13,26-13,Invocation of Emergency Conflagration Act for the East Evans Creek Road Fire in Jackson County,https://www.oregon.gov/gov/eo/eo-26-13.pdf,Official PDF is image-only or its signature date was not machine-readable; date_signed intentionally left blank pending OCR/manual review.
OR-EO-26-12,26-12,Determination of a State of Drought Emergency in Curry and Union Counties,https://www.oregon.gov/gov/eo/eo-26-12.pdf,Official PDF is image-only or its signature date was not machine-readable; date_signed intentionally left blank pending OCR/manual review.
OR-EO-26-11,26-11,Determination of a State of Drought Emergency in Josephine and Wasco Counties,https://www.oregon.gov/gov/eo/eo-26-11.pdf,Official PDF is image-only or its signature date was not machine-readable; date_signed intentionally left blank pending OCR/manual review.
