declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
OR-EO-06-11,OR,Ted Kulongoski,06-11,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for McClean Creek Fire in Baker County,2006-07-04,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo0611.pdf,https://www.oregon.gov/gov/eo/eo0611.pdf
OR-EO-26-24,OR,Tina Kotek,26-24,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Wrights Spring Fire in Klamath County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-24.pdf,https://www.oregon.gov/gov/eo/eo-26-24.pdf
OR-EO-26-23,OR,Tina Kotek,26-23,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Grasshopper Fire in Wasco County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-23.pdf,https://www.oregon.gov/gov/eo/eo-26-23.pdf
OR-EO-26-22,OR,Tina Kotek,26-22,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Second Flat Fire in Harney County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-22.pdf,https://www.oregon.gov/gov/eo/eo-26-22.pdf
OR-EO-26-21,OR,Tina Kotek,26-21,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Bench and Beachcomb Fires in Jefferson County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-21.pdf,https://www.oregon.gov/gov/eo/eo-26-21.pdf
OR-EO-26-20,OR,Tina Kotek,26-20,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Shingle Fire in Grant and Wheeler Counties,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-20.pdf,https://www.oregon.gov/gov/eo/eo-26-20.pdf
OR-EO-26-19,OR,Tina Kotek,26-19,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Marks Creek Area of the Crosswhite West Fire in Crook and Jefferson Counties,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-19.pdf,https://www.oregon.gov/gov/eo/eo-26-19.pdf
OR-EO-26-18,OR,Tina Kotek,26-18,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Hagen Fire in Umatilla County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-18.pdf,https://www.oregon.gov/gov/eo/eo-26-18.pdf
OR-EO-26-17,OR,Tina Kotek,26-17,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Akawa and Brewer Fires in Deschutes and Jefferson Counties,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-17.pdf,https://www.oregon.gov/gov/eo/eo-26-17.pdf
OR-EO-26-16,OR,Tina Kotek,26-16,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Rowe Creek Complex Fire in Wheeler County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-16.pdf,https://www.oregon.gov/gov/eo/eo-26-16.pdf
OR-EO-26-15,OR,Tina Kotek,26-15,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Lower Dry Creek Fire in Umatilla County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-15.pdf,https://www.oregon.gov/gov/eo/eo-26-15.pdf
OR-EO-26-14,OR,Tina Kotek,26-14,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Olive Butte Fire in Grant County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-14.pdf,https://www.oregon.gov/gov/eo/eo-26-14.pdf
OR-EO-26-13,OR,Tina Kotek,26-13,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the East Evans Creek Road Fire in Jackson County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-13.pdf,https://www.oregon.gov/gov/eo/eo-26-13.pdf
OR-EO-26-12,OR,Tina Kotek,26-12,emergency_declaration,declaration,Determination of a State of Drought Emergency in Curry and Union Counties,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-12.pdf,https://www.oregon.gov/gov/eo/eo-26-12.pdf
OR-EO-26-11,OR,Tina Kotek,26-11,emergency_declaration,declaration,Determination of a State of Drought Emergency in Josephine and Wasco Counties,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-11.pdf,https://www.oregon.gov/gov/eo/eo-26-11.pdf
OR-EO-26-10,OR,Tina Kotek,26-10,emergency_declaration,declaration,Proclamation of State of Emergency Due to Imminent Threat of Wildfire,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-10.pdf,https://www.oregon.gov/gov/eo/eo-26-10.pdf
OR-EO-26-09,OR,Tina Kotek,26-09,emergency_declaration,declaration,"Determination of a State of Drought Emergency in Douglas, Gilliam, Harney, Lake and Malheur Counties",,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-09.pdf,https://www.oregon.gov/gov/eo/eo-26-09.pdf
OR-EO-26-08,OR,Tina Kotek,26-08,emergency_declaration,declaration,"Determination of a State of Drought Emergency in Coos, Klamath and Wheeler Counties",,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-08.pdf,https://www.oregon.gov/gov/eo/eo-26-08.pdf
OR-EO-26-07,OR,Tina Kotek,26-07,emergency_declaration,declaration,"Determination of a State of Drought Emergency in Crook, Grant, Jackson, Jefferson, Morrow and Wallowa Counties",,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-07.pdf,https://www.oregon.gov/gov/eo/eo-26-07.pdf
OR-EO-26-06,OR,Tina Kotek,26-06,executive_order,administrative,Preserving Student Instructional Time,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-06.pdf,https://www.oregon.gov/gov/eo/eo-26-06.pdf
OR-EO-26-05,OR,Tina Kotek,26-05,emergency_declaration,declaration,"Determination of a State of Drought Emergency in Baker, Deschutes and Umatilla Counties",,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-05.pdf,https://www.oregon.gov/gov/eo/eo-26-05.pdf
OR-EO-26-04,OR,Tina Kotek,26-04,executive_order,administrative,Ensuring State Coordination for Immigrant and Refugee Communities to Promote Dignity and Safety,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-04.pdf,https://www.oregon.gov/gov/eo/eo-26-04.pdf
OR-EO-26-03,OR,Tina Kotek,26-03,emergency_declaration,amendment,Third Extension of Executive Order 25-08 Declaring a State of Emergency in Wasco County due to the Rowena Wildfire,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-03.pdf,https://www.oregon.gov/gov/eo/eo-26-03.pdf
OR-EO-26-02,OR,Tina Kotek,26-02,executive_order,administrative,"Expanding State of Emergency Declared in Executive Order 25-32 to include Linn, Polk, Umatilla, Union, and Wallowa Counties",,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-02.pdf,https://www.oregon.gov/gov/eo/eo-26-02.pdf
OR-EO-26-01,OR,Tina Kotek,26-01,emergency_declaration,extension,Extending Homelessness Emergency,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-26-01.pdf,https://www.oregon.gov/gov/eo/eo-26-01.pdf
OR-EO-25-32,OR,Tina Kotek,25-32,emergency_declaration,declaration,"Determination of State of Emergency in multiple counties due to a Severe Storm that included high winds, heavy rain, flooding, and landslides",,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-32.pdf,https://www.oregon.gov/gov/eo/eo-25-32.pdf
OR-EO-25-31,OR,Tina Kotek,25-31,emergency_declaration,termination,Rescinding Executive Order 25-30,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-31.pdf,https://www.oregon.gov/gov/eo/eo-25-31.pdf
OR-EO-25-30,OR,Tina Kotek,25-30,emergency_declaration,declaration,Proclamation of State of Emergency Due to Impacts of the Olympic Pipeline Shutdown,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-30.pdf,https://www.oregon.gov/gov/eo/eo-25-30.pdf
OR-EO-25-29,OR,Tina Kotek,25-29,executive_order,administrative,Executive Order on Reducing Greenhouse Gas Emissions and Advancing Oregon's Clean Energy Future,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-29.pdf,https://www.oregon.gov/gov/eo/eo-25-29.pdf
OR-EO-25-28,OR,Tina Kotek,25-28,emergency_declaration,amendment,Second Extension of Executive Order 25-08 Declaring a State of Emergency in Wasco County due to the Rowena Fire,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-28.pdf,https://www.oregon.gov/gov/eo/eo-25-28.pdf
OR-EO-25-27,OR,Tina Kotek,25-27,executive_order,administrative,Declaring a Hunger Emergency to Protect Oregonians from the Suspension of Federal Supplemental Nutrition Assistance Program (SNAP),,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-27.pdf,https://www.oregon.gov/gov/eo/eo-25-27.pdf
OR-EO-25-26,OR,Tina Kotek,25-26,executive_order,administrative,Directing State Agencies to Take Urgent Action to Promote the Resilience of our Communities and Natural and Working Lands and Waters,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-26.pdf,https://www.oregon.gov/gov/eo/eo-25-26.pdf
OR-EO-25-25,OR,Tina Kotek,25-25,executive_order,administrative,Accelerating Wind and Solar Energy Development in Advance of Elimination of Federal Clean Energy Tax Credits,,,false,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-25.pdf,https://www.oregon.gov/gov/eo/eo-25-25.pdf
OR-EO-25-24,OR,Tina Kotek,25-24,emergency_declaration,declaration,Invocation of Emergency Conflagration Act for the Moon Complex Fire in Curry County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-24.pdf,https://www.oregon.gov/gov/eo/eo-25-24.pdf
OR-EO-25-23,OR,Tina Kotek,25-23,emergency_declaration,declaration,Determination of a State of Drought Emergency on Jefferson County,,,true,oregon_governor_executive_order_list,pdf,https://www.oregon.gov/gov/eo/eo-25-23.pdf,https://www.oregon.gov/gov/eo/eo-25-23.pdf
