source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
OR-EO-26-03,OR-EO-25-08,amends,25-08,https://www.oregon.gov/gov/eo/eo-26-03.pdf,high
OR-EO-25-31,OR-EO-25-30,terminates,25-30,https://www.oregon.gov/gov/eo/eo-25-31.pdf,high
OR-EO-25-28,OR-EO-25-08,amends,25-08,https://www.oregon.gov/gov/eo/eo-25-28.pdf,high
OR-EO-25-17,OR-EO-25-08,extends,25-08,https://www.oregon.gov/gov/eo/eo-25-17.pdf,high
OR-EO-25-01,OR-EO-24-02,amends,24-02,https://www.oregon.gov/gov/eo/eo-25-01.pdf,high
OR-EO-24-03,OR-EO-23-03,terminates,23-03,https://www.oregon.gov/gov/eo/eo-24-03.pdf,high
OR-EO-24-03,OR-EO-22-21,terminates,22-21,https://www.oregon.gov/gov/eo/eo-24-03.pdf,high
OR-EO-22-24,OR-EO-22-23,terminates,22-23,https://www.oregon.gov/gov/eo/eo_22-24.pdf,high
OR-EO-22-15,OR-EO-18-03,terminates,18-03,https://www.oregon.gov/gov/eo/eo_22-15.pdf,high
OR-EO-22-05,OR-EO-20-60,terminates,20-60,https://www.oregon.gov/gov/eo/eo_22-05.pdf,high
OR-EO-22-03,OR-EO-20-03,terminates,20-03,https://www.oregon.gov/gov/eo/eo_22-03.pdf,high
OR-EO-22-03,OR-EO-21-29,terminates,21-29,https://www.oregon.gov/gov/eo/eo_22-03.pdf,high
OR-EO-22-03,OR-EO-21-36,terminates,21-36,https://www.oregon.gov/gov/eo/eo_22-03.pdf,high
OR-EO-21-36,OR-EO-20-03,extends,20-03,https://www.oregon.gov/gov/eo/eo_21-36.pdf,high
OR-EO-21-36,OR-EO-21-15,extends,21-15,https://www.oregon.gov/gov/eo/eo_21-36.pdf,high
OR-EO-21-36,OR-EO-21-31,extends,21-31,https://www.oregon.gov/gov/eo/eo_21-36.pdf,high
OR-EO-21-31,OR-EO-21-15,extends,21-15,https://www.oregon.gov/gov/eo/eo_21-31.pdf,high
OR-EO-21-10,OR-EO-20-03,amends,20-03,https://www.oregon.gov/gov/eo/eo-21-10.pdf,high
OR-EO-21-05,OR-EO-20-03,amends,20-03,https://www.oregon.gov/gov/eo/eo_21-05.pdf,high
