declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
PA-PROC-2026-02-22-winter-storm-3e6a0a0,Josh Shapiro,,"A complex winter storm system is expected to impact multiple counties with dangerous weather, including heavy snow and strong winds.",2026-02-22,https://www.pa.gov/content/dam/copapwp-pagov/en/pema/documents/governor-proclamations/2026.2.22%20disaster%20emergency%20proclamation%20winter%20weather.pdf
PA-PROC-2026-01-23-winter-storm-96c05e6,Josh Shapiro,,"A severe winter storm is forecasted to impact the entire Commonwealth of Pennsylvania, causing dangerous weather conditions.",2026-01-23,https://www.pa.gov/content/dam/copapwp-pagov/en/pema/documents/governor-proclamations/2026.1.23%20proclamation%20of%20disaster%20emergency%20january%202026%20winter%20storm.pdf
PA-PROC-2024-11-30-severe-winter-event-d0bfa75,Josh Shapiro,,"Severe winter event brings dangerous conditions, including heavy snowfall and high winds, to Erie County.",2024-11-30,https://www.pa.gov/content/dam/copapwp-pagov/en/pema/documents/governor-proclamations/2024.11.30%20disaster%20emergency%20proclamation%20erie%20winter%20storm.pdf
PA-PROC-2024-08-09-tropical-storm-debby-afd0db9,Josh Shapiro,,"Remnants of Tropical Storm Debby bring dangerous conditions, including flash and rivervine flooding.",2024-08-09,https://www.pa.gov/content/dam/copapwp-pagov/en/pema/documents/governor-proclamations/2024.8.9%20disaster%20emergency%20proclamation%20tropical%20storm%20debby%20pdf.pdf
PA-PROC-2021-02-01-winter-weather-cf544e0,Tom Wolf,,"A winter event including snow, ice, and high winds with potential for significant adverse impacts through Pennsylvania.",2021-02-01,https://www.pa.gov/content/dam/copapwp-pagov/en/pema/documents/governor-proclamations/winter-storm-disaster-emergency-proclamation-020121.pdf
PA-PROC-2020-12-15-winter-event-d96cc20,Tom Wolf,,"Severe winter event expected to bring dangerous conditions including snow, ice, and flooding.",2020-12-15,https://www.pa.gov/content/dam/copapwp-pagov/en/pema/documents/governor-proclamations/winter-storm-disaster-emergency-proclamation-121520.pdf
PA-PROC-2021-08-31-hurricane-ida-b4a5355,Tom Wolf,,Hurricane Ida after-effects bring heavy rains and a serious threat of flash and riverine flooding to Pennsylvania.,2021-08-31,https://www.pa.gov/content/dam/copapwp-pagov/en/pema/documents/governor-proclamations/hurricane-ida-proclamation-of-disaster-emergency-08312021.pdf
PA-PROC-2019-01-18-severe-winter-event-8a78f83,Tom Wolf,,"A severe winter event is expected to cause dangerous winter weather conditions, including snow, ice, and flooding.",2019-01-18,https://www.pa.gov/content/dam/copapwp-pagov/en/pema/documents/governor-proclamations/winter-storm-disaster-emergency-proclamation-1-18-2019.pdf
PA-PROC-2018-08-17-severe-weather-event-1c1d178,Tom Wolf,,Slow-moving storms with record-breaking rainfall and flash flooding.,2018-08-17,https://www.pa.gov/content/dam/copapwp-pagov/en/pema/documents/governor-proclamations/severe-weather-081718.pdf
PA-PROC-2018-06-04-severe-weather-event-9dd5a4e,Tom Wolf,,Nearly continuous storms for the first four months of 2018 caused a rapid buildup of water.,2018-06-04,https://www.pa.gov/content/dam/copapwp-pagov/en/pema/documents/governor-proclamations/severe-weather-060418.pdf
