declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
PA-EO-2026-05,PA,Josh Shapiro,2026-05,executive_order,administrative,2026-05 – Protecting Pennsylvania Consumers from Data Center Impacts,2026-08-18,,False,oa_issuance_index,pdf,https://www.pa.gov/agencies/oa/policies/view-policies,https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/2026-05.pdf
PA-EO-2026-01,PA,Josh Shapiro,2026-01,executive_order,administrative,"2026-01 - Protecting The Rights, Dignity, and Privacy of People with Disabilities",2026-04-15,,False,oa_issuance_index,pdf,https://www.pa.gov/agencies/oa/policies/view-policies,https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/2026-01.pdf
PA-EO-2026-04,PA,Josh Shapiro,2026-04,executive_order,administrative,2026-04 – Modernizing Emergency Management in Pennsylvania,2026-08-04,,True,oa_issuance_index,pdf,https://www.pa.gov/agencies/oa/policies/view-policies,https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/2026-04.pdf
PA-EO-2026-03,PA,Josh Shapiro,2026-03,executive_order,administrative,2026-03 – Developmental Disabilities Council,2026-04-15,,False,oa_issuance_index,pdf,https://www.pa.gov/agencies/oa/policies/view-policies,https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/2026-03.pdf
PA-EO-2026-02,PA,Josh Shapiro,2026-02,executive_order,administrative,2026-02 – Governor’s Advisory Commission on People with Disabilities,2026-04-15,,False,oa_issuance_index,pdf,https://www.pa.gov/agencies/oa/policies/view-policies,https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/2026-02.pdf
PA-EO-2025-01,PA,Josh Shapiro,2025-01,executive_order,administrative,2025-01 – Filling Critical Public Service Vacancies by Recruiting Federal Government Talent and Expertise,2025-03-05,,False,oa_issuance_index,pdf,https://www.pa.gov/agencies/oa/policies/view-policies,https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/2025-01.pdf
PA-EO-2025-02,PA,Josh Shapiro,2025-02,executive_order,administrative,2025-02 – Protecting Pennsylvanians’ Health and Freedom by Ensuring Access to Safe and Effective Vaccines,2025-10-01,,False,oa_issuance_index,pdf,https://www.pa.gov/agencies/oa/policies/view-policies,https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/2025-02.pdf
PA-EO-1992-01,PA,,1992-01,executive_order,administrative,1992-01 - Records Management,1992-01-08,,False,oa_issuance_index,pdf,https://www.pa.gov/agencies/oa/policies/view-policies,https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/1992_1.pdf
PA-EO-2016-04,PA,Tom Wolf,2016-04,executive_order,administrative,2016-04 - Equal Employment Opportunity,2016-04-07,,False,oa_issuance_index,pdf,https://www.pa.gov/agencies/oa/policies/view-policies,https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/2016_04.pdf
PA-EO-2016-07,PA,Tom Wolf,2016-07,executive_order,amendment,"2016-07 Amended- Open Data, Data Management, and Data Governance",2019-07-24,,False,oa_issuance_index,pdf,https://www.pa.gov/agencies/oa/policies/view-policies,https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/2016-07.pdf
PA-EO-2016-06,PA,Tom Wolf,2016-06,executive_order,administrative,2016-06 - Enterprise Information Technology Governance,2020-10-27,,False,oa_issuance_index,pdf,https://www.pa.gov/agencies/oa/policies/view-policies,https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/2016-06.pdf
PA-EO-2024-01,PA,Josh Shapiro,2024-01,executive_order,administrative,"2024-01 – Hire, Improve, Recruit, Empower Committee",2024-05-13,,False,oa_issuance_index,pdf,https://www.pa.gov/agencies/oa/policies/view-policies,https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/2024-01.pdf
PA-EO-2023-08,PA,Josh Shapiro,2023-08,executive_order,administrative,2023-08 – Bolstering Service Delivery through a Digital Experience Strategy,2023-04-25,,False,oa_issuance_index,pdf,https://www.pa.gov/agencies/oa/policies/view-policies,https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/2023-08.pdf
PA-EO-1996-13,PA,WHEREAS,1996-13,executive_order,administrative,1996-13 - Commonwealth of Pennsylvania's Policy on Substance Abuse in the Workplace,1996-12-20,,False,oa_issuance_index,pdf,https://www.pa.gov/agencies/oa/policies/view-policies,https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/1996_13.pdf
PA-EO-2021-04,PA,Tom Wolf,2021-04,executive_order,administrative,2021-04 - Prohibition of Sexual Harassment in the Commonwealth,2021-06-15,,False,oa_issuance_index,pdf,https://www.pa.gov/agencies/oa/policies/view-policies,https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/2021-04.pdf
PA-EO-2019-05,PA,Tom Wolf,2019-05,executive_order,administrative,2019-05 - Protection of Vulnerable Populations,2019-07-31,,False,oa_issuance_index,pdf,https://www.pa.gov/agencies/oa/policies/view-policies,https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/2019-05.pdf
PA-EO-2023-19,PA,Josh Shapiro,2023-19,executive_order,administrative,2023-19 – Expanding and Governing the Use of Generative Artificial Intelligence Technologies Within the Commonwealth of Pennsylvania,2023-09-20,,False,oa_issuance_index,pdf,https://www.pa.gov/agencies/oa/policies/view-policies,https://www.pa.gov/content/dam/copapwp-pagov/en/oa/documents/policies/eo/2023-19.pdf
