source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
PA-PROC-2024-08-20-tropical-storm-debby-amendment-963bd70,PA-PROC-2024-08-09-tropical-storm-debby-afd0db9,amends,Linked with the original proclamation on the official PEMA page,archive_structure,high
PA-PROC-UNDATED-winter-weather-termination-8d46638,PA-PROC-UNDATED-winter-weather-cf544e0,terminates,Linked with the original proclamation on the official PEMA page,archive_structure,high
PA-PROC-2021-05-20-covid-19-amendment-75bab52,PA-PROC-2020-03-06-covid-19-c680955,amends,Linked with the original proclamation on the official PEMA page,archive_structure,high
PA-PROC-2021-02-19-covid-19-amendment-c532d60,PA-PROC-2020-03-06-covid-19-c680955,amends,Linked with the original proclamation on the official PEMA page,archive_structure,high
PA-PROC-2020-11-24-covid-19-amendment-dd98013,PA-PROC-2020-03-06-covid-19-c680955,amends,Linked with the original proclamation on the official PEMA page,archive_structure,high
PA-PROC-2020-08-31-covid-19-amendment-ac42d1d,PA-PROC-2020-03-06-covid-19-c680955,amends,Linked with the original proclamation on the official PEMA page,archive_structure,high
PA-PROC-2020-06-03-covid-19-amendment-0cf4129,PA-PROC-2020-03-06-covid-19-c680955,amends,Linked with the original proclamation on the official PEMA page,archive_structure,high
PA-PROC-2021-05-07-opioid-crisis-amendment-e971eae,PA-PROC-2018-01-10-opioid-crisis-67fb73f,amends,Linked with the original proclamation on the official PEMA page,archive_structure,high
PA-PROC-2021-02-09-opioid-crisis-amendment-5058fa4,PA-PROC-2018-01-10-opioid-crisis-67fb73f,amends,Linked with the original proclamation on the official PEMA page,archive_structure,high
PA-PROC-2020-11-12-opioid-crisis-amendment-a864dcc,PA-PROC-2018-01-10-opioid-crisis-67fb73f,amends,Linked with the original proclamation on the official PEMA page,archive_structure,high
PA-PROC-2020-08-18-opioid-crisis-amendment-17560ae,PA-PROC-2018-01-10-opioid-crisis-67fb73f,amends,Linked with the original proclamation on the official PEMA page,archive_structure,high
PA-PROC-2020-05-22-opioid-crisis-amendment-9570aab,PA-PROC-2018-01-10-opioid-crisis-67fb73f,amends,Linked with the original proclamation on the official PEMA page,archive_structure,high
PA-PROC-2020-02-25-opioid-crisis-amendment-2877c15,PA-PROC-2018-01-10-opioid-crisis-67fb73f,amends,Linked with the original proclamation on the official PEMA page,archive_structure,high
PA-PROC-2018-12-21-opioid-crisis-amendment-36659c4,PA-PROC-2018-01-10-opioid-crisis-67fb73f,amends,Linked with the original proclamation on the official PEMA page,archive_structure,high
PA-PROC-2018-09-24-opioid-crisis-amendment-de5d4b8,PA-PROC-2018-01-10-opioid-crisis-67fb73f,amends,Linked with the original proclamation on the official PEMA page,archive_structure,high
PA-PROC-2018-06-28-opioid-crisis-amendment-79a0973,PA-PROC-2018-01-10-opioid-crisis-67fb73f,amends,Linked with the original proclamation on the official PEMA page,archive_structure,high
PA-PROC-2018-04-04-opioid-crisis-amendment-8fc3b96,PA-PROC-2018-01-10-opioid-crisis-67fb73f,amends,Linked with the original proclamation on the official PEMA page,archive_structure,high
