declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,EVENT_ID,EPISODE_ID,BEGIN_DATE_TIME,END_DATE_TIME,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,EVENT_TYPE,MAGNITUDE,MAGNITUDE_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,EPISODE_NARRATIVE,EVENT_NARRATIVE
RI-EO-21-88,21-88,Daniel J. McKee,"Declaration of Disaster Emergency: Executive Order 21-88 Declaration of Disaster Emergency August 20, 2021 WHEREAS, there is a potential emergency posed by the arrival of Hurricane Henri;",2021-08-20,https://governor.ri.gov/executive-orders/executive-order-21-88,979349,162131,2021-08-22 07:29:00,2021-08-22 10:30:00,Z,NWS forecast zone,8,BLOCK ISLAND,Tropical Storm,,,0,0,0.00K,0.00K,Mesonet,"Tropical Storm Henri made landfall in southwest Rhode Island around noon on August 22nd, then moved slowly northwestward and westward across northern Connecticut and weakened. Henri brought strong wind gusts and flash flooding. The strongest gusts -- to 70 mph -- occurred along the Rhode Island coast.  The worst flash flooding occurred in northeast Connecticut.  ||As the remnants of Henri moved eastward across southern New England on August 23rd, it spawned three tornadoes and a waterspout in MA and also it caused some renewed flooding.||The highest rainfall totals over the two-day period ranged from 5 to 6 inches in Hartford and Tolland Counties in northern Connecticut and in Franklin, Hampshire, and Hampden Counties in western Massachusetts.","Winds gusted to between 60 and 70 mph for a few hours during the mid to late morning.  At 859 AM EST, a mesonet site at New Shoreham recorded a peak gust to 67 mph.  At 932 AM EST, a mesonet site at the Block Island Jetty recorded a peak wind gust to 69 mph."
RI-EO-21-88,21-88,Daniel J. McKee,"Declaration of Disaster Emergency: Executive Order 21-88 Declaration of Disaster Emergency August 20, 2021 WHEREAS, there is a potential emergency posed by the arrival of Hurricane Henri;",2021-08-20,https://governor.ri.gov/executive-orders/executive-order-21-88,979818,162131,2021-08-22 09:00:00,2021-08-22 12:00:00,Z,NWS forecast zone,5,BRISTOL,Tropical Storm,,,0,0,200.00K,0.00K,Emergency Manager,"Tropical Storm Henri made landfall in southwest Rhode Island around noon on August 22nd, then moved slowly northwestward and westward across northern Connecticut and weakened. Henri brought strong wind gusts and flash flooding. The strongest gusts -- to 70 mph -- occurred along the Rhode Island coast.  The worst flash flooding occurred in northeast Connecticut.  ||As the remnants of Henri moved eastward across southern New England on August 23rd, it spawned three tornadoes and a waterspout in MA and also it caused some renewed flooding.||The highest rainfall totals over the two-day period ranged from 5 to 6 inches in Hartford and Tolland Counties in northern Connecticut and in Franklin, Hampshire, and Hampden Counties in western Massachusetts.","According to the Rhode Island Emergency Management Agency, approximately 18-20 homes were damaged due to falling trees."
RI-EO-21-88,21-88,Daniel J. McKee,"Declaration of Disaster Emergency: Executive Order 21-88 Declaration of Disaster Emergency August 20, 2021 WHEREAS, there is a potential emergency posed by the arrival of Hurricane Henri;",2021-08-20,https://governor.ri.gov/executive-orders/executive-order-21-88,979810,162131,2021-08-22 10:03:00,2021-08-22 11:13:00,Z,NWS forecast zone,4,EASTERN KENT,Tropical Storm,,,0,0,0.50K,0.00K,Amateur Radio,"Tropical Storm Henri made landfall in southwest Rhode Island around noon on August 22nd, then moved slowly northwestward and westward across northern Connecticut and weakened. Henri brought strong wind gusts and flash flooding. The strongest gusts -- to 70 mph -- occurred along the Rhode Island coast.  The worst flash flooding occurred in northeast Connecticut.  ||As the remnants of Henri moved eastward across southern New England on August 23rd, it spawned three tornadoes and a waterspout in MA and also it caused some renewed flooding.||The highest rainfall totals over the two-day period ranged from 5 to 6 inches in Hartford and Tolland Counties in northern Connecticut and in Franklin, Hampshire, and Hampden Counties in western Massachusetts.","In Warwick at 1113 AM EST, a tree was down on Fountain Avenue.  At 1003 AM EST, the ASOS at T. F. Green International Airport (KPVD) recorded a gust to 47 mph."
RI-EO-21-88,21-88,Daniel J. McKee,"Declaration of Disaster Emergency: Executive Order 21-88 Declaration of Disaster Emergency August 20, 2021 WHEREAS, there is a potential emergency posed by the arrival of Hurricane Henri;",2021-08-20,https://governor.ri.gov/executive-orders/executive-order-21-88,979348,162131,2021-08-22 05:27:00,2021-08-22 11:23:00,Z,NWS forecast zone,7,NEWPORT,Tropical Storm,,,0,0,500.00K,0.00K,Amateur Radio,"Tropical Storm Henri made landfall in southwest Rhode Island around noon on August 22nd, then moved slowly northwestward and westward across northern Connecticut and weakened. Henri brought strong wind gusts and flash flooding. The strongest gusts -- to 70 mph -- occurred along the Rhode Island coast.  The worst flash flooding occurred in northeast Connecticut.  ||As the remnants of Henri moved eastward across southern New England on August 23rd, it spawned three tornadoes and a waterspout in MA and also it caused some renewed flooding.||The highest rainfall totals over the two-day period ranged from 5 to 6 inches in Hartford and Tolland Counties in northern Connecticut and in Franklin, Hampshire, and Hampden Counties in western Massachusetts.","Winds generally gusted to between 50 and 70 mph in Newport County.  According to the Rhode Island Emergency Management Agency, there were approximately 60 homes damaged in Newport County.  In Little Compton at 527 AM EST, a tree was down on West Bay Road.  In Middletown from 720-729 AM EST, a tree was down on Orchard Avenue and a large branch was down onto wires on Bliss Mine Road.  In Newport at 820 AM EST, the intersection of Marchant Street and Wellington Avenue was flooded.  Also in Newport, at 931 AM EST multiple trees were reported down across town and at 945 AM EST, a Weatherflow mesonet recorded a wind gust to 68 mph.  At 1043 AM EST, a Weatherflow mesonet station at Rose Island in Newport recorded a wind gust to 58 mph.  In Little Compton at 1123 AM EST, a Weatherflow mesonet station at Sakonnet Vineyards measured a wind gust to 58 mph.  In Tiverton, there were reports of multiple trees and wires down around the town."
RI-EO-21-88,21-88,Daniel J. McKee,"Declaration of Disaster Emergency: Executive Order 21-88 Declaration of Disaster Emergency August 20, 2021 WHEREAS, there is a potential emergency posed by the arrival of Hurricane Henri;",2021-08-20,https://governor.ri.gov/executive-orders/executive-order-21-88,979803,162131,2021-08-22 09:24:00,2021-08-22 10:53:00,Z,NWS forecast zone,1,NORTHWEST PROVIDENCE,Tropical Storm,,,0,0,80.00K,0.00K,Emergency Manager,"Tropical Storm Henri made landfall in southwest Rhode Island around noon on August 22nd, then moved slowly northwestward and westward across northern Connecticut and weakened. Henri brought strong wind gusts and flash flooding. The strongest gusts -- to 70 mph -- occurred along the Rhode Island coast.  The worst flash flooding occurred in northeast Connecticut.  ||As the remnants of Henri moved eastward across southern New England on August 23rd, it spawned three tornadoes and a waterspout in MA and also it caused some renewed flooding.||The highest rainfall totals over the two-day period ranged from 5 to 6 inches in Hartford and Tolland Counties in northern Connecticut and in Franklin, Hampshire, and Hampden Counties in western Massachusetts.","In North Smithfield at 924 AM EST, a tree was down on a wire on Hanton Road and at 1053 AM EST, a tree was down on St. Paul Street at Middle Street.  In Lincoln at 944 AM EST, a tree was down on South Street at Breakneck Hill Road.  In Cumberland at 1047 AM EST, two trees were down on unspecified roads. Numerous other trees were downed but not reported. Winds generally were gusting to 40 to 45 mph."
RI-EO-21-88,21-88,Daniel J. McKee,"Declaration of Disaster Emergency: Executive Order 21-88 Declaration of Disaster Emergency August 20, 2021 WHEREAS, there is a potential emergency posed by the arrival of Hurricane Henri;",2021-08-20,https://governor.ri.gov/executive-orders/executive-order-21-88,979809,162131,2021-08-22 11:09:00,2021-08-22 11:36:00,Z,NWS forecast zone,2,SOUTHEAST PROVIDENCE,Tropical Storm,,,0,0,1.50K,0.00K,Law Enforcement,"Tropical Storm Henri made landfall in southwest Rhode Island around noon on August 22nd, then moved slowly northwestward and westward across northern Connecticut and weakened. Henri brought strong wind gusts and flash flooding. The strongest gusts -- to 70 mph -- occurred along the Rhode Island coast.  The worst flash flooding occurred in northeast Connecticut.  ||As the remnants of Henri moved eastward across southern New England on August 23rd, it spawned three tornadoes and a waterspout in MA and also it caused some renewed flooding.||The highest rainfall totals over the two-day period ranged from 5 to 6 inches in Hartford and Tolland Counties in northern Connecticut and in Franklin, Hampshire, and Hampden Counties in western Massachusetts.","In North Providence at 1109 AM EST, police reported isolated downed trees across town.  At 1136 AM EST, a NOS site at Fox Point recorded a wind gust to 44 mph."
RI-EO-21-88,21-88,Daniel J. McKee,"Declaration of Disaster Emergency: Executive Order 21-88 Declaration of Disaster Emergency August 20, 2021 WHEREAS, there is a potential emergency posed by the arrival of Hurricane Henri;",2021-08-20,https://governor.ri.gov/executive-orders/executive-order-21-88,979377,162131,2021-08-22 06:48:00,2021-08-22 14:00:00,Z,NWS forecast zone,6,WASHINGTON,Tropical Storm,,,0,0,1.00M,0.00K,Amateur Radio,"Tropical Storm Henri made landfall in southwest Rhode Island around noon on August 22nd, then moved slowly northwestward and westward across northern Connecticut and weakened. Henri brought strong wind gusts and flash flooding. The strongest gusts -- to 70 mph -- occurred along the Rhode Island coast.  The worst flash flooding occurred in northeast Connecticut.  ||As the remnants of Henri moved eastward across southern New England on August 23rd, it spawned three tornadoes and a waterspout in MA and also it caused some renewed flooding.||The highest rainfall totals over the two-day period ranged from 5 to 6 inches in Hartford and Tolland Counties in northern Connecticut and in Franklin, Hampshire, and Hampden Counties in western Massachusetts.","Wind speeds generally were gusting to 60 to 70 mph in Washington County.  There was significant damage and widespread power outages.  According to the RI Emergency Management Agency, there were approximately 60 homes damaged in Newport County, 33 homes in Washington County, and around 20 homes damaged in Bristol County. In North Kingstown between 648 and 709 AM EST, a tree fell on a car on Sweet Lane, a tree was down on power lines on Church Street, and a large oak tree was down on an unspecified road...with additional trees falling through the morning. Also in North Kingstown at 801 AM EST, Wickford Cove was closed due to flooding.  In South Kingstown at 742 AM EST, a tree fell through the roof of a home on Overhill Road.  At 1034 AM EST, a Weatherflow mesonet station at the University of Rhode Island, located in the Kingston section of South Kingstown, recorded a gust to 69 mph.  Exeter had a lot of damage, with the first report coming in at 746 AM EST, with a tree down on wires on Falcon Drive. By 2 PM EST, the Exeter Police Department characterized the town as having major damage, with numerous trees and power poles down throughout Exeter.  In Narragansett at 814 AM EST, a tree was down on Riverdell Drive.  Wind gusts at a mesonet station at Point Judith reached 59 mph at 857 AM EST, then reached a maximum of 70 mph at 957 AM EST.  At 1044 AM EST, Narragansett Police reported that the combination of coastal flooding and rainfall closed Ocean Rd. from Narragansett Ave. to South Pier Rd., Beach St., and ocean access points at Pilgrim Ave. and Conant Ave.  Numerous trees and wires were down throughout the town. A power pole was snapped at Caswell and Central Streets. Another pole was down on Saltaire Ave. and there was a transformer fire on Ocean Spray Ave.  In Westerly between 9 and 1030 AM EST, numerous trees were down across town and Atlantic Avenue was impassable up to 1st Street due to flooding from a combination of heavy rainfall and storm surge.  Also in Westerly at 1025 AM, there was two feet of water on Main Street.  In Charlestown at Ninigret Pond, a Weatherflow mesonet station recorded a gust to 58 mph at 949 AM EST and at 12 PM EST, a tree was down on a house on Alton Bradford Rd.  In Hopkinton, the Emergency Management Director reported numerous trees and wires down throughout town...specific locations included Howard St., Crowthers Place, Woodville Rd., Collins Rd., and Woodville Alton Rd.  On Elm St. in Hopkinton, there was a transformer explosion with a fire."
RI-EO-21-88,21-88,Daniel J. McKee,"Declaration of Disaster Emergency: Executive Order 21-88 Declaration of Disaster Emergency August 20, 2021 WHEREAS, there is a potential emergency posed by the arrival of Hurricane Henri;",2021-08-20,https://governor.ri.gov/executive-orders/executive-order-21-88,979811,162131,2021-08-22 11:00:00,2021-08-22 12:00:00,Z,NWS forecast zone,3,WESTERN KENT,Tropical Storm,,,0,0,38.00K,0.00K,Amateur Radio,"Tropical Storm Henri made landfall in southwest Rhode Island around noon on August 22nd, then moved slowly northwestward and westward across northern Connecticut and weakened. Henri brought strong wind gusts and flash flooding. The strongest gusts -- to 70 mph -- occurred along the Rhode Island coast.  The worst flash flooding occurred in northeast Connecticut.  ||As the remnants of Henri moved eastward across southern New England on August 23rd, it spawned three tornadoes and a waterspout in MA and also it caused some renewed flooding.||The highest rainfall totals over the two-day period ranged from 5 to 6 inches in Hartford and Tolland Counties in northern Connecticut and in Franklin, Hampshire, and Hampden Counties in western Massachusetts.","In Coventry, multiple trees were reported down throughout the town.  Numerous other trees and lines were downed but not reported. Winds were generally gusting to 45 to 55 mph."
RI-EO-22-10,22-10,Daniel J. McKee,"Declaration of Disaster Emergency: Executive Order 22-10 Declaration of Disaster Emergency January 28, 2022 WHEREAS, a winter storm consisting of high winds, heavy snow and blizzard conditions is forecast to impact the entire State of Rhode Island on Saturday, January 29, 2022;",2022-01-28,https://governor.ri.gov/executive-orders/executive-order-22-10,1002835,165832,2022-01-28 09:00:00,2022-01-29 23:00:00,Z,NWS forecast zone,8,BLOCK ISLAND,Blizzard,,,0,0,0.00K,0.00K,ASOS,"Explosive cyclogenesis of a low pressure center off the Mid Atlantic coast brought a strong winter storm with blizzard conditions to all of southern New England Saturday and Saturday night. The storm tracked from east of the Carolinas to the 70w/40n benchmark bringing extreme snowfall rates of 2 to 4 inches per hour and winds gusting to hurricane force along the coast and 50 to 60 mph inland. The heaviest snow, just under 30 inches, fell over southeast MA, and in RI up to 2 feet fell. Snow tapered off overnight Saturday with quiet weather to follow on Sunday.",The Block Island Airport ASOS (KBID) reported blizzard conditions from 705 AM EST to 142 PM EST. The strongest gust was 72 mph at the Block Island Jetty at 1022 PM EST. Snowfall amounts were around 10 inches. The Block Island CO-OP reported 10.4 inches.
RI-EO-22-10,22-10,Daniel J. McKee,"Declaration of Disaster Emergency: Executive Order 22-10 Declaration of Disaster Emergency January 28, 2022 WHEREAS, a winter storm consisting of high winds, heavy snow and blizzard conditions is forecast to impact the entire State of Rhode Island on Saturday, January 29, 2022;",2022-01-28,https://governor.ri.gov/executive-orders/executive-order-22-10,1002831,165832,2022-01-28 09:00:00,2022-01-29 23:00:00,Z,NWS forecast zone,5,BRISTOL,Heavy Snow,,,0,0,0.00K,0.00K,Amateur Radio,"Explosive cyclogenesis of a low pressure center off the Mid Atlantic coast brought a strong winter storm with blizzard conditions to all of southern New England Saturday and Saturday night. The storm tracked from east of the Carolinas to the 70w/40n benchmark bringing extreme snowfall rates of 2 to 4 inches per hour and winds gusting to hurricane force along the coast and 50 to 60 mph inland. The heaviest snow, just under 30 inches, fell over southeast MA, and in RI up to 2 feet fell. Snow tapered off overnight Saturday with quiet weather to follow on Sunday.",Snowfall ranged from 17 to 24 inches.
