declaration_id,state,governor,eo_number,action_type,event_description,date_signed,end_date,weather_related,document_format,archive_record_url
RI-EO-26-05.1,RI,Daniel J. McKee,26-05.1,extension,EXTENSION OF EXECUTIVE ORDER 26-05,2026-08-21,,False,html,https://governor.ri.gov/executive-orders/executive-order-26-051
RI-EO-26-05,RI,Daniel J. McKee,26-05,declaration,Declaring An Energy Affordability Emergency and Providing Ratepayer Relief to Mitigate Winter Price Spike,2026-07-23,,False,html,https://governor.ri.gov/executive-orders/executive-order-26-05
RI-EO-26-04,RI,Daniel J. McKee,26-04,administrative,Waiver of State Beach User Fees and Recreational Saltwater Fishing License Requirement on Governor’s Bay Day,2026-07-22,,False,html,https://governor.ri.gov/executive-orders/executive-order-26-04
RI-EO-26-03,RI,Daniel J. McKee,26-03,administrative,"Lowering Marketplace Premiums, Increasing Transparency, and Making Health Coverage More Affordable",2026-03-12,,False,html,https://governor.ri.gov/executive-orders/executive-order-26-03
RI-EO-26-02.2,RI,Daniel J. McKee,26-02.2,termination,Repeal of Executive Order 26-02,2026-03-03,,False,html,https://governor.ri.gov/executive-orders/executive-order-26-022
RI-PROC-2026-02-24,RI,Daniel J. McKee,,termination,Ending Travel Ban - Feb 22 Winter Storm,2026-02-24,,True,html,https://governor.ri.gov/executive-orders/gubernatorial-proclamation-02-24-2026
RI-EO-26-02.1,RI,Daniel J. McKee,26-02.1,extension,Declaration of Disaster Emergency (Winter Storm) - Extension,2026-02-23,,True,html,https://governor.ri.gov/executive-orders/executive-order-26-021
RI-EO-26-02,RI,Daniel J. McKee,26-02,declaration,Declaration of Disaster Emergency (Winter Storm),2026-02-22,2026-03-03,True,html,https://governor.ri.gov/executive-orders/executive-order-26-02
RI-EO-26-01,RI,Daniel J. McKee,26-01,administrative,Reducing Energy Costs and Improving Transparency For Ratepayers,2026-02-09,,False,html,https://governor.ri.gov/executive-orders/executive-order-26-01
RI-EO-25-02,RI,Daniel J. McKee,25-02,declaration,Declaration Of Emergency to Address Federal Funding Deficiencies Impacting the Supplemental Nutrition Assistance Program,2025-10-28,,False,html,https://governor.ri.gov/executive-orders/executive-order-25-02
RI-EO-25-01,RI,Daniel J. McKee,25-01,administrative,Waiver Of State Beach User Fees and Recreational Saltwater Fishing License Requirement On Governor’s Bay Day,2025-07-23,,False,html,https://governor.ri.gov/executive-orders/executive-order-25-01
RI-EO-24-11,RI,Daniel J. McKee,24-11,administrative,Rhode Island Olmstead Planning,2024-08-14,,False,html,https://governor.ri.gov/executive-orders/executive-order-24-11
RI-EO-24-10,RI,Daniel J. McKee,24-10,administrative,Waiver of State Beach Parking Fees and Recreational Saltwater Fishing License Requirement on Governor’s Bay Day,2024-07-25,,False,html,https://governor.ri.gov/executive-orders/executive-order-24-10
RI-EO-24-09,RI,Daniel J. McKee,24-09,extension,Extension of Executive Order 23-11,2024-05-24,,False,html,https://governor.ri.gov/executive-orders/executive-order-24-09
RI-EO-24-08,RI,Daniel J. McKee,24-08,extension,Extension of Executive Order 23-11,2024-04-26,,False,html,https://governor.ri.gov/executive-orders/executive-order-24-08
RI-EO-24-07,RI,Daniel J. McKee,24-07,extension,Extension of Executive Order 23-11,2024-03-28,,False,html,https://governor.ri.gov/executive-orders/executive-order-24-07
RI-EO-24-06,RI,Daniel J. McKee,24-06,administrative,Artificial Intelligence and Data Centers of Excellence,2024-02-29,,False,html,https://governor.ri.gov/executive-orders/executive-order-24-06
RI-EO-24-05,RI,Daniel J. McKee,24-05,extension,Extension Of Executive Order 23-11,2024-02-28,,False,html,https://governor.ri.gov/executive-orders/executive-order-24-05
RI-EO-24-04,RI,Daniel J. McKee,24-04,administrative,Establishing the Health Care System Planning Cabinet,2024-02-21,,False,html,https://governor.ri.gov/executive-orders/executive-order-24-04
