source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
RI-EO-26-05.1,RI-EO-26-05,extends_duration,EXTENSION OF EXECUTIVE ORDER 26-05,official_archive_or_text,medium
RI-EO-26-02.2,RI-EO-26-02,terminates,Repeal of Executive Order 26-02,official_archive_or_text,medium
RI-EO-24-09,RI-EO-23-11,extends_duration,Extension of Executive Order 23-11,official_archive_or_text,medium
RI-EO-24-08,RI-EO-23-11,extends_duration,Extension of Executive Order 23-11,official_archive_or_text,medium
RI-EO-24-07,RI-EO-23-11,extends_duration,Extension of Executive Order 23-11,official_archive_or_text,medium
RI-EO-24-05,RI-EO-23-11,extends_duration,Extension Of Executive Order 23-11,official_archive_or_text,medium
RI-EO-24-02,RI-EO-23-11,extends_duration,Extension of Executive Order 23-11,official_archive_or_text,medium
RI-EO-23-05,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-23-04,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-23-03,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-23-02,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-23-01,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-22-37,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-22-36,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-22-34,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-22-33,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-22-32,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-22-31,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-22-29,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-22-27,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-22-26,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-22-24,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-22-23,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-22-21,RI-EO-21-109,extends_duration,Extension of Executive Order 21-109,official_archive_or_text,medium
RI-EO-22-17,RI-EO-22-01,extends_duration,Extension of Executive Order 22-01,official_archive_or_text,medium
RI-EO-22-09,RI-EO-21-96,extends_duration,Extension of Executive Order 21-96,official_archive_or_text,medium
RI-EO-22-05,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-21-121,RI-EO-21-96,extends_duration,Extension of Executive Order 21-96,official_archive_or_text,medium
RI-EO-21-114,RI-EO-21-96,extends_duration,Extension of Executive Order 21-96,official_archive_or_text,medium
RI-EO-21-109,RI-EO-21-86,supersedes,superseding Executive Order 21-86,official_archive_or_text,medium
RI-EO-21-108,RI-EO-21-96,extends_duration,Extension of Executive Order 21-96,official_archive_or_text,medium
RI-EO-21-107,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-21-101,RI-EO-21-96,extends_duration,Extension of Executive Order 21-96,official_archive_or_text,medium
RI-EO-21-95,RI-EO-20-02,extends_duration,Extension of Executive Order 20-02,official_archive_or_text,medium
RI-EO-21-84,RI-EO-21-26,extends_duration,Extension of Executive Order 21-26,official_archive_or_text,medium
