declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
SC-EO-2026-02,Henry McMaster,2026-02,Declaring State of Emergency to Address Winter Weather,2026-01-21,https://dc.statelibrary.sc.gov/handle/10827/64964
SC-EO-2025-33,Henry McMaster,2025-33,Declaring State of Emergency for Tropical Disturbance Invest 94L,2025-09-26,https://dc.statelibrary.sc.gov/handle/10827/63156
SC-EO-2024-28,Henry McMaster,2024-28,Declaring State of Emergency re Hurricanes Helene & Milton,2024-10-09,https://dc.statelibrary.sc.gov/handle/10827/58687
SC-EO-2024-24,South Carolina Office of the Governor,2024-24,Declaring State of Emergency for Hurricane Helene,2024-09-25,https://dc.statelibrary.sc.gov/handle/10827/58134
SC-EO-2024-17,Henry McMaster,2024-17,Declaring State of Emergency for River Flooding & Additional Impacts Associated with TS Debby,2024-08-18,https://dc.statelibrary.sc.gov/handle/10827/57676
SC-EO-2024-16,Henry McMaster,2024-16,Declaring State of Emergency for Tropical Storm Debby,2024-08-04,https://dc.statelibrary.sc.gov/handle/10827/57675
SC-EO-2023-29,Henry McMaster,2023-29,Declaring State of Emergency Due to Hurricane Idalia,2023-08-29,https://dc.statelibrary.sc.gov/handle/10827/52729
SC-EO-2022-28,Henry McMaster,2022-28,Declaring State of Emergency Due to Hurricane Ian,2022-09-28,https://dc.statelibrary.sc.gov/handle/10827/46771
SC-EO-2014-11,Nikki Haley,2014-11,"This executive order by Governor Nikki Haley declares that a State of Emergency exists in South Carolina. Accordingly, I direct the South Carolina Emergency Operations Plan be placed into effect and require state agencies to support the responsibilities and tasks therein.  She further orders the utilization of the South Carolina National
Guard's personnel with appropriate equipment, at the discretion of the Adjutant General
Executive Order 2014-11 and in coordination with the South Carolina Emergency Management Division, to take necessary and prudent actions to assist the citizens of this state. — Severe storms--South Carolina",2014-02-11,http://hdl.handle.net/10827/13964
SC-EO-2014-06,Nikki Haley,2014-06,"This executive order by Governor Nikki Haley declare that a State of Emergency exists in South Carolina due to severe winter weather between January 28, 2014 and January 30, 2014.",2014-01-28,http://hdl.handle.net/10827/13959
SC-EO-2011-01,Mark Sanford,2011-01,This executive order by Governor Mark Sanford declares a state of emergency due to the expected snow.,2011-01-10,http://hdl.handle.net/10827/1728
SC-EO-2009-04,Mark Sanford,2009-04,This executive order by Governor Mark Sanford declares a state of emergency exists in Horry County due to wildfires.,2009-04-23,http://hdl.handle.net/10827/1891
SC-EO-2008-04,Mark Sanford,2008-04,This executive order by Governor Mark Sanford declares a state of emergency due to weather conditions of tornadoes and hail.,2008-03-17,http://hdl.handle.net/10827/1717
SC-EO-2004-23,Mark Sanford,2004-23,This executive order by Governor Mark Sanford declares a state of emergency due to the possible effects of Tropical Storm Gaston and directs that the South Carolina Emergency Operations Plan be placed into effect.,2004-08-30,http://hdl.handle.net/10827/1440
SC-EO-2004-18,Mark Sanford,2004-18,This executive order by Governor Mark Sanford declares a state of emergency and directs that the South Carolina Emergency Operations Plan be placed into effect due to the possible dangers of Hurricane Charley.,2004-08-13,http://hdl.handle.net/10827/1430
SC-EO-2004-17,Mark Sanford,2004-17,This executive order by Governor Mark Sanford declares a state of emergency for Greenville County due to severe flooding.,2004-08-03,http://hdl.handle.net/10827/1429
SC-EO-2004-05,Mark Sanford,2004-05,This executive order by Governor Mark Sanford declares a state of emergency due to expected severe winter weather and orders the South Carolina National Guard be placed on standby status.,2004-01-27,http://hdl.handle.net/10827/1417
SC-EO-2003-04,Mark Sanford,2003-04,"This executive order by Governor Mark Sanford declares a state of emergency for the purpose of suspending federal regulations limiting the hours operators of commercial vehicles may drive, in order to ensure uninterrupted supply of fuel. — Winter storms--South Carolina",2003-01-24,http://hdl.handle.net/10827/1323
SC-EO-2003-03,Mark Sanford,2003-03,This executive order by Governor Mark Sanford declares a state of emergency due to the winter weather and directs that the South Carolina Emergency Operations Plan be placed in effect.,2003-01-24,http://hdl.handle.net/10827/1322
SC-EO-2002-39,Jim Hodges,2002-39,This executive order by Governor Jim Hodges declares a state of emergency due to inclement weather. The need to continue the uninterrupted supply of food and fuel justifies an exemption for the federal regulations on how long commercial vehicles may drive. — Winter storms--South Carolina,2002-12-06,http://hdl.handle.net/10827/1318
SC-EO-2002-38,Jim Hodges,2002-38,This executive order by Governor Jim Hodges declares a state of emergency due to incoming winter storms and directs that the South Carolina Emergency Operation Plans be placed in effect.,2002-12-05,http://hdl.handle.net/10827/1317
SC-EO-2002-32,Jim Hodges,2002-32,"This executive order by Governor Jim Hodges declares a state of emergency due to tornadoes and significant flooding in the following counties: Clarendon, Georgetown, Berkeley, Calhoun, Charleston, Florence, Horry, Marion, Orangeburg, Sumter, and Williamsburg.",2002-10-25,http://hdl.handle.net/10827/1311
SC-EO-2002-16,Jim Hodges,2002-16,This executive order by Governor Jim Hodges declares a state of emergency for Horry County due to wildfires.,2002-06-17,http://hdl.handle.net/10827/1295
SC-EO-2002-01,Jim Hodges,2002-01,"This executive order by Governor Jim Hodges declares a state of emergency due to the large amounts of snow and ice, and orders the South Carolina National Guard to take appropriate action.",2002-01-02,http://hdl.handle.net/10827/1281
SC-EO-2001-38,Jim Hodges,2001-38,This executive order by Governor Jim Hodges declares a state of emergency in Horry County due to wildfires.,2001-11-08,http://hdl.handle.net/10827/1274
SC-EO-2001-03,Jim Hodges,2001-03,"This executive order by Governor Jim Hodges declares a State of Emergency due to the inclement weather and the need to continue the uninterrupted supply of fuel oil, kerosene, and propane. For these reasons, the Governor authorizes drivers of commercial vehicles to operate for longer hours than certain Federal Motor Carrier Safety regulations normally allow. — Winter storms--South Carolina",2001-01-19,http://hdl.handle.net/10827/1239
SC-EO-2001-02,Jim Hodges,2001-02,"This executive order by Governor Jim Hodges declares a State of Emergency due to the cold weather and the need to continue the uninterrupted supply of fuel oil, kerosene, and propane, which justifies an exemption from Part 395.3(b) of Title 49 of the Code of Federal Regulations (limits on the hours operators of commercial vehicles may drive).",2001-01-09,http://hdl.handle.net/10827/1238
SC-EO-2000-07,Jim Hodges,2000-07,This executive order by Governor Jim Hodges declares a state of emergency due to incoming winter storms and directs that the South Carolina National Guard will be place on standby status and will take all reasonable and necessary actions to prepare for and respond to the hazards of this severe winter weather at the discretion of the Adjutant General and as determined necessary by the South Carolina Emergency Preparedness Division.,2000-01-28,http://hdl.handle.net/10827/1210
SC-EO-2000-05,Jim Hodges,2000-05,This executive order by Governor Jim Hodges declares a State of Emergency due to the cold weather and the need to continue the uninterrupted supply of Liquefied Petroleum Gas and allows for the suspension of Part 395 (drivers' hours of service) of Title 49 of the Code of Federal Regulations for 30 days or until the emergency conditions cease to exist.,2000-01-28,http://hdl.handle.net/10827/1208
SC-EO-2000-03,Jim Hodges,2000-03,This executive order by Governor Jim Hodges declares a State of Emergency due to the cold weather and the need to continue the uninterrupted supply of Liquefied Petroleum Gas (propane) and allows for an exemption from Parts 390 of Title 49 of the Code of Federal Regulations which limits the hours operators of commercial vehicles may drive.,2000-01-24,http://hdl.handle.net/10827/1206
SC-ACTION-1999-09-28-03f2a6de,Jim Hodges,,"This executive order by Governor James H. Hodges declares a state of emergency in Georgetown, Horry, and Marion counties due to flooding caused by Hurricane Floyd.",1999-09-28,http://hdl.handle.net/10827/1608
SC-ACTION-1999-09-14-720282f0,Jim Hodges,,This executive order by Governor James H. Hodges declares a state of emergency due to Hurricane Floyd.,1999-09-14,http://hdl.handle.net/10827/1596
SC-ACTION-1998-02-19-2043b32c,David Beasley,,This executive order by Governor David M. Beasley declares a state of emergency in Horry County due to floods.,1998-02-19,http://hdl.handle.net/10827/1511
SC-ACTION-1996-09-04-cbb5dec5,David Beasley,,This executive order by Governor David M. Beasley declares a state of emergency for South Carolina due to the threat of Hurricane Fran.,1996-09-04,http://hdl.handle.net/10827/1435
SC-ACTION-1996-07-10-367cbef1,David Beasley,,This executive order by Governor David M. Beasley declares a state of emergency due to the threat of Hurricane Bertha.,1996-07-10,http://hdl.handle.net/10827/1409
SC-ACTION-1995-09-21-02d3aaab,David Beasley,,This executive order by Governor David M. Beasley declares a state of emergency due to heavy rains and flooding.,1995-09-21,http://hdl.handle.net/10827/1387
SC-ACTION-1994-08-16-7a23d3c9,Carroll A. Campbell Jr.,,"This executive order by Governor Carroll A. Campbell, Jr. declares a state of emergency in Lexington County due to tornado damage.",1994-08-16,http://hdl.handle.net/10827/1621
SC-ACTION-1994-03-30-0153e7e3,Carroll A. Campbell Jr.,,"This executive order by Governor Carroll A. Campbell, Jr. declares a state of emergency in Oconee County due to tornado damage.",1994-03-30,http://hdl.handle.net/10827/1354
SC-ACTION-1993-03-13-64f945de,Carroll A. Campbell Jr.,,"This executive order by Governor Carroll A. Campbell, Jr. declares a state of emergency and activates the National Guard to assist with the effects of a severe winter storm.",1993-03-13,http://hdl.handle.net/10827/1138
SC-ACTION-1990-10-17-d1d9d43e,Carroll A. Campbell Jr.,,"This executive order by Governor Carroll A. Campbell, Jr. declares a state of emergency in certain counties of South Carolina due to torrential rains and flooding.",1990-10-17,http://hdl.handle.net/10827/1012
SC-ACTION-1990-01-09-64ce5710,Carroll A. Campbell Jr.,,"This executive order by Governor Carroll A. Campbell, Jr. declares a state of emergency in Charleston County due to a winter storm and directs the National Guard to assist as necessary.",1990-01-09,http://hdl.handle.net/10827/1060
SC-ACTION-1989-10-06-5ec9d73e,Carroll A. Campbell Jr.,,"This executive order by Governor Carroll A. Campbell, Jr. declares a state of emergency in 24 counties declared federal disaster areas due to Hurricane Hugo.",1989-10-06,http://hdl.handle.net/10827/991
SC-ACTION-1989-09-21-8084a016,Carroll A. Campbell Jr.,,"This executive order by Governor Carroll A. Campbell, Jr. declares a state of emergency due to the threat of Hurricane Hugo.",1989-09-21,http://hdl.handle.net/10827/977
SC-ACTION-1989-09-20-b9abe3d9,Carroll A. Campbell Jr.,,"This executive order by Governor Carroll A. Campbell, Jr. declares a state of emergency due to the approach of Hurricane Hugo.",1989-09-20,http://hdl.handle.net/10827/1052
