declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
SC-EO-2026-13,SC,Henry McMaster,2026-13,executive_order,administrative,Designating Executive Cabinet,2026-06-22,,false,south_carolina_state_library_1966_present,pdf,https://governor.sc.gov/sites/governor/files/Documents/Executive-Orders/2026-06-22%20FILED%20Executive%20Order%20No.%202026-13%20-%20Designating%20Executive%20Cabinet.pdf,https://dc.statelibrary.sc.gov/handle/10827/66772
SC-EO-2026-12,SC,Henry McMaster,2026-12,executive_order,administrative,Lowering Flags for Fmr. Treasurer Chellis,2026-06-17,,false,south_carolina_state_library_1966_present,pdf,https://governor.sc.gov/sites/governor/files/Documents/Executive-Orders/2026-06-17%20FILED%20Executive%20Order%20No.%202026-12%20-%20Lowering%20Flags%20for%20Fmr.%20Treasurer%20Chellis.pdf,https://dc.statelibrary.sc.gov/handle/10827/66771
SC-EO-2026-11,SC,Henry McMaster,2026-11,executive_order,administrative,2026-06-11 FILED Executive Order No. 2026-11 Ordering Special Election for Town of Greeleyville,2026-06-11,,false,south_carolina_state_library_1966_present,pdf,https://governor.sc.gov/sites/governor/files/Documents/2026-06-11%20FILED%20Executive%20Order%20No.%202026-11%20Ordering%20Special%20Election%20for%20Town%20of%20Greeleyville.pdf,https://dc.statelibrary.sc.gov/handle/10827/66770
SC-EO-2026-10,SC,Henry McMaster,2026-10,executive_order,administrative,Lowering Flags for Officer DJ Keller,2026-05-15,,false,south_carolina_state_library_1966_present,pdf,https://governor.sc.gov/sites/governor/files/Documents/Executive-Orders/2026-05-15%20FILED%20Executive%20Order%20No.%202026-10%20-%20Lowering%20Flags%20for%20Officer%20DJ%20Keller.pdf,https://dc.statelibrary.sc.gov/handle/10827/66200
SC-EO-2026-09,SC,Henry McMaster,2026-09,executive_order,administrative,2026-05-14 FILED Calling Extra Session of the General Assembly,2026-05-14,,false,south_carolina_state_library_1966_present,pdf,https://governor.sc.gov/sites/governor/files/Documents/Executive-Orders/2026-05-14%20FILED%20Calling%20Extra%20Session%20of%20the%20General%20Assembly.pdf,https://dc.statelibrary.sc.gov/handle/10827/66198
SC-EO-2026-08,SC,Henry McMaster,2026-08,executive_order,administrative,Authorizing EMAC Deployment to GA — Wildfires--Georgia,2026-04-24,,false,south_carolina_state_library_1966_present,pdf,https://governor.sc.gov/sites/governor/files/Documents/Executive-Orders/2026-04-24%20FILED%20Executive%20Order%20No.%202026-08%20-%20Authorizing%20EMAC%20Deployment%20to%20GA.pdf,https://dc.statelibrary.sc.gov/handle/10827/65988
SC-EO-2026-07,SC,Henry McMaster,2026-07,executive_order,administrative,Appointing Member of Dorchester County Council,2026-04-07,,false,south_carolina_state_library_1966_present,pdf,https://governor.sc.gov/sites/governor/files/Documents/2026-04-07%20FILED%20Executive%20Order%20No.%202026-07%20-%20Appointing%20Member%20of%20Dorchester%20County%20Council.pdf,https://dc.statelibrary.sc.gov/handle/10827/65987
SC-EO-2026-06,SC,Henry McMaster,2026-06,executive_order,administrative,Appointing Lexington Cty. Probate Judge,2026-04-02,,false,south_carolina_state_library_1966_present,pdf,https://governor.sc.gov/sites/governor/files/Documents/Executive-Orders/2026-04-02%20FILED%20Executive%20Order%20No.%202026-06%20-%20Appointing%20Lexington%20Cty.%20Probate%20Judge.pdf,https://dc.statelibrary.sc.gov/handle/10827/65592
SC-EO-2026-05,SC,Henry McMaster,2026-05,executive_order,administrative,Appointing Bamberg Cnty. Treasurer,2026-03-27,,false,south_carolina_state_library_1966_present,pdf,https://governor.sc.gov/sites/governor/files/Documents/Executive-Orders/2026-03-27%20FILED%20Executive%20Order%20No.%202026-05%20-%20Appointing%20Bamberg%20Cnty.%20Treasurer.pdf,https://dc.statelibrary.sc.gov/handle/10827/65591
SC-EO-2026-04,SC,Henry McMaster,2026-04,executive_order,administrative,Authorizing Leave with Pay Due to Severe Weather,2026-03-17,,false,south_carolina_state_library_1966_present,pdf,https://governor.sc.gov/sites/governor/files/Documents/Executive-Orders/2026-03-17%20FILED%20Executive%20Order%20No.%202026-04%20-%20Authorizing%20Leave%20with%20Pay%20Due%20to%20Severe%20Weather.pdf,https://dc.statelibrary.sc.gov/handle/10827/65589
