declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
SD-EO-2020-27,Noem,2020-27,Day County Emergency Declaration,2020-05-28,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-27.PDF
SD-EO-2021-07,Noem,2021-07,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF
SD-EO-2021-09,Noem,2021-09,Drought Emergency - Haying,2021-06-29,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-09.PDF
SD-EO-2021-13,Noem,2021-13,Drought Emergency,2021-09-14,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-13.PDF
SD-EO-2021-15,Noem,2021-15,Drought Emergency - Livestock Feed Transportation,2021-12-01,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-15.PDF
SD-EO-2022-03,Noem,2022-03,State of Emergency Declaration,2022-05-13,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2022-03.PDF
SD-EO-2022-06,Noem,2022-06,Emergency Disaster Declaration,2022-06-10,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2022-06.PDF
SD-EO-2022-08,Noem,2022-08,Emergency Disaster Declaration,2022-07-14,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2022-08.PDF
SD-EO-2022-11,Noem,2022-11,Emergency Disaster Declaration,2022-12-16,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2022-11.PDF
SD-EO-2022-12,Noem,2022-12,Emergency Disaster Declaration,2022-12-22,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2022-12.PDF
SD-EO-2023-03,Noem,2023-03,Emergency Disaster Declaration,2023-02-09,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2023_Executive_Orders/2023-03.PDF
SD-EO-2023-08,Noem,2023-08,Emergency Disaster Declaration,2023-06-02,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2023_Executive_Orders/2023-08.PDF
SD-EO-2023-12,Noem,2023-12,Emergency Disaster Declaration,2023-08-08,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2023_Executive_Orders/2023-12.PDF
SD-EO-2023-14,Noem,2023-14,Emergency Disaster Declaration - Flood Relief,2023-09-06,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2023_Executive_Orders/2023-14.PDF
SD-EO-2024-04,Noem,2024-04,State of Emergency - Flood Relief,2024-06-22,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2024%20Executive%20Orders/2024-04.PDF
SD-EO-2024-06,Noem,2024-06,Disaster Declaration,2024-07-26,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2024%20Executive%20Orders/2024-06.pdf
SD-EO-2025-03,Rhoden,2025-03,Wildland Fire,2025-03-28,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2025%20Executive%20Orders/2025-03.pdf
SD-EO-2026-01,Rhoden,2026-01,Windstorm Declaration,2026-01-07,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2026%20Executive%20Orders/2026-01.pdf
SD-EO-2026-04,Rhoden,2026-04,Windstorm Disaster Declaration,2026-01-27,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2026%20Executive%20Orders/2026-04.PDF
SD-EO-2026-06,Rhoden,2026-06,Fire Disaster Declaration,2026-04-13,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2026%20Executive%20Orders/2026-06.pdf
SD-EO-2026-07,Rhoden,2026-07,Wind Disaster Declaration,2026-07-01,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2026%20Executive%20Orders/2026-07.pdf
SD-EO-2026-08,Rhoden,2026-08,Drought Declaration Amended,2026-08-06,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2026%20Executive%20Orders/2026-08Amended.pdf
SD-EO-2026-09,Rhoden,2026-09,Wind Disaster Declaration,2026-07-27,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2026%20Executive%20Orders/2026-09.pdf
SD-EO-2026-10,Rhoden,2026-10,Extend Emergency and Wildland Fire,2026-08-18,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2026%20Executive%20Orders/2026-10.pdf
