declaration_id,hazard_category_override,review_note,source_url
SD-EO-2020-27,flood,"Title alone (""Day County Emergency Declaration"") carries no hazard keyword the automatic classifier can match. The order itself and contemporaneous coverage confirm it was issued for basin flooding from spring snowmelt runoff that damaged Day County's road system beginning around April 6 2020.",https://www.sissetoncourier.com/content/noem-signs-emergency-declaration-day-county
SD-EO-2021-07,"fire,drought,wind","Signed order declares a fire emergency after widespread drought, low humidity, high winds, and high temperatures created dangerous wildfire conditions.",https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF
SD-EO-2022-03,severe_storm,"Signed order identifies severe storms and tornadoes beginning May 12, 2022.",https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2022-03.PDF
SD-EO-2022-06,"severe_storm,flood,wind","Signed order identifies severe storms, straight-line winds, tornadoes, and flooding beginning May 29, 2022.",https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2022-06.PDF
SD-EO-2022-08,"severe_storm,flood,wind","Signed order identifies severe storms, straight-line winds, a tornado, hail, and flooding beginning July 5, 2022.",https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2022-08.PDF
SD-EO-2022-11,exclude,"Signed order attributes low propane and residential-heating-fuel inventories to supply constraints and refinery outages, with no weather cause identified; it is a non-weather energy-supply emergency.",https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2022-11.PDF
SD-EO-2022-12,winter,"Signed order identifies a severe winter storm with snow, high winds, dangerous wind chills, freezing, and blizzard conditions beginning December 12, 2022.",https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2022-12.PDF
SD-EO-2023-03,winter,"Signed order identifies a severe winter storm with snow, high winds, and blizzard conditions beginning December 12, 2022 and continuing through February 2023.",https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2023_Executive_Orders/2023-03.PDF
SD-EO-2023-08,flood,"Signed order identifies flooding caused by rapid snowmelt in spring 2023.",https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2023_Executive_Orders/2023-08.PDF
SD-EO-2023-12,flood,"Signed order adds Edmunds and Spink Counties to EO 2023-08 for the same rapid-snowmelt flooding event; retained as a cited companion expansion.",https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2023_Executive_Orders/2023-12.PDF
SD-EO-2024-06,"severe_storm,flood,wind","Signed order identifies severe storms, heavy rain, flooding, and straight-line winds beginning June 20, 2024.",https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2024%20Executive%20Orders/2024-06.pdf
SD-EO-2025-03,exclude,"Standing operational authorization lets the Wildland Fire Division deploy personnel and equipment during future wildfires; it does not identify or declare a discrete incident.",https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2025%20Executive%20Orders/2025-03.pdf
SD-EO-2026-06,"fire,wind","Signed order declares an emergency for the 79 Fire amid red-flag conditions and strong winds.",https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2026%20Executive%20Orders/2026-06.pdf
SD-EO-2026-10,exclude,"Signed order expressly continues the drought emergency declared in EO 2026-08 and extends related wildland-fire authorities; it is a companion extension, not a new incident.",https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2026%20Executive%20Orders/2026-10.pdf
