eo_number,date_filed,title,url
2026-01,20260107,Windstorm Declaration,../assets/2026 Executive Orders/2026-01.pdf
2026-02,20260113,Rename BIT,../assets/2026 Executive Orders/2026-02.pdf
2026-03,20260115,Future Fund EO,../assets/2026 Executive Orders/2026-03.pdf
2026-04,20260127,Windstorm Disaster Declaration,../assets/2026 Executive Orders/2026-04.PDF
2026-05,20260325,Ziebach County CSDED,../assets/2026 Executive Orders/2026-05.pdf
2026-06,20260413,Fire Disaster Declaration,../assets/2026 Executive Orders/2026-06.pdf
2026-07,20260701,Wind Disaster Declaration,../assets/2026 Executive Orders/2026-07.pdf
2026-08,20260806,Drought Declaration Amended,../assets/2026 Executive Orders/2026-08Amended.pdf
2026-09,20260727,Wind Disaster Declaration,../assets/2026 Executive Orders/2026-09.pdf
2026-10,20260818,Extend Emergency and Wildland Fire,../assets/2026 Executive Orders/2026-10.pdf
2025-01,20250227,Project Prison Reset,../assets/2025 Executive Orders/2025-01.pdf
2025-02,20250321,South Dakota Commission on Child Support,../assets/2025 Executive Orders/2025-02.pdf
2025-03,20250328,Wildland Fire,../assets/2025 Executive Orders/2025-03.pdf
2025-04,20250428,Establishing A Statewide Mandatory Reporting System,../assets/2025 Executive Orders/2025-04.pdf
2025-05,20250515,State of Emergency Declarations - Transportation Exemptions,../assets/2025 Executive Orders/2025-05.pdf
2025-06,20250602,GRIT Task Force,../assets/2025 Executive Orders/2025-06.pdf
2025-07,20250923,Correctional Rehabilitation Task Force,../assets/2025 Executive Orders/2025-07.pdf
2025-08,20251008,Rescind Obsolete Executive Orders,../assets/2025 Executive Orders/2025-08.PDF
2025-09,20251027,State of Emergency Declarations - Transportation Exemptions,../assets/2025 Executive Orders/2025-09.pdf
2024-01,20240109,Bureau of Human Resources and Administration Reorganization,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2024 Executive Orders/2024-01.PDF
2024-02,20240112,State of Emergency - Transportation Exemptions,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2024 Executive Orders/2024-02.PDF
2024-03,20240502,Hazard Mitigation,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2024 Executive Orders/2024-03.pdf
2024-04,20240622,State of Emergency - Flood Relief,../assets/2024 Executive Orders/2024-04.PDF
2024-05,20240624,Flood Relief Motor Carrier Hours,../assets/2024 Executive Orders/2024-05.PDF
2024-06,20240726,Disaster Declaration,../assets/2024 Executive Orders/2024-06.pdf
