declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
TN-BILLLEE-EO-110,Bill Lee,110,No. 110 An Order to Provide Relief In Anticipation of Severe Winter Weather,2026-01-22,https://www.tn.gov/governor/news/2026/1/22/gov--lee-issues-state-of-emergency-ahead-of-major-winter-storm.html
TN-BILLLEE-EO-107,Bill Lee,107,No. 107 An Order To Provide Continued Relief To Victims Of Severe Weather And Flooding In Tennessee,2024-11-06,https://digitalcommons.memphis.edu/govpubs-tn-governor-bill-lee-eo/107
TN-BILLLEE-EO-105,Bill Lee,105,No. 105 An Order to Provide Relief to Victims of Severe Weather and Flooding in Tennessee,2024-09-27,https://www.tn.gov/tema/news/2024/9/27/flash-report--3---hurricane-helene.html
TN-BILLLEE-EO-99,Bill Lee,99,No. 99 An Order Suspending Certain Vehicle Restrictions and Providing Relief to Victims of Hurricane Ian,2022-09-29,https://digitalcommons.memphis.edu/govpubs-tn-governor-bill-lee-eo/99
TN-BILLLEE-EO-96,Bill Lee,96,No. 96 An Order to Provide Relief to Victims of Wildfires in Tennessee,2022-04-20,https://digitalcommons.memphis.edu/govpubs-tn-governor-bill-lee-eo/96
TN-BILLLEE-EO-94,Bill Lee,94,No. 94 An Order to Provide Relief to Victims of Severe Weather and Tornadoes in Tennessee,2021-12-13,https://digitalcommons.memphis.edu/govpubs-tn-governor-bill-lee-eo/94
TN-BILLLEE-EO-85,Bill Lee,85,No. 85 An Order to Provide Relief to Victims of Severe Weather and Flooding in Tennessee,2021-08-25,https://digitalcommons.memphis.edu/govpubs-tn-governor-bill-lee-eo/85
TN-BILLLEE-EO-13,Bill Lee,13,No. 13 An Emergency Order Suspending Provisions of Certain Laws and Rules in Order to Provide Relief to Victims of Severe Weather and Tornadoes in Tennessee,2020-03-11,https://www.tn.gov/tdot/traffic-operations-division/oversize---overweight-permits/resources.html
TN-BILLLEE-EO-09,Bill Lee,09,No.09 An Order Suspending Certain Vehicle Restrictions and Allowing Medical and Other Health-Related Services to Provide Relief to Victims of Hurricane Dorian,2019-08-30,https://www.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/docs/emergency/477451/state-tennessee-executive-order-no-9-hurricane-dorian.pdf
TN-BILLLEE-EO-0,Bill Lee,0,"No0.7 An Emergency Order Suspending Provisions of Certain Laws And Rules in Order to Provide Relief to Victims of Severe Storms, Flooding, and Winds in Tennessee",2019-03-07,https://publications.tnsosfiles.com/pub/execorders/exec-orders-lee7.pdf
TN-BILLHASLAM-EO-72,Bill Haslam,72,No.72 An Order Suspending Certain Vehicle Restrictions And Allowing Medical And Other Health-Related Services To Provide Relief To Victims Of Hurricane Florence,2018-09-11,https://digitalcommons.memphis.edu/govpubs-tn-governor-bill-haslam-eo/72
TN-BILLHASLAM-EO-67,Bill Haslam,67,No.67 An Order Suspending Certain Vehicle Restrictions To Provide Relief To Victims Of Hurricane Irma,2017-09-11,https://www.fmcsa.dot.gov/emergency/state-tennessee-executive-order-no-67
TN-BILLHASLAM-EO-66,Bill Haslam,66,No.66 An Order To Allow Medical And Other Health-Related Services For Evacuees Of Hurricane Irma,2017-09-09,https://digitalcommons.memphis.edu/govpubs-tn-governor-bill-haslam-eo/66
TN-BILLHASLAM-EO-61,Bill Haslam,61,No.61 An Emergency Order Suspending Provisions Of Certain Laws And Rules In Order To Provide Relief To Victims Of Wildfires And Severe Weather In Tennessee,2016-12-01,https://digitalcommons.memphis.edu/govpubs-tn-governor-bill-haslam-eo/61
