declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
TN-BILLLEE-EO-110,TN,Bill Lee,110,emergency_declaration,declaration,No. 110 An Order to Provide Relief In Anticipation of Severe Winter Weather,2026-01-22,,true,tennessee_sos_catalog_via_state_university_preservation_mirror,pdf,https://digitalcommons.memphis.edu/cgi/viewcontent.cgi?article=1110&context=govpubs-tn-governor-bill-lee-eo,https://www.tn.gov/governor/news/2026/1/22/gov--lee-issues-state-of-emergency-ahead-of-major-winter-storm.html
TN-BILLLEE-EO-105,TN,Bill Lee,105,emergency_declaration,declaration,No. 105 An Order to Provide Relief to Victims of Severe Weather and Flooding in Tennessee,2024-09-27,,true,tennessee_sos_catalog_via_state_university_preservation_mirror,pdf,https://digitalcommons.memphis.edu/cgi/viewcontent.cgi?article=1105&context=govpubs-tn-governor-bill-lee-eo,https://www.tn.gov/tema/news/2024/9/27/flash-report--3---hurricane-helene.html
TN-BILLLEE-EO-114,TN,Bill Lee,114,executive_order,administrative,No. 114 An Order to Establish the Tennesee Strategic Transportation Accountability Council,,,false,tennessee_sos_catalog_via_state_university_preservation_mirror,pdf,https://digitalcommons.memphis.edu/cgi/viewcontent.cgi?article=1115&context=govpubs-tn-governor-bill-lee-eo,https://digitalcommons.memphis.edu/govpubs-tn-governor-bill-lee-eo/115
TN-BILLLEE-EO-113,TN,Bill Lee,113,emergency_declaration,amendment,No. 113 An Order Amending Governor Haslam's Executive Order No. 50 Relative to the Tennessee Council on Developmental Disabilities,,,false,tennessee_sos_catalog_via_state_university_preservation_mirror,pdf,https://digitalcommons.memphis.edu/cgi/viewcontent.cgi?article=1114&context=govpubs-tn-governor-bill-lee-eo,https://digitalcommons.memphis.edu/govpubs-tn-governor-bill-lee-eo/116
TN-BILLLEE-EO-112,TN,Bill Lee,112,emergency_declaration,amendment,No. 112 An Order Amending Executive Order 87 Regarding the Governor's Council for Judicial Appointments,,,false,tennessee_sos_catalog_via_state_university_preservation_mirror,pdf,https://digitalcommons.memphis.edu/cgi/viewcontent.cgi?article=1112&context=govpubs-tn-governor-bill-lee-eo,https://digitalcommons.memphis.edu/govpubs-tn-governor-bill-lee-eo/113
TN-BILLLEE-EO-111,TN,Bill Lee,111,emergency_declaration,amendment,No. 111 An Order Amending Executive Order No. 110 to Provide Emergency Transportation Repairs,,,false,tennessee_sos_catalog_via_state_university_preservation_mirror,pdf,https://digitalcommons.memphis.edu/cgi/viewcontent.cgi?article=1111&context=govpubs-tn-governor-bill-lee-eo,https://digitalcommons.memphis.edu/govpubs-tn-governor-bill-lee-eo/111
TN-BILLLEE-EO-109,TN,Bill Lee,109,executive_order,administrative,No. 109 An Order for Tennessee to Lead the Nation in Workforce Development,,,false,tennessee_sos_catalog_via_state_university_preservation_mirror,pdf,https://digitalcommons.memphis.edu/cgi/viewcontent.cgi?article=1109&context=govpubs-tn-governor-bill-lee-eo,https://digitalcommons.memphis.edu/govpubs-tn-governor-bill-lee-eo/110
TN-BILLLEE-EO-108,TN,Bill Lee,108,executive_order,administrative,No. 108 An Order To Conserve The Duck River Watershed,,,false,tennessee_sos_catalog_via_state_university_preservation_mirror,pdf,https://digitalcommons.memphis.edu/cgi/viewcontent.cgi?article=1108&context=govpubs-tn-governor-bill-lee-eo,https://digitalcommons.memphis.edu/govpubs-tn-governor-bill-lee-eo/109
TN-BILLLEE-EO-107,TN,Bill Lee,107,executive_order,administrative,No. 107 An Order To Provide Continued Relief To Victims Of Severe Weather And Flooding In Tennessee,,,false,tennessee_sos_catalog_via_state_university_preservation_mirror,pdf,https://digitalcommons.memphis.edu/cgi/viewcontent.cgi?article=1107&context=govpubs-tn-governor-bill-lee-eo,https://digitalcommons.memphis.edu/govpubs-tn-governor-bill-lee-eo/107
TN-BILLLEE-EO-106,TN,Bill Lee,106,emergency_declaration,amendment,No. 106 An Order Amending Executive Order No. 105 To Provide For Emergency Transportation Repairs,,,false,tennessee_sos_catalog_via_state_university_preservation_mirror,pdf,https://digitalcommons.memphis.edu/cgi/viewcontent.cgi?article=1106&context=govpubs-tn-governor-bill-lee-eo,https://digitalcommons.memphis.edu/govpubs-tn-governor-bill-lee-eo/108
