source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
TN-BILLLEE-EO-113,TN-BILLLEE-EO-50,amends,50,archive_title,high
TN-BILLLEE-EO-112,TN-BILLLEE-EO-87,amends,87,archive_title,high
TN-BILLLEE-EO-111,TN-BILLLEE-EO-110,amends,110,archive_title,high
TN-BILLLEE-EO-106,TN-BILLLEE-EO-105,amends,105,archive_title,high
TN-BILLLEE-EO-95,TN-BILLLEE-EO-87,amends,87,archive_title,high
TN-BILLLEE-EO-92,TN-BILLLEE-EO-84,terminates,84,archive_title,high
TN-BILLLEE-EO-91,TN-BILLLEE-EO-84,extends,84,archive_title,high
TN-BILLLEE-EO-90,TN-BILLLEE-EO-83,extends,83,archive_title,high
TN-BILLLEE-EO-89,TN-BILLLEE-EO-84,extends,84,archive_title,high
TN-BILLLEE-EO-88,TN-BILLLEE-EO-83,extends,83,archive_title,high
TN-BILLLEE-EO-80,TN-BILLLEE-EO-77,amends,77,archive_title,high
TN-BILLLEE-EO-79,TN-BILLLEE-EO-72,extends,72,archive_title,high
TN-BILLLEE-EO-78,TN-BILLLEE-EO-71,extends,71,archive_title,high
TN-BILLLEE-EO-77,TN-BILLLEE-EO-73,extends,73,archive_title,high
TN-BILLLEE-EO-74,TN-BILLLEE-EO-70,extends,70,archive_title,high
TN-BILLHASLAM-EO-71,TN-BILLHASLAM-EO-65,amends,65,archive_title,high
TN-PHILBREDESEN-EO-70,TN-PHILBREDESEN-EO-4,amends,4,archive_title,high
TN-BILLLEE-EO-67,TN-BILLLEE-EO-63,extends,63,archive_title,high
TN-PHILBREDESEN-EO-67,TN-PHILBREDESEN-EO-65,amends,65,archive_title,high
TN-BILLHASLAM-EO-65,TN-BILLHASLAM-EO-55,amends,55,archive_title,high
TN-PHILBREDESEN-EO-64,TN-PHILBREDESEN-EO-4,amends,4,archive_title,high
TN-BILLHASLAM-EO-62,TN-BILLHASLAM-EO-61,amends,61,archive_title,high
TN-PHILBREDESEN-EO-60,TN-PHILBREDESEN-EO-4,amends,4,archive_title,high
TN-BILLLEE-EO-58,TN-BILLLEE-EO-53,terminates,53,archive_title,high
TN-PHILBREDESEN-EO-58,TN-PHILBREDESEN-EO-4,amends,4,archive_title,high
TN-PHILBREDESEN-EO-56,TN-PHILBREDESEN-EO-53,amends,53,archive_title,high
TN-BILLHASLAM-EO-55,TN-BILLHASLAM-EO-48,amends,48,archive_title,high
TN-BILLHASLAM-EO-54,TN-BILLHASLAM-EO-41,amends,41,archive_title,high
TN-BILLLEE-EO-50,TN-BILLLEE-EO-49,extends,49,archive_title,high
TN-BILLHASLAM-EO-50,TN-BILLHASLAM-EO-28,amends,28,archive_title,high
TN-PHILBREDESEN-EO-50,TN-PHILBREDESEN-EO-4,amends,4,archive_title,high
TN-BILLHASLAM-EO-48,TN-BILLHASLAM-EO-40,amends,40,archive_title,high
TN-BILLHASLAM-EO-40,TN-BILLHASLAM-EO-33,amends,33,archive_title,high
TN-PHILBREDESEN-EO-40,TN-PHILBREDESEN-EO-4,amends,4,archive_title,high
TN-BILLHASLAM-EO-38,TN-BILLHASLAM-EO-34,amends,34,archive_title,high
TN-BILLLEE-EO-37,TN-BILLLEE-EO-26,extends,26,archive_title,high
TN-BILLLEE-EO-35,TN-BILLLEE-EO-30,amends,30,archive_title,high
TN-BILLLEE-EO-34,TN-BILLLEE-EO-16,extends,16,archive_title,high
TN-BILLLEE-EO-33,TN-BILLLEE-EO-30,amends,30,archive_title,high
TN-BILLHASLAM-EO-33,TN-BILLHASLAM-EO-19,amends,19,archive_title,high
TN-BILLLEE-EO-32,TN-BILLLEE-EO-15,amends,15,archive_title,high
TN-BILLLEE-EO-29,TN-BILLLEE-EO-17,amends,17,archive_title,high
TN-DONSUNDQUIST-EO-29,TN-DONSUNDQUIST-EO-28,amends,28,archive_title,high
TN-BILLLEE-EO-28,TN-BILLLEE-EO-15,amends,15,archive_title,high
TN-PHILBREDESEN-EO-26,TN-PHILBREDESEN-EO-4,amends,4,archive_title,high
TN-PHILBREDESEN-EO-25,TN-PHILBREDESEN-EO-19,amends,19,archive_title,high
TN-BILLLEE-EO-24,TN-BILLLEE-EO-15,amends,15,archive_title,high
TN-BILLLEE-EO-23,TN-BILLLEE-EO-22,amends,22,archive_title,high
TN-BILLLEE-EO-21,TN-BILLLEE-EO-17,amends,17,archive_title,high
TN-BILLLEE-EO-20,TN-BILLLEE-EO-15,amends,15,archive_title,high
TN-PHILBREDESEN-EO-20,TN-PHILBREDESEN-EO-4,amends,4,archive_title,high
TN-BILLLEE-EO-19,TN-BILLLEE-EO-15,amends,15,archive_title,high
TN-BILLHASLAM-EO-19,TN-BILLHASLAM-EO-6,amends,6,archive_title,high
TN-PHILBREDESEN-EO-17,TN-PHILBREDESEN-EO-4,amends,4,archive_title,high
TN-BILLLEE-EO-12,TN-BILLLEE-EO-11,amends,11,archive_title,high
TN-PHILBREDESEN-EO-12,TN-PHILBREDESEN-EO-4,amends,4,archive_title,high
TN-PHILBREDESEN-EO-09,TN-PHILBREDESEN-EO-4,amends,4,archive_title,high
