declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
TX-PROCLAMATION-2026-06-15-governor-abbott-issues-severe-storm-disaster-proclamation-in-june-2026,Greg Abbott,PROCLAMATION-2026-06-15-governor-abbott-issues-severe-storm-disaster-proclamation-in-june-2026,Governor Abbott Issues Severe Storm Disaster Proclamation In June 2026,2026-06-15,https://gov.texas.gov/news/post/governor-abbott-issues-severe-storm-disaster-proclamation-in-june-2026
TX-PROCLAMATION-2026-04-27-governor-abbott-issues-severe-storm-disaster-proclamation-in-april-2026,Greg Abbott,PROCLAMATION-2026-04-27-governor-abbott-issues-severe-storm-disaster-proclamation-in-april-2026,Governor Abbott Issues Severe Storm Disaster Proclamation In April 2026,2026-04-27,https://gov.texas.gov/news/post/governor-abbott-issues-severe-storm-disaster-proclamation-in-april-2026
TX-PROCLAMATION-2025-03-29-governor-abbott-issues-severe-storm-and-flooding-disaster-declaration-in-march-2025,Greg Abbott,PROCLAMATION-2025-03-29-governor-abbott-issues-severe-storm-and-flooding-disaster-declaration-in-march-2025,Governor Abbott Issues Severe Storm And Flooding Disaster Declaration In March 2025,2025-03-29,https://gov.texas.gov/news/post/governor-abbott-issues-severe-storm-and-flooding-disaster-declaration-in-march-2025
TX-PROCLAMATION-2024-10-14-governor-abbott-issues-wildfire-disaster-proclamation-in-october-2024,Greg Abbott,PROCLAMATION-2024-10-14-governor-abbott-issues-wildfire-disaster-proclamation-in-october-2024,Governor Abbott Issues Wildfire Disaster Proclamation In October 2024,2024-10-14,https://gov.texas.gov/news/post/governor-abbott-issues-wildfire-disaster-proclamation-in-october-2024
TX-PROCLAMATION-2024-07-05-acting-governor-dan-patrick-issues-hurricane-beryl-disaster-proclamation,Dan Patrick,PROCLAMATION-2024-07-05-acting-governor-dan-patrick-issues-hurricane-beryl-disaster-proclamation,Acting Governor Dan Patrick Issues Hurricane Beryl Disaster Proclamation In July 2024,2024-07-05,https://gov.texas.gov/news/post/acting-governor-dan-patrick-issues-hurricane-beryl-disaster-proclamation
TX-PROCLAMATION-2024-06-19-governor-abbott-issues-severe-weather-disaster-declaration-for-tropical-storm-alberto,Greg Abbott,PROCLAMATION-2024-06-19-governor-abbott-issues-severe-weather-disaster-declaration-for-tropical-storm-alberto,Governor Abbott Issues Severe Weather Disaster Declaration For Tropical Storm Alberto,2024-06-19,https://gov.texas.gov/news/post/governor-abbott-issues-severe-weather-disaster-declaration-for-tropical-storm-alberto
TX-PROCLAMATION-2024-02-27-governor-abbott-issues-wildfire-disaster-declaration-in-february-2024,Greg Abbott,PROCLAMATION-2024-02-27-governor-abbott-issues-wildfire-disaster-declaration-in-february-2024,Governor Abbott Issues Wildfire Disaster Declaration In February 2024,2024-02-27,https://gov.texas.gov/news/post/governor-abbott-issues-wildfire-disaster-declaration-in-february-2024
TX-PROCLAMATION-2023-10-26-governor-abbott-issues-wildfire-disaster-declaration-in-october-2023,Greg Abbott,PROCLAMATION-2023-10-26-governor-abbott-issues-wildfire-disaster-declaration-in-october-2023,Governor Abbott Issues Wildfire Disaster Declaration In October 2023,2023-10-26,https://gov.texas.gov/news/post/governor-abbott-issues-wildfire-disaster-declaration-in-october-2023
TX-PROCLAMATION-2023-09-26-governor-abbott-issues-wildfire-disaster-declaration-in-september-2023,Greg Abbott,PROCLAMATION-2023-09-26-governor-abbott-issues-wildfire-disaster-declaration-in-september-2023,Governor Abbott Issues Wildfire Disaster Declaration In September 2023,2023-09-26,https://gov.texas.gov/news/post/governor-abbott-issues-wildfire-disaster-declaration-in-september-2023
TX-PROCLAMATION-2023-08-22-governor-abbott-issues-wildfire-disaster-declaration-in-august-2023-,Greg Abbott,PROCLAMATION-2023-08-22-governor-abbott-issues-wildfire-disaster-declaration-in-august-2023-,Governor Abbott Issues Wildfire Disaster Declaration In August 2023,2023-08-22,https://gov.texas.gov/news/post/governor-abbott-issues-wildfire-disaster-declaration-in-august-2023-
TX-PROCLAMATION-2023-08-11-governor-abbott-issues-wildfire-disaster-declaration-in-august-2023,Greg Abbott,PROCLAMATION-2023-08-11-governor-abbott-issues-wildfire-disaster-declaration-in-august-2023,Governor Abbott Issues Wildfire Disaster Declaration In August 2023,2023-08-11,https://gov.texas.gov/news/post/governor-abbott-issues-wildfire-disaster-declaration-in-august-2023
TX-PROCLAMATION-2023-06-06-governor-abbott-issues-severe-weather-disaster-declaration-in-june-2023,Greg Abbott,PROCLAMATION-2023-06-06-governor-abbott-issues-severe-weather-disaster-declaration-in-june-2023,Governor Abbott Issues Severe Weather Disaster Declaration In June 2023,2023-06-06,https://gov.texas.gov/news/post/governor-abbott-issues-severe-weather-disaster-declaration-in-june-2023
TX-PROCLAMATION-2023-05-16-governor-abbott-issues-severe-weather-disaster-declaration-in-may-2023,Greg Abbott,PROCLAMATION-2023-05-16-governor-abbott-issues-severe-weather-disaster-declaration-in-may-2023,Governor Abbott Issues Severe Weather Disaster Declaration In May 2023,2023-05-16,https://gov.texas.gov/news/post/governor-abbott-issues-severe-weather-disaster-declaration-in-may-2023
TX-PROCLAMATION-2023-05-10-governor-abbott-issues-severe-disaster-declaration-for-hidalgo-county,Greg Abbott,PROCLAMATION-2023-05-10-governor-abbott-issues-severe-disaster-declaration-for-hidalgo-county,Governor Abbott Issues Severe Disaster Declaration For Hidalgo County,2023-05-10,https://gov.texas.gov/news/post/governor-abbott-issues-severe-disaster-declaration-for-hidalgo-county
TX-PROCLAMATION-2023-01-26-governor-abbott-issues-severe-weather-disaster-declaration-in-january-2023,Greg Abbott,PROCLAMATION-2023-01-26-governor-abbott-issues-severe-weather-disaster-declaration-in-january-2023,Governor Abbott Issues Severe Weather Disaster Declaration In January 2023,2023-01-26,https://gov.texas.gov/news/post/governor-abbott-issues-severe-weather-disaster-declaration-in-january-2023
TX-PROCLAMATION-2022-08-23-governor-abbott-issues-flooding-disaster-declaration-in-august-2022,Greg Abbott,PROCLAMATION-2022-08-23-governor-abbott-issues-flooding-disaster-declaration-in-august-2022,Governor Abbott Issues Flooding Disaster Declaration In August 2022,2022-08-23,https://gov.texas.gov/news/post/governor-abbott-issues-flooding-disaster-declaration-in-august-2022
TX-PROCLAMATION-2022-07-08-governor-abbott-issues-drought-disaster-declaration,Greg Abbott,PROCLAMATION-2022-07-08-governor-abbott-issues-drought-disaster-declaration,Governor Abbott Issues Drought Disaster Declaration In July 2022,2022-07-08,https://gov.texas.gov/news/post/governor-abbott-issues-drought-disaster-declaration
TX-PROCLAMATION-2022-03-22-governor-abbott-issues-severe-weather-disaster-declaration-in-march-2022,Greg Abbott,PROCLAMATION-2022-03-22-governor-abbott-issues-severe-weather-disaster-declaration-in-march-2022,Governor Abbott Issues Severe Weather Disaster Declaration In March 2022,2022-03-22,https://gov.texas.gov/news/post/governor-abbott-issues-severe-weather-disaster-declaration-in-march-2022
TX-PROCLAMATION-2022-03-18-governor-abbott-issues-wildfire-disaster-declaration-in-march-2022,Greg Abbott,PROCLAMATION-2022-03-18-governor-abbott-issues-wildfire-disaster-declaration-in-march-2022,Governor Abbott Issues Wildfire Disaster Declaration In March 2022,2022-03-18,https://gov.texas.gov/news/post/governor-abbott-issues-wildfire-disaster-declaration-in-march-2022
TX-PROCLAMATION-2022-02-03-governor-abbott-issues-disaster-declaration-in-17-counties-for-winter-weather-response,Greg Abbott,PROCLAMATION-2022-02-03-governor-abbott-issues-disaster-declaration-in-17-counties-for-winter-weather-response,Governor Abbott Issues Disaster Declaration In 17 Counties For Winter Weather Response,2022-02-03,https://gov.texas.gov/news/post/governor-abbott-issues-disaster-declaration-in-17-counties-for-winter-weather-response
TX-PROCLAMATION-2022-01-06-governor-abbott-issues-disaster-declaration-in-response-to-drought-in-texas,Greg Abbott,PROCLAMATION-2022-01-06-governor-abbott-issues-disaster-declaration-in-response-to-drought-in-texas,Governor Abbott Issues Disaster Declaration In Response To Drought In Texas,2022-01-06,https://gov.texas.gov/news/post/governor-abbott-issues-disaster-declaration-in-response-to-drought-in-texas
TX-PROCLAMATION-2021-05-19-governor-abbott-issues-disaster-declaration-in-response-to-significant-flooding-severe-weather-in-east-texas,Greg Abbott,PROCLAMATION-2021-05-19-governor-abbott-issues-disaster-declaration-in-response-to-significant-flooding-severe-weather-in-east-texas,"Governor Abbott Issues Disaster Declaration In Response To Significant Flooding, Severe Weather In East Texas",2021-05-19,https://gov.texas.gov/news/post/governor-abbott-issues-disaster-declaration-in-response-to-significant-flooding-severe-weather-in-east-texas
TX-PROCLAMATION-2021-04-15-governor-abbott-issues-disaster-declaration-in-response-to-drought-conditions-in-april-2021,Greg Abbott,PROCLAMATION-2021-04-15-governor-abbott-issues-disaster-declaration-in-response-to-drought-conditions-in-april-2021,Governor Abbott Issues Disaster Declaration In Response To Drought Conditions In April 2021,2021-04-15,https://gov.texas.gov/news/post/governor-abbott-issues-disaster-declaration-in-response-to-drought-conditions-in-april-2021
TX-PROCLAMATION-2021-02-12-governor-abbott-issues-disaster-declaration-in-response-to-severe-winter-weather-in-texas,Greg Abbott,PROCLAMATION-2021-02-12-governor-abbott-issues-disaster-declaration-in-response-to-severe-winter-weather-in-texas,Governor Abbott Issues Disaster Declaration In Response To Severe Winter Weather In Texas,2021-02-12,https://gov.texas.gov/news/post/governor-abbott-issues-disaster-declaration-in-response-to-severe-winter-weather-in-texas
TX-PROCLAMATION-2021-02-02-governor-abbott-issues-disaster-declaration-in-response-to-drought-conditions,Greg Abbott,PROCLAMATION-2021-02-02-governor-abbott-issues-disaster-declaration-in-response-to-drought-conditions,Governor Abbott Issues Disaster Declaration In Response To Drought Conditions,2021-02-02,https://gov.texas.gov/news/post/governor-abbott-issues-disaster-declaration-in-response-to-drought-conditions
TX-PROCLAMATION-2020-10-05-governor-abbott-issues-disaster-declaration-in-response-to-drought-conditions-2,Greg Abbott,PROCLAMATION-2020-10-05-governor-abbott-issues-disaster-declaration-in-response-to-drought-conditions-2,Governor Abbott Issues Disaster Declaration In Response To Drought Conditions,2020-10-05,https://gov.texas.gov/news/post/governor-abbott-issues-disaster-declaration-in-response-to-drought-conditions-2
TX-PROCLAMATION-2020-09-21-governor-greg-abbott-issues-disaster-declaration-in-response-to-tropical-storm-beta,Greg Abbott,PROCLAMATION-2020-09-21-governor-greg-abbott-issues-disaster-declaration-in-response-to-tropical-storm-beta,Governor Greg Abbott Issues Disaster Declaration in Response to Tropical Storm Beta,2020-09-21,https://gov.texas.gov/news/post/governor-greg-abbott-issues-disaster-declaration-in-response-to-tropical-storm-beta
TX-PROCLAMATION-2020-08-23-governor-greg-abbott-issues-disaster-declaration-in-the-wake-of-hurricane-marco-and-tropical-storm-laura,Greg Abbott,PROCLAMATION-2020-08-23-governor-greg-abbott-issues-disaster-declaration-in-the-wake-of-hurricane-marco-and-tropical-storm-laura,Governor Greg Abbott Issues Disaster Declaration in the Wake of Hurricane Marco and Tropical Storm Laura,2020-08-23,https://gov.texas.gov/news/post/governor-greg-abbott-issues-disaster-declaration-in-the-wake-of-hurricane-marco-and-tropical-storm-laura
TX-PROCLAMATION-2020-08-20-governor-abbott-issues-disaster-declaration-in-response-to-drought-conditions-in-25-counties,Greg Abbott,PROCLAMATION-2020-08-20-governor-abbott-issues-disaster-declaration-in-response-to-drought-conditions-in-25-counties,Governor Abbott Issues Disaster Declaration In Response To Drought Conditions in 25 Counties,2020-08-20,https://gov.texas.gov/news/post/governor-abbott-issues-disaster-declaration-in-response-to-drought-conditions-in-25-counties
TX-PROCLAMATION-2020-07-25-governor-greg-abbott-issues-disaster-declaration-for-32-counties-following-hurricane-hanna,Greg Abbott,PROCLAMATION-2020-07-25-governor-greg-abbott-issues-disaster-declaration-for-32-counties-following-hurricane-hanna,Governor Greg Abbott Issues Disaster Declaration For 32 Counties Following Hurricane Hanna,2020-07-25,https://gov.texas.gov/news/post/governor-greg-abbott-issues-disaster-declaration-for-32-counties-following-hurricane-hanna
TX-PROCLAMATION-2020-07-21-governor-abbott-issues-disaster-declaration-in-response-to-drought-conditions-in-25-texas-counties,Greg Abbott,PROCLAMATION-2020-07-21-governor-abbott-issues-disaster-declaration-in-response-to-drought-conditions-in-25-texas-counties,Governor Abbott Issues Disaster Declaration In Response To Drought Conditions In 25 Texas Counties,2020-07-21,https://gov.texas.gov/news/post/governor-abbott-issues-disaster-declaration-in-response-to-drought-conditions-in-25-texas-counties
TX-PROCLAMATION-2020-03-02-governor-abbott-declares-state-of-disaster-due-to-drought-conditions-in-24-texas-counties,Greg Abbott,PROCLAMATION-2020-03-02-governor-abbott-declares-state-of-disaster-due-to-drought-conditions-in-24-texas-counties,Governor Abbott Declares State of Disaster Due To Drought Conditions In 24 Texas Counties,2020-03-02,https://gov.texas.gov/news/post/governor-abbott-declares-state-of-disaster-due-to-drought-conditions-in-24-texas-counties
TX-PROCLAMATION-2020-01-31-governor-abbott-declares-state-of-disaster-due-to-drought-conditions-in-22-texas-counties,Greg Abbott,PROCLAMATION-2020-01-31-governor-abbott-declares-state-of-disaster-due-to-drought-conditions-in-22-texas-counties,Governor Abbott Declares State of Disaster Due To Drought Conditions In 22 Texas Counties,2020-01-31,https://gov.texas.gov/news/post/governor-abbott-declares-state-of-disaster-due-to-drought-conditions-in-22-texas-counties
