declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,EVENT_ID,EPISODE_ID,BEGIN_DATE_TIME,END_DATE_TIME,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,EVENT_TYPE,MAGNITUDE,MAGNITUDE_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,EPISODE_NARRATIVE,EVENT_NARRATIVE
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,602514,100664,2015-11-17 13:00:00,2015-11-17 15:00:00,C,county/county-equivalent,5,ANGELINA,Flash Flood,,,0,0,150.00K,0.00K,Broadcast Media,"A deep upper trough exited the Inter-Mountain West and moved into the Southern Plains on the 17th of November.  Ahead of this trough, copious amounts of moisture streamed northward from the Eastern Pacific and Gulf of Mexico.  A warm front also lifted northward form the Gulf Coast, through Northeast Texas, Northwest Louisiana and Southern Arkansas.  The atmosphere became weakly unstable across the region after sunrise on the 17th but atmospheric wind shear was very strong, both in the lower levels and the mid and upper levels of the atmosphere.  As a result, storms took on bowing line segments with a few discrete storms also present during the day.  These storms produced widespread wind damage and some flash flooding from excessive heavy rainfall with thunderstorm training occurred.",Several roads in the Hudson and Pollock communities were washed out due to flash flooding.
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,602522,100664,2015-11-17 13:57:00,2015-11-17 15:30:00,C,county/county-equivalent,5,ANGELINA,Flash Flood,,,0,0,0.00K,0.00K,Law Enforcement,"A deep upper trough exited the Inter-Mountain West and moved into the Southern Plains on the 17th of November.  Ahead of this trough, copious amounts of moisture streamed northward from the Eastern Pacific and Gulf of Mexico.  A warm front also lifted northward form the Gulf Coast, through Northeast Texas, Northwest Louisiana and Southern Arkansas.  The atmosphere became weakly unstable across the region after sunrise on the 17th but atmospheric wind shear was very strong, both in the lower levels and the mid and upper levels of the atmosphere.  As a result, storms took on bowing line segments with a few discrete storms also present during the day.  These storms produced widespread wind damage and some flash flooding from excessive heavy rainfall with thunderstorm training occurred.",Hwy. 7 west in the Pollock community was flooded and closed along with Durrant Road and Old Bonner Road.
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,602468,100664,2015-11-17 09:30:00,2015-11-17 09:30:00,C,county/county-equivalent,37,BOWIE,Thunderstorm Wind,53.0,EG,0,0,0.00K,0.00K,Public,"A deep upper trough exited the Inter-Mountain West and moved into the Southern Plains on the 17th of November.  Ahead of this trough, copious amounts of moisture streamed northward from the Eastern Pacific and Gulf of Mexico.  A warm front also lifted northward form the Gulf Coast, through Northeast Texas, Northwest Louisiana and Southern Arkansas.  The atmosphere became weakly unstable across the region after sunrise on the 17th but atmospheric wind shear was very strong, both in the lower levels and the mid and upper levels of the atmosphere.  As a result, storms took on bowing line segments with a few discrete storms also present during the day.  These storms produced widespread wind damage and some flash flooding from excessive heavy rainfall with thunderstorm training occurred.",Trees and powerlines were downed along FM Road 3098 in the Redwater community.
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,607845,101543,2015-11-17 07:10:00,2015-11-17 07:10:00,C,county/county-equivalent,55,CALDWELL,Thunderstorm Wind,43.0,EG,0,0,5.00K,0.00K,Public,A cold front moved through South Central Texas and caused thunderstorms. Some of these storms produced damaging wind gusts.,A thunderstorm produced wind gusts estimated at 50 mph that ripped some strips of metal roofing off a motel.
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,602464,100664,2015-11-17 06:00:00,2015-11-17 06:00:00,C,county/county-equivalent,73,CHEROKEE,Thunderstorm Wind,54.0,EG,0,0,0.00K,0.00K,Other Federal Agency,"A deep upper trough exited the Inter-Mountain West and moved into the Southern Plains on the 17th of November.  Ahead of this trough, copious amounts of moisture streamed northward from the Eastern Pacific and Gulf of Mexico.  A warm front also lifted northward form the Gulf Coast, through Northeast Texas, Northwest Louisiana and Southern Arkansas.  The atmosphere became weakly unstable across the region after sunrise on the 17th but atmospheric wind shear was very strong, both in the lower levels and the mid and upper levels of the atmosphere.  As a result, storms took on bowing line segments with a few discrete storms also present during the day.  These storms produced widespread wind damage and some flash flooding from excessive heavy rainfall with thunderstorm training occurred.",Several trees down northwest of the Cuney community.
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,607340,101361,2015-11-17 04:35:00,2015-11-17 04:35:00,C,county/county-equivalent,85,COLLIN,Thunderstorm Wind,56.0,MG,0,0,0.00K,0.00K,Trained Spotter,"A cold front and approaching upper level storm system combined to produce nighttime thunderstorms across much of north Texas, including the Dallas-Fort Worth Metroplex. Daylight revealed several swaths of wind damage, including two tornadoes.","A trained storm spotter reported a 65 MPH wind gust approximately 2 miles southwest of Anna, TX."
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,607339,101361,2015-11-17 03:16:00,2015-11-17 03:16:00,C,county/county-equivalent,97,COOKE,Thunderstorm Wind,57.0,EG,0,0,2.00K,0.00K,Emergency Manager,"A cold front and approaching upper level storm system combined to produce nighttime thunderstorms across much of north Texas, including the Dallas-Fort Worth Metroplex. Daylight revealed several swaths of wind damage, including two tornadoes.","Emergency management reported a wind gust of 66 MPH at North Central Texas College in Gainesville, TX."
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,608387,101361,2015-11-17 03:40:00,2015-11-17 03:40:00,C,county/county-equivalent,97,COOKE,Thunderstorm Wind,50.0,EG,0,0,20.00K,0.00K,Newspaper,"A cold front and approaching upper level storm system combined to produce nighttime thunderstorms across much of north Texas, including the Dallas-Fort Worth Metroplex. Daylight revealed several swaths of wind damage, including two tornadoes.",The Gainesville Register newspaper reported that thunderstorm winds produced damage in and around the 810 East Highway 82 area in Gainesville early Tuesday Morning. The roof of Lone Star Title Loans was mangled and debris was scattered around the parking lot. The nearby Home Depot had buildings and sheds blown 10 to 15 feet from their original destinations.
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,607374,101361,2015-11-17 04:00:00,2015-11-17 04:00:00,C,county/county-equivalent,113,DALLAS,Thunderstorm Wind,48.0,EG,0,0,2.00K,0.00K,Public,"A cold front and approaching upper level storm system combined to produce nighttime thunderstorms across much of north Texas, including the Dallas-Fort Worth Metroplex. Daylight revealed several swaths of wind damage, including two tornadoes.","A public report was received stating that trees, signs and a few fence sections were blown down, and shingles were blown off roofs in the city of Richardson, TX."
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,606576,101361,2015-11-17 04:20:00,2015-11-17 04:20:00,C,county/county-equivalent,113,DALLAS,Thunderstorm Wind,56.0,EG,0,0,7.00K,0.00K,Trained Spotter,"A cold front and approaching upper level storm system combined to produce nighttime thunderstorms across much of north Texas, including the Dallas-Fort Worth Metroplex. Daylight revealed several swaths of wind damage, including two tornadoes.","A trained storm spotter estimated 65 MPH wind gusts along with trees down approximately 2 miles southwest of Duncanville, TX in the Mountain Creek area."
