declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,deaths_direct,injuries_direct,damage_property_usd,damage_crops_usd,event_types,event_count,total_damage_usd
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,121,DENTON,0,0,643000.0,0.0,"Thunderstorm Wind, Tornado",5,643000.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,439,TARRANT,0,0,221000.0,0.0,"Thunderstorm Wind, Tornado",6,221000.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,185,GRIMES,0,0,200000.0,0.0,Tornado,1,200000.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,5,ANGELINA,0,0,150000.0,0.0,Flash Flood,2,150000.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,401,RUSK,0,0,100000.0,0.0,Thunderstorm Wind,1,100000.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,347,NACOGDOCHES,0,0,50000.0,0.0,Flash Flood,3,50000.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,97,COOKE,0,0,22000.0,0.0,Thunderstorm Wind,2,22000.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,113,DALLAS,0,0,21000.0,0.0,Thunderstorm Wind,3,21000.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,181,GRAYSON,0,0,10000.0,0.0,Thunderstorm Wind,1,10000.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,231,HUNT,0,0,10000.0,0.0,Thunderstorm Wind,1,10000.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,55,CALDWELL,0,0,5000.0,0.0,Thunderstorm Wind,1,5000.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,147,FANNIN,0,0,5000.0,0.0,Thunderstorm Wind,3,5000.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,367,PARKER,0,0,5000.0,0.0,Thunderstorm Wind,1,5000.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,37,BOWIE,0,0,0.0,0.0,Thunderstorm Wind,1,0.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,73,CHEROKEE,0,0,0.0,0.0,Thunderstorm Wind,1,0.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,85,COLLIN,0,0,0.0,0.0,Thunderstorm Wind,1,0.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,139,ELLIS,0,0,0.0,0.0,Thunderstorm Wind,1,0.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,277,LAMAR,0,0,0.0,0.0,Thunderstorm Wind,1,0.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,285,LAVACA,0,0,0.0,0.0,Thunderstorm Wind,1,0.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,419,SHELBY,0,0,0.0,0.0,Flash Flood,1,0.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,423,SMITH,0,0,0.0,0.0,Thunderstorm Wind,1,0.0
TX-PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,PROCLAMATION-2015-11-20-disaster_proclamation_issued_for_october_severe_storms,Greg Abbott,Disaster Proclamation Issued For October Severe Storms,2015-11-20,https://gov.texas.gov/news/post/disaster_proclamation_issued_for_october_severe_storms,C,county/county-equivalent,441,TAYLOR,0,0,0.0,0.0,Thunderstorm Wind,2,0.0
