declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
TX-PROCLAMATION-2026-09-02-governor-abbott-renews-new-world-screwworm-disaster-proclamation-in-september-2026,TX,Greg Abbott,PROCLAMATION-2026-09-02-governor-abbott-renews-new-world-screwworm-disaster-proclamation-in-september-2026,emergency_declaration,extension,Governor Abbott Renews New World Screwworm Disaster Proclamation In September 2026,2026-09-02,,false,texas_governor_proclamation_archive_2015_present,html,https://gov.texas.gov/news/post/governor-abbott-renews-new-world-screwworm-disaster-proclamation-in-september-2026,https://gov.texas.gov/news/post/governor-abbott-renews-new-world-screwworm-disaster-proclamation-in-september-2026
TX-PROCLAMATION-2026-09-02-governor-abbott-amends-renews-fire-weather-conditions-disaster-proclamation-in-september-2026,TX,Greg Abbott,PROCLAMATION-2026-09-02-governor-abbott-amends-renews-fire-weather-conditions-disaster-proclamation-in-september-2026,emergency_declaration,amendment,"Governor Abbott Amends, Renews Fire Weather Conditions Disaster Proclamation In September 2026",2026-09-02,,false,texas_governor_proclamation_archive_2015_present,html,https://gov.texas.gov/news/post/governor-abbott-amends-renews-fire-weather-conditions-disaster-proclamation-in-september-2026,https://gov.texas.gov/news/post/governor-abbott-amends-renews-fire-weather-conditions-disaster-proclamation-in-september-2026
TX-PROCLAMATION-2026-08-15-governor-abbott-to-further-amend-renew-severe-storm-disaster-proclamation-in-august-2026,TX,Greg Abbott,PROCLAMATION-2026-08-15-governor-abbott-to-further-amend-renew-severe-storm-disaster-proclamation-in-august-2026,emergency_declaration,amendment,"Governor Abbott To Further Amend, Renew Severe Storm Disaster Proclamation In August 2026",2026-08-15,,false,texas_governor_proclamation_archive_2015_present,html,https://gov.texas.gov/news/post/governor-abbott-to-further-amend-renew-severe-storm-disaster-proclamation-in-august-2026,https://gov.texas.gov/news/post/governor-abbott-to-further-amend-renew-severe-storm-disaster-proclamation-in-august-2026
TX-PROCLAMATION-2026-08-15-governor-abbott-renews-drought-disaster-proclamation-in-august-2026,TX,Greg Abbott,PROCLAMATION-2026-08-15-governor-abbott-renews-drought-disaster-proclamation-in-august-2026,emergency_declaration,extension,Governor Abbott Renews Drought Disaster Proclamation In August 2026,2026-08-15,,false,texas_governor_proclamation_archive_2015_present,html,https://gov.texas.gov/news/post/governor-abbott-renews-drought-disaster-proclamation-in-august-2026,https://gov.texas.gov/news/post/governor-abbott-renews-drought-disaster-proclamation-in-august-2026
TX-PROCLAMATION-2026-08-15-governor-abbott-renews-border-security-disaster-proclamation-in-august-2026,TX,Greg Abbott,PROCLAMATION-2026-08-15-governor-abbott-renews-border-security-disaster-proclamation-in-august-2026,emergency_declaration,extension,Governor Abbott Renews Border Security Disaster Proclamation In August 2026,2026-08-15,,false,texas_governor_proclamation_archive_2015_present,html,https://gov.texas.gov/news/post/governor-abbott-renews-border-security-disaster-proclamation-in-august-2026,https://gov.texas.gov/news/post/governor-abbott-renews-border-security-disaster-proclamation-in-august-2026
TX-PROCLAMATION-2026-08-13-governor-abbott-amends-renews-flooding-disaster-proclamation-in-august-2026,TX,Greg Abbott,PROCLAMATION-2026-08-13-governor-abbott-amends-renews-flooding-disaster-proclamation-in-august-2026,emergency_declaration,amendment,"Governor Abbott Amends, Renews Flooding Disaster Proclamation In August 2026",2026-08-13,,false,texas_governor_proclamation_archive_2015_present,html,https://gov.texas.gov/news/post/governor-abbott-amends-renews-flooding-disaster-proclamation-in-august-2026,https://gov.texas.gov/news/post/governor-abbott-amends-renews-flooding-disaster-proclamation-in-august-2026
TX-PROCLAMATION-2026-08-03-governor-abbott-renews-new-world-screwworm-disaster-proclamation-in-august-2026,TX,Greg Abbott,PROCLAMATION-2026-08-03-governor-abbott-renews-new-world-screwworm-disaster-proclamation-in-august-2026,emergency_declaration,extension,Governor Abbott Renews New World Screwworm Disaster Proclamation In August 2026,2026-08-03,,false,texas_governor_proclamation_archive_2015_present,html,https://gov.texas.gov/news/post/governor-abbott-renews-new-world-screwworm-disaster-proclamation-in-august-2026,https://gov.texas.gov/news/post/governor-abbott-renews-new-world-screwworm-disaster-proclamation-in-august-2026
TX-PROCLAMATION-2026-07-16-governor-abbott-renews-border-security-disaster-proclamation-in-july-2026,TX,Greg Abbott,PROCLAMATION-2026-07-16-governor-abbott-renews-border-security-disaster-proclamation-in-july-2026,emergency_declaration,extension,Governor Abbott Renews Border Security Disaster Proclamation In July 2026,2026-07-16,,false,texas_governor_proclamation_archive_2015_present,html,https://gov.texas.gov/news/post/governor-abbott-renews-border-security-disaster-proclamation-in-july-2026,https://gov.texas.gov/news/post/governor-abbott-renews-border-security-disaster-proclamation-in-july-2026
TX-PROCLAMATION-2026-07-16-governor-abbott-amends-renews-flooding-disaster-proclamation-in-july-2026,TX,Greg Abbott,PROCLAMATION-2026-07-16-governor-abbott-amends-renews-flooding-disaster-proclamation-in-july-2026,emergency_declaration,amendment,"Governor Abbott Amends, Renews Flooding Disaster Proclamation In July 2026",2026-07-16,,false,texas_governor_proclamation_archive_2015_present,html,https://gov.texas.gov/news/post/governor-abbott-amends-renews-flooding-disaster-proclamation-in-july-2026,https://gov.texas.gov/news/post/governor-abbott-amends-renews-flooding-disaster-proclamation-in-july-2026
TX-PROCLAMATION-2026-07-14-governor-abbott-issues-severe-storm-disaster-proclamation-in-july-2026,TX,Greg Abbott,PROCLAMATION-2026-07-14-governor-abbott-issues-severe-storm-disaster-proclamation-in-july-2026,emergency_declaration,declaration,Governor Abbott Issues Severe Storm Disaster Proclamation In July 2026,2026-07-14,,true,texas_governor_proclamation_archive_2015_present,html,https://gov.texas.gov/news/post/governor-abbott-issues-severe-storm-disaster-proclamation-in-july-2026,https://gov.texas.gov/news/post/governor-abbott-issues-severe-storm-disaster-proclamation-in-july-2026
