declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
UT-PROC-E1536D0F537ACA7F,Michael O. Leavitt,,Declaring a State of Emergency Because of Drought in San Juan County,2000-06-28,https://rules.utah.gov/wp-content/uploads/e2000-06-28.pdf
UT-PROC-85873626B4A182F1,Michael O. Leavitt,,Declaring a State of Emergency Because of Drought in Daggett and Garfield Counties,2000-08-25,https://rules.utah.gov/wp-content/uploads/e2000-08-25.pdf
UT-PROC-658D90F57AAD6E74,Michael O. Leavitt,,Declaring a State of Emergency Due to a Drought,2000-11-22,https://rules.utah.gov/wp-content/uploads/e2000-11-22.pdf
UT-PROC-C04704A92FCE5760,Michael O. Leavitt,,Declaring a State of Emergency and Statewide Agricultural Disaster Due to Severe Drought Conditions That Continue to Worsen Throughout the State of Utah,2002-04-24,https://rules.utah.gov/wp-content/uploads/ExecDoc18620.pdf
UT-PROC-E9787C0A7F51C6C7,Michael O. Leavitt,,"Declaring a State of Emergency in Sanpete County Due to Severe Thunderstorms, Hail, High Winds, and a F2 Tornado",2002-09-09,https://rules.utah.gov/wp-content/uploads/ExecDoc30160.pdf
UT-PROC-15F5A3F63F6385AA,Michael O. Leavitt,,Declaring a State of Emergency in Utah County Due to Flooding and Debris Flows in Santaquin City and the Unincorporated Area Known as Spring Lake,2002-09-14,https://rules.utah.gov/wp-content/uploads/ExecDoc31160.pdf
UT-EO-2005-0001,Jon M. Huntsman Jr.,2005-0001,Declaring a State of Emergency from Winter Storms and Flooding in Washington County,2005-01-11,https://rules.utah.gov/wp-content/uploads/ExecDoc92002.pdf
UT-EO-2005-0011,Jon M. Huntsman Jr.,2005-0011,Declaring a State of Emergency from Spring Storms and Rapid Snowmelt Flooding In Uintah County and Iron County,2005-06-08,https://rules.utah.gov/wp-content/uploads/ExecDoc99611.pdf
UT-EO-2005-0017,Jon M. Huntsman Jr.,2005-0017,Declaring a State of Emergency to Provide Relief to Displaced Victims from Hurricane Katrina,2005-09-03,https://rules.utah.gov/wp-content/uploads/ExecDoc103951.pdf
UT-EO-2005-0021,Jon M. Huntsman Jr.,2005-0021,Declaring a State of Emergency from Spring Runoff and Flooding in Duchesne County,2005-11-08,https://rules.utah.gov/wp-content/uploads/ExecDoc106832.pdf
UT-EO-2006-0011,Jon M. Huntsman Jr.,2006-0011,Declaring an Agricultural Disaster from Drought Conditions in Daggett County,2006-11-27,https://rules.utah.gov/wp-content/uploads/ExecDoc120780.pdf
UT-PROC-CE6DE5EA6C138884,Jon M. Huntsman Jr.,,Fire Emergency Declaration,2007-07-17,https://rules.utah.gov/wp-content/uploads/ExecDoc129116.pdf
UT-PROC-FE412163A3B81B99,Gary R. Herbert,,Declaring a State of Emergency due to Flooding and Runoff in Washington and Kane Counties.,2011-01-19,https://rules.utah.gov/wp-content/uploads/ExecDoc150548.pdf
UT-PROC-F25753049D6473B7,Gary R. Herbert,,Declaring an Agricultural Disaster in Iron and Washington Counties Due to Heavy Rains and Flooding,2011-03-16,https://rules.utah.gov/wp-content/uploads/ExecDoc150874.pdf
UT-PROC-09E540F319838A0D,Gary R. Herbert,,Declaring a State of Emergency Due to Flooding and the Potential for Additional Flooding,2011-06-27,https://rules.utah.gov/wp-content/uploads/ExecDoc151292.pdf
UT-PROC-0913AB6026A8A313,Gary R. Herbert,,Declaring a State of Emergency Due to Winter Storm in Davis County,2012-01-20,https://rules.utah.gov/wp-content/uploads/ExecDoc152113.pdf
UT-PROC-FCB9D6FCA25AD52C,Gary R. Herbert,,Declaring a State of Emergency Due to a Breached Dam and Flooding in Washington County,2012-09-20,https://rules.utah.gov/wp-content/uploads/ExecDoc153333.pdf
UT-EO-2018-8,Gary R. Herbert,2018-8,Declaring a State of Emergency Due to Potential Flooding,2018-10-02,https://rules.utah.gov/wp-content/uploads/ExecDoc160647.pdf
UT-EO-2018-9,Gary R. Herbert,2018-9,Declaring a State of Emergency Due to Drought,2018-10-15,https://rules.utah.gov/wp-content/uploads/ExecDoc160754.pdf
UT-EO-2019-7,Gary R. Herbert,2019-7,Declaring a State of Emergency Due to Flooding and Landslides,2019-10-09,https://rules.utah.gov/wp-content/uploads/ExecDoc161654.pdf
UT-EO-2021-07,Spencer J. Cox,2021-07,Declaring a State of Emergency Due to Drought Conditions,2021-03-17,https://rules.utah.gov/wp-content/uploads/Utah-Executive-Order-No.-2021-07.pdf
UT-EO-2021-13,Spencer J. Cox,2021-13,Declaring a State of Emergency Due to Drought Conditions,2021-05-13,https://rules.utah.gov/wp-content/uploads/Utah-Executive-Order-No.-2021-13.pdf
UT-EO-2021-14,Spencer J. Cox,2021-14,Declaring a State of Emergency Due to Flooding,2021-09-09,https://rules.utah.gov/wp-content/uploads/Utah-Executive-Order-No.-2021-14.pdf
UT-EO-2022-004,Spencer J. Cox,2022-004,Declaring a State of Emergency Due to Drought,2022-04-21,https://rules.utah.gov/wp-content/uploads/Utah-Executive-Order-No.-2022-04.pdf
UT-EO-2022-005,Spencer J. Cox,2022-005,Declaring a State of Emergency Due to Flash Flooding,2022-08-23,https://rules.utah.gov/wp-content/uploads/Utah-Executive-Order-No.-2022-05.pdf
UT-EO-2023-05,Spencer J. Cox,2023-05,Declaring a State of Emergency Due to Flooding,2023-04-18,https://rules.utah.gov/wp-content/uploads/Utah-Executive-Order-No.-2023-05.pdf
