declaration_id,date_signed,event_description,decision,reason,date_evidence,archive_record_url,listing_url,fetch_error
UT-PROC-D2A6100022958F31,2000-01-18,Assigning the Tax Review Commission to Study and Make Recommendations Concerning Sales and Use Tax,exclude,"Administrative, public-health, preparedness, or ceremonial action","Official executive-document index date (not publication date): 01/18/2000; PDF/legal signature: this 18th day of January, 2000",https://rules.utah.gov/wp-content/uploads/e2000-01-18.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,
UT-PROC-DC4FBAC808C4B59A,2000-03-15,Declaring an Agricultural Emergency,review,No event-specific weather declaration confirmed from title,"Official executive-document index date (not publication date): 03/15/2000; PDF/legal signature: this 15th day of March, 2000",https://rules.utah.gov/wp-content/uploads/e2000-03-15.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,
UT-PROC-99B57547E57C908E,2000-03-18,Directing the Division of Public Utilities and the Committee of Consumer Services to Participate in a Study Concerning Regulatory Structure and Policy,exclude,No event-specific weather declaration confirmed from title,"Official executive-document index date (not publication date): 03/18/2000; PDF/legal signature: this 18th day of March, 2000",https://rules.utah.gov/wp-content/uploads/e2000-03-18.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,
UT-PROC-40647D310F4179BF,2000-04-04,Calling the Fifty-Third Legislature into an Eighth Extraordinary Session (Senate only),exclude,No event-specific weather declaration confirmed from title,"Official executive-document index date (not publication date): 04/04/2000; PDF/legal signature: this 4th day of April, 2000",https://rules.utah.gov/wp-content/uploads/p2000-04-04.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,
UT-PROC-ECB5038902DC27B9,2000-05-02,Calling the Fifty-Third Legislature into a Ninth Extraordinary Session (Senate only),exclude,No event-specific weather declaration confirmed from title,"Official executive-document index date (not publication date): 05/02/2000; PDF/legal signature: this 2nd day of May, 2000",https://rules.utah.gov/wp-content/uploads/p2000-05-02.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,
UT-PROC-7CE80BE13F639826,2000-05-05,Directing the Attorney General to File Notice of Intent to Quiet Title to R. S. 2477 Rights-of-Way Throughout the State,exclude,No event-specific weather declaration confirmed from title,"Official executive-document index date (not publication date): 05/05/2000; PDF/legal signature: this 5th day of May, 2000",https://rules.utah.gov/wp-content/uploads/e2000-05-05.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,
UT-PROC-D38D7BCA5EAA68FC,2000-05-30,Calling the Fifty-Third Legislature into a Tenth Extraordinary Session (Senate only),exclude,No event-specific weather declaration confirmed from title,"Official executive-document index date (not publication date): 05/30/2000; PDF/legal signature: this 30th day of May, 2000",https://rules.utah.gov/wp-content/uploads/p2000-05-30.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,
UT-PROC-CD5A49604179ECE0,2000-06-01,Declaring a State of Emergency Because of Fire Danger,exclude,Repeated statewide fire-danger mobilization/management mechanism; no distinct named fire event isolated for joining. Retained in audit for future event-level review.,"Official executive-document index date (not publication date): 06/01/2000; PDF/legal signature: this 1st day of June, 2000",https://rules.utah.gov/wp-content/uploads/e2000-06-01.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,
UT-PROC-05B6C9B3B06E71F4,2000-06-27,Calling the Fifty-Third Legislature into a Eleventh Extraordinary Session (Senate only),exclude,No event-specific weather declaration confirmed from title,"Official executive-document index date (not publication date): 06/27/2000; PDF/legal signature: this 27th day of June, 2000",https://rules.utah.gov/wp-content/uploads/p2000-06-27.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,
UT-PROC-E7597D8D52DDF854,2000-06-30,Declaring a State of Emergency Because of Fire Danger,exclude,Repeated statewide fire-danger mobilization/management mechanism; no distinct named fire event isolated for joining. Retained in audit for future event-level review.,"Official executive-document index date (not publication date): 06/30/2000; PDF/legal signature: this 30th day of June, 2000",https://rules.utah.gov/wp-content/uploads/e2000-06-30.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,
UT-PROC-90780D371A7FC4F8,2000-07-30,Declaring a State of Emergency Because of Fire Danger,exclude,Repeated statewide fire-danger mobilization/management mechanism; no distinct named fire event isolated for joining. Retained in audit for future event-level review.,"Official executive-document index date (not publication date): 07/30/2000; PDF/legal signature: this 30th day of July, 2000",https://rules.utah.gov/wp-content/uploads/e2000-07-30.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,
UT-PROC-0272BB0F03D1757A,2000-08-01,Calling the Fifty-Third Legislature into a Twelfth Extraordinary Session (Senate only),exclude,No event-specific weather declaration confirmed from title,"Official executive-document index date (not publication date): 08/01/2000; PDF/legal signature: this 1st day of August, 2000",https://rules.utah.gov/wp-content/uploads/p2000-08-01.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,
UT-PROC-F2A98B33BFEB5D68,2000-08-29,Declaring a State of Emergency Because of Fire Danger,exclude,Repeated statewide fire-danger mobilization/management mechanism; no distinct named fire event isolated for joining. Retained in audit for future event-level review.,"Official executive-document index date (not publication date): 08/29/2000; PDF/legal signature: this 29th day of August, 2000",https://rules.utah.gov/wp-content/uploads/e2000-08-29.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,
UT-PROC-5AE2E040C9FF24F9,2000-09-28,Declaring a State of Emergency Because of Fire Danger,exclude,Repeated statewide fire-danger mobilization/management mechanism; no distinct named fire event isolated for joining. Retained in audit for future event-level review.,"Official executive-document index date (not publication date): 09/28/2000; PDF/legal signature: this 28th day of September, 2000",https://rules.utah.gov/wp-content/uploads/e2000-09-28.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,
UT-PROC-876209DBDCCC3C4A,2000-10-03,Calling the Fifty-Third Legislature into a Thirteenth Extraordinary Session (Senate only),exclude,No event-specific weather declaration confirmed from title,"Official executive-document index date (not publication date): 10/03/2000; PDF/legal signature: this 3rd day of October, 2000",https://rules.utah.gov/wp-content/uploads/p2000-10-03.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,
UT-PROC-228BCEDF612F0504,2000-10-31,Calling the Fifty-Third Legislature into a Fourteenth Extraordinary Session (Senate only),exclude,No event-specific weather declaration confirmed from title,"Official executive-document index date (not publication date): 10/31/2000; PDF/legal signature: this 31st day of October, 2000",https://rules.utah.gov/wp-content/uploads/p2000-10-31.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,
UT-PROC-196A9D6D94F472A2,2000-11-28,"Stating the Outcome of Voting on Initiative Petitions on the Ballot for the 2000 General Election, Declaring as Effective the Laws Passed by the People, and Stating the Effective Dates of those Laws",exclude,No event-specific weather declaration confirmed from title,"Official executive-document index date (not publication date): 11/28/2000; PDF/legal signature: this 28th day of November, 2000",https://rules.utah.gov/wp-content/uploads/p2000-11-28.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,
UT-PROC-DCB861AFCDCCFB5C,2001-03-07,Renewing and Continuing the Governor's Council on Driving Under the Influence,companion,"Amendment, extension, continuation, or supplementary action; not a separate event",Official executive-document index date (not publication date): 03/07/2001,https://rules.utah.gov/wp-content/uploads/e2001-03-07.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,Offline cache missing: https://rules.utah.gov/wp-content/uploads/e2001-03-07.pdf
UT-PROC-7DE82C554A9780D8,2001-04-03,Calling the Fifty-Fourth Legislature into a First Extraordinary Session (Senate only),exclude,No event-specific weather declaration confirmed from title,Official executive-document index date (not publication date): 04/03/2001,https://rules.utah.gov/wp-content/uploads/p2001-04-03.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,Offline cache missing: https://rules.utah.gov/wp-content/uploads/p2001-04-03.pdf
UT-PROC-EDAD91F7515D07E4,2001-04-03,Constituting the Utah Governor's Council for People with Disabilities,exclude,No event-specific weather declaration confirmed from title,Official executive-document index date (not publication date): 04/03/2001,https://rules.utah.gov/wp-content/uploads/e2001-04-03.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,Offline cache missing: https://rules.utah.gov/wp-content/uploads/e2001-04-03.pdf
UT-PROC-47C23BC8DE3EFEE5,2001-05-08,Calling the Fifty-Fourth Legislature into a Second Extraordinary Session (Senate only),exclude,No event-specific weather declaration confirmed from title,Official executive-document index date (not publication date): 05/08/2001,https://rules.utah.gov/wp-content/uploads/p2001-05-08.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,Offline cache missing: https://rules.utah.gov/wp-content/uploads/p2001-05-08.pdf
UT-PROC-C23D87F4F7416EE2,2001-06-01,Declaring a State of Emergency Because of Fire Danger,exclude,Repeated statewide fire-danger mobilization/management mechanism; no distinct named fire event isolated for joining. Retained in audit for future event-level review.,Official executive-document index date (not publication date): 06/01/2001,https://rules.utah.gov/wp-content/uploads/e2001-06-01.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,Offline cache missing: https://rules.utah.gov/wp-content/uploads/e2001-06-01.pdf
UT-PROC-91BBE098C16D0534,2001-06-04,Declaring an Agricultural Emergency,review,No event-specific weather declaration confirmed from title,Official executive-document index date (not publication date): 06/04/2001,https://rules.utah.gov/wp-content/uploads/e2001-06-04.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,Offline cache missing: https://rules.utah.gov/wp-content/uploads/e2001-06-04.pdf
UT-PROC-ADE25D4BBFD32EC6,2001-06-07,Calling the Fifty-Fourth Legislature into a Special Session,exclude,No event-specific weather declaration confirmed from title,Official executive-document index date (not publication date): 06/07/2001,https://rules.utah.gov/wp-content/uploads/p2001-06-07.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,Offline cache missing: https://rules.utah.gov/wp-content/uploads/p2001-06-07.pdf
UT-PROC-DA7D2BB223A303B0,2001-06-13,"Adding Items to the Agenda of the June 20, 2001, Special Session",exclude,No event-specific weather declaration confirmed from title,Official executive-document index date (not publication date): 06/13/2001,https://rules.utah.gov/wp-content/uploads/p2001-06-13.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,Offline cache missing: https://rules.utah.gov/wp-content/uploads/p2001-06-13.pdf
UT-PROC-1EA3909B0803A5AA,2001-06-21,Establishing the State Government Energy Conservation and Efficiency Policy,exclude,No event-specific weather declaration confirmed from title,Official executive-document index date (not publication date): 06/21/2001,https://rules.utah.gov/wp-content/uploads/e2001-06-21.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,Offline cache missing: https://rules.utah.gov/wp-content/uploads/e2001-06-21.pdf
