declaration_id,governor,eo_number,event_description,date_signed,archive_record_url,listing_url,document_url,date_evidence,record_type,decision,reason,full_text,fetch_error
UT-PROC-D2A6100022958F31,Michael O. Leavitt,,Assigning the Tax Review Commission to Study and Make Recommendations Concerning Sales and Use Tax,2000-01-18,https://rules.utah.gov/wp-content/uploads/e2000-01-18.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,https://rules.utah.gov/wp-content/uploads/e2000-01-18.pdf,"Official executive-document index date (not publication date): 01/18/2000; PDF/legal signature: this 18th day of January, 2000",order,exclude,"Administrative, public-health, preparedness, or ceremonial action","Executive Document Governor's Executive Order Assigning the Tax Review Commission to Study and Make Recommendations Concerning Sales and Use Tax. Issued: January 18, 2000 EXECUTIVE ORDER Assigning the Tax Review Commission to Study and Make Recommendations Concerning Sales and Use Tax WHEREAS, sales and use taxation is in need of significant reform and simplification; WHEREAS, the goal of tax policy is fairness, equity, and a level playing field; WHEREAS, it is the policy of this administration to oppose taxation of the Internet itself, including taxes on access to the Internet, bit taxes, bandwidth taxes, discriminatory, new or multiple taxes; WHEREAS, it is the policy of this administration to oppose the introduction of any new tax on remote sales; WHEREAS, as additional revenues become available through reforming and simplifying sales and use tax, they should be applied to reduce taxes rather than to make government bigger and those revenues can be applied to phase out the sales tax on food or otherwise reduce the tax burden on citizens and businesses currently collecting and paying the tax; NOW, THEREFORE, I, Michael O. Leavitt, Governor of the State of Utah, by virtue of the authority vested in me by the Constitution and laws of the State of Utah, including Section 59-1-903 of the Utah Code, hereby order as follows: 1. The Tax Review Commission is requested and directed to study and develop a plan for: a. tax simplification, including particularly sales and use tax simplification; and b. the fair and administratively-sound reduction and eventual elimination of the sales tax on food, or other reductions in existing sales and use tax burdens, as additional revenues on remote sales are generated from taxes currently owed but not collected. 2. The Tax Review Commission may offer a range of options and suggestions as part of its plan, noting wherever possible the anticipated fiscal impact of each option and any administrative or tax policy implications. 3. The plan shall not include or recommend new taxes. 4. The Utah State Tax Commission and other state agencies as needed shall support and cooperate with the Tax Review Commission. 5. The Tax Review Commission shall give an initial report of its study and plan by November 30, 2000. 6. This order shall remain in effect until the Tax Review Commission submits its final report and plan. IN WITNESS WHEREOF, I have hereunto set my hand and cause to be affixed the Great Seal of the State of Utah. Done at the State Capitol in Salt Lake City, Utah, this 18th day of January, 2000. (State Seal) MICHAEL O. LEAVITT Governor Attest: OLENE S. WALKER Lieutenant Governor Additional Information Each executive document is published from an electronic version provided by the Governor's Office. Occasionally, special symbols or characters may appear in the original document, e.g., a section character for the word ""section"", a publishing quote for a regular quote, among others. These special symbols or characters may not translate well across computer systems or applications. In cases where special symbols or characters have been used in the original, the Office of Administrative Rules may substitute the full word or standard character. For questions regarding the content or application of this document, please contact the Governor's Office at 801-538- 1000 or at the Governor's Office's online contact form. Further historical executive documents may be found at the Office of Administrative Rules' Executive Documents resource or the Division of Archives and Records Service's Governors' Records research guides.",
UT-PROC-DC4FBAC808C4B59A,Michael O. Leavitt,,Declaring an Agricultural Emergency,2000-03-15,https://rules.utah.gov/wp-content/uploads/e2000-03-15.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,https://rules.utah.gov/wp-content/uploads/e2000-03-15.pdf,"Official executive-document index date (not publication date): 03/15/2000; PDF/legal signature: this 15th day of March, 2000",order,review,No event-specific weather declaration confirmed from title,"Executive Document Governor's Executive Order Declaring an Agricultural Emergency. Issued: March 15, 2000 EXECUTIVE ORDER Declaration of Agricultural Emergency WHEREAS, In anticipation that in the year 2000, the State of Utah will again experience similar significant damage to crops such as small grains, alfalfa, and safflower in several regions infested with grasshoppers and/or Mormon crickets as in 1999; and WHEREAS, Surveys in 1999 showed a conservative estimate of more than 1.5 million acres of public and private land to be significantly infested with grasshoppers and/or Mormon crickets in 18 Utah counties; and WHEREAS, The eggs laid last year by grasshoppers and/or Mormon crickets on these public and private lands will soon hatch, continuing a reproductive cycle that will exponentially increase this year's insect population over 1999 infestation levels, with corresponding serious consequences for farmers and residents in the affected communities; and WHEREAS, The Utah Commissioner of Agriculture and Food has again declared an insect emergency in several Utah counties making state funds available for grasshopper and Mormon cricket treatment following the recommendation of the 1999 Grasshopper and Mormon cricket Decision and Action Committee authorized under the Insect Infestation Emergency Control Act; NOW, THEREFORE, I, Michael O. Leavitt, Governor of the State of Utah, by virtue of the authority vested in me by the Constitution and laws of the State of Utah, including Section 59-1-903 of the Utah Code, DO HEREBY DECLARE THAT: It is found, determined, and declared that a ""State of Agricultural Emergency"" will exist due to the aforesaid grasshopper and Mormon cricket infestation in the State of Utah and that all such affected areas within the State are declared to be agricultural disasters requiring aid, assistance and relief pursuant to the provision of State statutes. IN WITNESS WHEREOF, I have hereunto set my hand and cause to be affixed the Great Seal of the State of Utah. Done at the State Capitol in Salt Lake City, Utah, this 15th day of March, 2000. (State Seal) MICHAEL O. LEAVITT Governor Attest: OLENE S. WALKER Lieutenant Governor Additional Information Each executive document is published from an electronic version provided by the Governor's Office. Occasionally, special symbols or characters may appear in the original document, e.g., a section character for the word ""section"", a publishing quote for a regular quote, among others. These special symbols or characters may not translate well across computer systems or applications. In cases where special symbols or characters have been used in the original, the Office of Administrative Rules may substitute the full word or standard character. For questions regarding the content or application of this document, please contact the Governor's Office at 801-538- 1000 or at the Governor's Office's online contact form. Further historical executive documents may be found at the Office of Administrative Rules' Executive Documents resource or the Division of Archives and Records Service's Governors' Records research guides.",
UT-PROC-99B57547E57C908E,Michael O. Leavitt,,Directing the Division of Public Utilities and the Committee of Consumer Services to Participate in a Study Concerning Regulatory Structure and Policy,2000-03-18,https://rules.utah.gov/wp-content/uploads/e2000-03-18.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,https://rules.utah.gov/wp-content/uploads/e2000-03-18.pdf,"Official executive-document index date (not publication date): 03/18/2000; PDF/legal signature: this 18th day of March, 2000",order,exclude,No event-specific weather declaration confirmed from title,"Executive Document Governor's Executive Order Directing the Division of Public Utilities and the Committee of Consumer Services to Participate in a Study Concerning Regulatory Structure and Policy. Issued: March 18, 2000 EXECUTIVE ORDER Directing the Division of Public Utilities and the Committee of Consumer Services to Participate in a Study Concerning Regulatory Structure and Policy WHEREAS, the Legislature passed House Bill 320, Public Utility Amendments, in the 2000 General Session; WHEREAS, I will allow the bill to become law without my signature on the condition and with the understanding that the Legislature is committed to engage in a thorough review of the law, which is not scheduled to take effect until July 1, 2001; WHEREAS, by passing H.B. 320, the Legislature has made clear that it favors a change in regulatory structure and policy, and the Legislature has inserted a delayed effective date in the bill to permit additional time to reevaluate and review the law; WHEREAS, the Public Utilities and Technology Interim Committee will make study of the bill a principal focus of its interim meetings, will make a report by December 1, 2000, and will work toward developing a new bill for consideration in the 2001 General Session of the Legislature; WHEREAS, the committee has agreed to my request that it address at least four key issues: (1) Will the voice of the public be fairly and independently represented in regulatory decision-making and in a manner that is adequately financed? (2) What are the appropriate factors to balance in determining ""just and reasonable"" compensation for a utility? (3) Does the new law adequately accommodate differences among the various industries subject to regulation? (4) Does the law create and preserve incentives for all interested parties to reach balanced agreement and compromise?; and WHEREAS, it is the policy of this administration to support the Legislature in this study and to seek fair and efficient improvement to regulatory structure and policy; NOW, THEREFORE, I, Michael O. Leavitt, Governor of the State of Utah, by virtue of the authority vested in me by the Constitution and laws of the State of Utah, hereby order as follows: 1. The Division of Public Utilities and the Committee of Consumer Services shall participate in the study and assist and cooperate with the Legislature and legislative staff to enhance the quality of the study. 2. The division and the committee shall keep my office informed of the progress of the study. 3. This order shall remain in effect until December 31, 2000. IN WITNESS WHEREOF, I have hereunto set my hand and cause to be affixed the Great Seal of the State of Utah. Done at the State Capitol in Salt Lake City, Utah, this 18th day of March, 2000. (State Seal) MICHAEL O. LEAVITT Governor Attest: OLENE S. WALKER Lieutenant Governor Additional Information Each executive document is published from an electronic version provided by the Governor's Office. Occasionally, special symbols or characters may appear in the original document, e.g., a section character for the word ""section"", a publishing quote for a regular quote, among others. These special symbols or characters may not translate well across computer systems or applications. In cases where special symbols or characters have been used in the original, the Office of Administrative Rules may substitute the full word or standard character. For questions regarding the content or application of this document, please contact the Governor's Office at 801-538- 1000 or at the Governor's Office's online contact form. Further historical executive documents may be found at the Office of Administrative Rules' Executive Documents resource or the Division of Archives and Records Service's Governors' Records research guides.",
UT-PROC-40647D310F4179BF,Michael O. Leavitt,,Calling the Fifty-Third Legislature into an Eighth Extraordinary Session (Senate only),2000-04-04,https://rules.utah.gov/wp-content/uploads/p2000-04-04.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,https://rules.utah.gov/wp-content/uploads/p2000-04-04.pdf,"Official executive-document index date (not publication date): 04/04/2000; PDF/legal signature: this 4th day of April, 2000",proclamation,exclude,No event-specific weather declaration confirmed from title,"Executive Document Governor's Proclamation Calling the Fifty-Third Legislature into an Eighth Extraordinary Session. Issued: April 4, 2000 PROCLAMATION WHEREAS, since the close of the 2000 General Session of the 53rd Legislature of the State of Utah, certain matters have arisen which require immediate legislative attention; and WHEREAS, Article VII, Section 6 of the Constitution of the State of Utah provides that the Governor may, by proclamation, convene the Legislature in Extraordinary Session; NOW, THEREFORE, I, MICHAEL O. LEAVITT, Governor of the State of Utah, by virtue of the authority vested in me by the Constitution and the Laws of the State of Utah, do by this Proclamation call the Senate only of the 53rd Legislature of the State of Utah into an Eighth Extraordinary Session at the State Capitol in Salt Lake City, Utah, on the 19th day of April, 2000, at 12:00 noon, for the following purpose: For the Senate to advise and consent to appointments made by the Governor to positions within state government of the State of Utah since the close of the 2000 General Session of the 53rd Legislature of the State of Utah. IN TESTIMONY WHEREOF, I have hereunto set my hand and caused to be affixed the Great Seal of the State of Utah. Done at the State Capitol in Salt Lake City, Utah, this 4th day of April, 2000. (State Seal) Michael O. Leavitt Governor Olene S. Walker Lieutenant Governor Additional Information Each executive document is published from an electronic version provided by the Governor's Office. Occasionally, special symbols or characters may appear in the original document, e.g., a section character for the word ""section"", a publishing quote for a regular quote, among others. These special symbols or characters may not translate well across computer systems or applications. In cases where special symbols or characters have been used in the original, the Office of Administrative Rules may substitute the full word or standard character. For questions regarding the content or application of this document, please contact the Governor's Office at 801-538- 1000 or at the Governor's Office's online contact form. Further historical executive documents may be found at the Office of Administrative Rules' Executive Documents resource or the Division of Archives and Records Service's Governors' Records research guides.",
UT-PROC-ECB5038902DC27B9,Michael O. Leavitt,,Calling the Fifty-Third Legislature into a Ninth Extraordinary Session (Senate only),2000-05-02,https://rules.utah.gov/wp-content/uploads/p2000-05-02.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,https://rules.utah.gov/wp-content/uploads/p2000-05-02.pdf,"Official executive-document index date (not publication date): 05/02/2000; PDF/legal signature: this 2nd day of May, 2000",proclamation,exclude,No event-specific weather declaration confirmed from title,"Executive Document Governor's Proclamation Calling the Fifty-Third Legislature into a Ninth Extraordinary Session (Senate only). Issued: May 2, 2000 PROCLAMATION WHEREAS, since the close of the 2000 General Session of the 53rd Legislature of the State of Utah, certain matters have arisen which require immediate legislative attention; and WHEREAS, Article VII, Section 6 of the Constitution of the State of Utah provides that the Governor may, by proclamation, convene the Legislature in Extraordinary Session; NOW, THEREFORE, I, MICHAEL O. LEAVITT, Governor of the State of Utah, by virtue of the authority vested in me by the Constitution and the Laws of the State of Utah, do by this Proclamation call the Senate only of the 53rd Legislature of the State of Utah into a Ninth Extraordinary Session at the State Capitol in Salt Lake City, Utah, on the 17th day of May, 2000, at 12:00 noon, for the following purpose: For the Senate to advise and consent to appointments made by the Governor to positions within state government of the State of Utah since the close of the 2000 General Session of the 53rd Legislature of the State of Utah. IN TESTIMONY WHEREOF, I have hereunto set my hand and caused to be affixed the Great Seal of the State of Utah. Done at the State Capitol in Salt Lake City, Utah, this 2nd day of May, 2000. (State Seal) Michael O. Leavitt Governor Olene S. Walker Lieutenant Governor Additional Information Each executive document is published from an electronic version provided by the Governor's Office. Occasionally, special symbols or characters may appear in the original document, e.g., a section character for the word ""section"", a publishing quote for a regular quote, among others. These special symbols or characters may not translate well across computer systems or applications. In cases where special symbols or characters have been used in the original, the Office of Administrative Rules may substitute the full word or standard character. For questions regarding the content or application of this document, please contact the Governor's Office at 801-538- 1000 or at the Governor's Office's online contact form. Further historical executive documents may be found at the Office of Administrative Rules' Executive Documents resource or the Division of Archives and Records Service's Governors' Records research guides.",
UT-PROC-7CE80BE13F639826,Michael O. Leavitt,,Directing the Attorney General to File Notice of Intent to Quiet Title to R. S. 2477 Rights-of-Way Throughout the State,2000-05-05,https://rules.utah.gov/wp-content/uploads/e2000-05-05.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,https://rules.utah.gov/wp-content/uploads/e2000-05-05.pdf,"Official executive-document index date (not publication date): 05/05/2000; PDF/legal signature: this 5th day of May, 2000",order,exclude,No event-specific weather declaration confirmed from title,"Executive Document Governor's Executive Order Directing the Attorney General to File Notice of Intent to Quiet Title to R.S. 2477 Rights-of-Way Throughout the State. Issued: May 5, 2000 EXECUTIVE ORDER Directing the Attorney General to File Notice of Intent to Quiet Title to R.S. 2477 Rights-of-Way Throughout the State WHEREAS, in 1866 the United States Congress passed a law, commonly known as R.S. 2477, which granted a right for the construction of roads over public lands; WHEREAS, R.S. 2477 was instrumental in facilitating and promoting the settlement of the West; WHEREAS, in reliance upon the authority of, and the property interest granted by, R.S. 2477, thousands of miles of roads were established in the state of Utah; WHEREAS, approximately 6,000 R.S. 2477 rights-of-way exist nationally, 5,000 of which are in Utah; WHEREAS, these rights-of-way are a crucial means of access to property within the state and have been essential for ranching and other traditional activities for more than a century; WHEREAS, Congress repealed R.S. 2477 effective October 21, 1976, although the repealer could not affect existing rights-of- way because they were vested property rights; WHEREAS, because R.S. 2477 granted rights-of-way by operation of law and without the necessity of notice to the federal government, documentation for the rights-of-way is sometimes lacking or questionable; WHEREAS, in recent years, federal agencies have acknowledged the theoretical existence of R.S. 2477 rights-of-way but have been unwilling to identify specific roads as R.S. 2477 rights-of-way or to specify the scope of the rights-of-way necessary for use, maintenance, and improvement; WHEREAS, attempts to negotiate a greater level of certainty and a recognition of these rights-of-way have not born fruit; WHEREAS, the state of Utah holds with the counties of Utah the joint and undivided title to R.S. 2477 rights-of-way in this state; WHEREAS, the Legislature, in its 2000 general session, made possible an annual appropriation of up to $2 million to fund the resolution of this question, by litigation if necessary; WHEREAS, the state and its counties have agreed to move forward jointly to assert, defend, and litigate their rights under R.S. 2477; WHEREAS, the partnership between the state and its counties is an unprecedented, cooperative effort that presents an ideal opportunity to resolve these issues; WHEREAS, a massive, statewide quiet title action, while requiring a tremendous effort, will introduce a new dynamic into the effort to achieve certainty about the future of public lands in Utah; NOW, THEREFORE, I, Michael O. Leavitt, Governor of the State of Utah, by virtue of the authority vested in me by the Constitution and laws of the State of Utah, hereby order as follows: 1. The attorney general shall file appropriate documents to put the federal government on notice that the state and its political subdivisions intend to quiet title to R.S. 2477 rights-of-way throughout the state. 2. The attorney general shall gather evidence, in partnership with the counties, and prepare and file a quiet title action after the expiration of the required six- month notice. IN WITNESS WHEREOF, I have hereunto set my hand and cause to be affixed the Great Seal of the State of Utah. Done at the State Capitol in Salt Lake City, Utah, this 5th day of May, 2000. (State Seal) MICHAEL O. LEAVITT Governor Attest: OLENE S. WALKER Lieutenant Governor Additional Information Each executive document is published from an electronic version provided by the Governor's Office. Occasionally, special symbols or characters may appear in the original document, e.g., a section character for the word ""section"", a publishing quote for a regular quote, among others. These special symbols or characters may not translate well across computer systems or applications. In cases where special symbols or characters have been used in the original, the Office of Administrative Rules may substitute the full word or standard character. For questions regarding the content or application of this document, please contact the Governor's Office at 801-538- 1000 or at the Governor's Office's online contact form. Further historical executive documents may be found at the Office of Administrative Rules' Executive Documents resource or the Division of Archives and Records Service's Governors' Records research guides.",
UT-PROC-D38D7BCA5EAA68FC,Michael O. Leavitt,,Calling the Fifty-Third Legislature into a Tenth Extraordinary Session (Senate only),2000-05-30,https://rules.utah.gov/wp-content/uploads/p2000-05-30.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,https://rules.utah.gov/wp-content/uploads/p2000-05-30.pdf,"Official executive-document index date (not publication date): 05/30/2000; PDF/legal signature: this 30th day of May, 2000",proclamation,exclude,No event-specific weather declaration confirmed from title,"Executive Document Governor's Proclamation Calling the Fifty-Third Legislature into a Tenth Extraordinary Session (Senate only). Issued: May 30, 2000 PROCLAMATION WHEREAS, since the close of the 2000 General Session of the 53rd Legislature of the State of Utah, certain matters have arisen which require immediate legislative attention; and WHEREAS, Article VII, Section 6 of the Constitution of the State of Utah provides that the Governor may, by proclamation, convene the Legislature in Extraordinary Session; NOW, THEREFORE, I, MICHAEL O. LEAVITT, Governor of the State of Utah, by virtue of the authority vested in me by the Constitution and the Laws of the State of Utah, do by this Proclamation call the Senate only of the 53rd Legislature of the State of Utah into a Tenth Extraordinary Session at the State Capitol in Salt Lake City, Utah, on the 14th day of June, 2000, at 12:00 noon, for the following purpose: For the Senate to advise and consent to appointments made by the Governor to positions within state government of the State of Utah since the close of the 2000 General Session of the 53rd Legislature of the State of Utah. IN TESTIMONY WHEREOF, I have hereunto set my hand and caused to be affixed the Great Seal of the State of Utah. Done at the State Capitol in Salt Lake City, Utah, this 30th day of May, 2000. (State Seal) Michael O. Leavitt Governor Olene S. Walker Lieutenant Governor Additional Information Each executive document is published from an electronic version provided by the Governor's Office. Occasionally, special symbols or characters may appear in the original document, e.g., a section character for the word ""section"", a publishing quote for a regular quote, among others. These special symbols or characters may not translate well across computer systems or applications. In cases where special symbols or characters have been used in the original, the Office of Administrative Rules may substitute the full word or standard character. For questions regarding the content or application of this document, please contact the Governor's Office at 801-538- 1000 or at the Governor's Office's online contact form. Further historical executive documents may be found at the Office of Administrative Rules' Executive Documents resource or the Division of Archives and Records Service's Governors' Records research guides.",
UT-PROC-CD5A49604179ECE0,Michael O. Leavitt,,Declaring a State of Emergency Because of Fire Danger,2000-06-01,https://rules.utah.gov/wp-content/uploads/e2000-06-01.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,https://rules.utah.gov/wp-content/uploads/e2000-06-01.pdf,"Official executive-document index date (not publication date): 06/01/2000; PDF/legal signature: this 1st day of June, 2000",order,exclude,Repeated statewide fire-danger mobilization/management mechanism; no distinct named fire event isolated for joining. Retained in audit for future event-level review.,"Executive Document Governor's Executive Order Declaring a State of Emergency Because of Fire Danger. Issued: June 1, 2000 EXECUTIVE ORDER WHEREAS, the danger from wildland fires is extremely high throughout the State of Utah; and WHEREAS, numerous wildland fires are burning and continue to burn in various areas statewide and present a serious threat to public safety, property, natural resources and the environment; and WHEREAS, some of the areas are extremely remote and inaccessible and the situation has the potential to greatly worsen if left unattended; and WHEREAS, immediate action is required to suppress the fires to protect public safety, property, natural resources and the environment; and WHEREAS, these conditions do create a disaster emergency within the intent of the Disaster Response and Recovery Act of 1981; and NOW THEREFORE, I, Michael O. Leavitt, Governor of the State of Utah, by virtue of the power vested in me by the constitution and the laws of the State of Utah; DO HEREBY ORDER THAT: It is found, determined and declared that a ""State of Emergency"" exists statewide due to the threat to public safety, property, natural resources and the environment for thirty days, effective as of June 1, 2000, requiring aid, assistance and relief available pursuant to the provisions of state statutes, and the State Emergency Operations Plan, which is hereby activated. IN TESTIMONY, WHEREOF, I have hereunto set my hand and caused to be affixed the Great Seal of the State of Utah, this 1st day of June, 2000. (State Seal) Michael O. Leavitt Governor ATTEST: Olene S. Walker Lt. Governor Additional Information Each executive document is published from an electronic version provided by the Governor's Office. Occasionally, special symbols or characters may appear in the original document, e.g., a section character for the word ""section"", a publishing quote for a regular quote, among others. These special symbols or characters may not translate well across computer systems or applications. In cases where special symbols or characters have been used in the original, the Office of Administrative Rules may substitute the full word or standard character. For questions regarding the content or application of this document, please contact the Governor's Office at 801-538- 1000 or at the Governor's Office's online contact form. Further historical executive documents may be found at the Office of Administrative Rules' Executive Documents resource or the Division of Archives and Records Service's Governors' Records research guides.",
UT-PROC-05B6C9B3B06E71F4,Michael O. Leavitt,,Calling the Fifty-Third Legislature into a Eleventh Extraordinary Session (Senate only),2000-06-27,https://rules.utah.gov/wp-content/uploads/p2000-06-27.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,https://rules.utah.gov/wp-content/uploads/p2000-06-27.pdf,"Official executive-document index date (not publication date): 06/27/2000; PDF/legal signature: this 27th day of June, 2000",proclamation,exclude,No event-specific weather declaration confirmed from title,"Executive Document Governor's Proclamation Calling the Fifty-Third Legislature into a Eleventh Extraordinary Session (Senate only). Issued: June 27, 2000 PROCLAMATION WHEREAS, since the close of the 2000 General Session of the 53rd Legislature of the State of Utah, certain matters have arisen which require immediate legislative attention; and WHEREAS, Article VII, Section 6 of the Constitution of the State of Utah provides that the Governor may, by proclamation, convene the Legislature in Extraordinary Session; NOW, THEREFORE, I, MICHAEL O. LEAVITT, Governor of the State of Utah, by virtue of the authority vested in me by the Constitution and the Laws of the State of Utah, do by this Proclamation call the Senate only of the 53rd Legislature of the State of Utah into an Eleventh Extraordinary Session at the State Capitol in Salt Lake City, Utah, on the 12th day of July, 2000, at 12:00 noon, for the following purpose: For the Senate to advise and consent to appointments made by the Governor to positions within state government of the State of Utah since the close of the 2000 General Session of the 53rd Legislature of the State of Utah. IN TESTIMONY WHEREOF, I have hereunto set my hand and caused to be affixed the Great Seal of the State of Utah. Done at the State Capitol in Salt Lake City, Utah, this 27th day of June, 2000. (State Seal) Michael O. Leavitt Governor Olene S. Walker Lieutenant Governor Additional Information Each executive document is published from an electronic version provided by the Governor's Office. Occasionally, special symbols or characters may appear in the original document, e.g., a section character for the word ""section"", a publishing quote for a regular quote, among others. These special symbols or characters may not translate well across computer systems or applications. In cases where special symbols or characters have been used in the original, the Office of Administrative Rules may substitute the full word or standard character. For questions regarding the content or application of this document, please contact the Governor's Office at 801-538- 1000 or at the Governor's Office's online contact form. Further historical executive documents may be found at the Office of Administrative Rules' Executive Documents resource or the Division of Archives and Records Service's Governors' Records research guides.",
UT-PROC-E1536D0F537ACA7F,Michael O. Leavitt,,Declaring a State of Emergency Because of Drought in San Juan County,2000-06-28,https://rules.utah.gov/wp-content/uploads/e2000-06-28.pdf,https://rules.utah.gov/publications/executive-documents/executive-documents-of-michael-o-leavitt/,https://rules.utah.gov/wp-content/uploads/e2000-06-28.pdf,"Official executive-document index date (not publication date): 06/28/2000; PDF/legal signature: this 28th day of June, 2000",order,include,Dated event-specific weather/disaster declaration,"Executive Document Governor's Executive Order Declaring a State of Emergency Because of Drought in San Juan County. Issued: June 28, 2000 EXECUTIVE ORDER San Juan County Drought WHEREAS, severe drought conditions exist and continue to worsen in San Juan County, Utah, and present a serious threat to human life, private property, agriculture and the economy; and WHEREAS, the current drought conditions have and will continue to cause adverse effects to agricultural producers, the tourism industry and threatens the culinary water needs of the residents of San Juan county; and WHEREAS, there are fire restrictions currently in place and more restrictive conditions are anticipated in the near future; and WHEREAS, the potential for wildfires throughout the entire State of Utah is very high and the threat is increasing as drought conditions persist and may require additional firefighting resources which are expected to be very limited due to high fire potential throughout the western part of the United States; and WHEREAS, the forecast for continuing and worsening drought in San Juan County and the State of Utah are not expected to change in the near future; and WHEREAS, the situation has the potential to greatly worsen if left unattended; and WHEREAS, immediate action is required to protect public health and safety, public and private property, agriculture and the environment; and WHEREAS, these conditions do create a disaster emergency within the intent of the Disaster Response and Recovery Act of 1981, and NOW THEREFORE, I, Michael O. Leavitt, Governor of the State of Utah by virtue of the power vested in me by the constitution and the laws of the State of Utah, DO HEREBY ORDER THAT: It is found, determined and declared that a ""State of Emergency"" exists due to the aforesaid drought conditions and wildfire potential in San Juan County and is declared to be a disaster requiring aid, assistance and relief available pursuant to the provisions of the state statutes, and the State Emergency Operations Plan, which is hereby activated. IN TESTIMONY, WHEREOF, I have hereunto set my hand and caused to be affixed the Great Seal of the State of Utah this 28th day of June, 2000. (State Seal) Michael O. Leavitt Governor ATTEST: Olene S. Walker Lt. Governor Additional Information Each executive document is published from an electronic version provided by the Governor's Office. Occasionally, special symbols or characters may appear in the original document, e.g., a section character for the word ""section"", a publishing quote for a regular quote, among others. These special symbols or characters may not translate well across computer systems or applications. In cases where special symbols or characters have been used in the original, the Office of Administrative Rules may substitute the full word or standard character. For questions regarding the content or application of this document, please contact the Governor's Office at 801-538- 1000 or at the Governor's Office's online contact form. Further historical executive documents may be found at the Office of Administrative Rules' Executive Documents resource or the Division of Archives and Records Service's Governors' Records research guides.",
