source_order_id,target_order_id,relationship_type,relationship_text,source_url,target_status
UT-EO-2023-03,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://rules.utah.gov/wp-content/uploads/Utah-Executive-Order-No.-2023-03.pdf,unresolved_no_fabricated_target
UT-EO-2022-007,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://rules.utah.gov/wp-content/uploads/Utah-Executive-Order-No.-2022-07.pdf,unresolved_no_fabricated_target
UT-EO-2022-001,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://rules.utah.gov/wp-content/uploads/Utah-Executive-Order-No.-2022-001.pdf,unresolved_no_fabricated_target
UT-EO-2020-76,UT-EO-2018-1,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://rules.utah.gov/wp-content/uploads/Utah-Executive-Order-No.-2020-76.pdf,present
UT-EO-2020-76,UT-EO-2015-4,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://rules.utah.gov/wp-content/uploads/Utah-Executive-Order-No.-2020-76.pdf,present
UT-EO-2020-76,UT-EO-2015-2,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://rules.utah.gov/wp-content/uploads/Utah-Executive-Order-No.-2020-76.pdf,present
UT-EO-2019-6,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://rules.utah.gov/wp-content/uploads/ExecDoc161648.pdf,unresolved_no_fabricated_target
UT-EO-2016-2,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://rules.utah.gov/wp-content/uploads/ExecDoc157368.pdf,unresolved_no_fabricated_target
UT-EO-2016-1,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://rules.utah.gov/wp-content/uploads/ExecDoc157223.pdf,unresolved_no_fabricated_target
UT-PROC-80B3E8C8A67B84F3,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://rules.utah.gov/wp-content/uploads/ExecDoc154479.pdf,unresolved_no_fabricated_target
UT-PROC-B0BB8265BA091F58,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://rules.utah.gov/wp-content/uploads/ExecDoc153770.pdf,unresolved_no_fabricated_target
UT-PROC-CCA229D3CAD4AEF8,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://rules.utah.gov/wp-content/uploads/ExecDoc147111.pdf,unresolved_no_fabricated_target
UT-PROC-600FE8562B00E6D3,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://rules.utah.gov/wp-content/uploads/ExecDoc96926.pdf,unresolved_no_fabricated_target
UT-PROC-A36ADEB97FC574BF,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://rules.utah.gov/wp-content/uploads/ExecDoc65979.pdf,unresolved_no_fabricated_target
UT-PROC-024B04A7D3D18657,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://rules.utah.gov/wp-content/uploads/ExecDoc53079.pdf,unresolved_no_fabricated_target
UT-PROC-0E0B7FCB75CE8677,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://rules.utah.gov/wp-content/uploads/ExecDoc41841.pdf,unresolved_no_fabricated_target
UT-PROC-7D3F7E0F22B14C19,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://rules.utah.gov/wp-content/uploads/ExecDoc24839.pdf,unresolved_no_fabricated_target
UT-PROC-DAB268EE54764ED5,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://rules.utah.gov/wp-content/uploads/ExecDoc21359.pdf,unresolved_no_fabricated_target
UT-PROC-DCB861AFCDCCFB5C,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://rules.utah.gov/wp-content/uploads/e2001-03-07.pdf,unresolved_no_fabricated_target
