source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
VT-EO-03-23-AMENDED-RESTATED-2024-12-31,VT-EO-03-23,amends,Executive Order 03-23,title_or_document_text,high
VT-EO-03-23-AMENDED-RESTATED-2024-10-01,VT-EO-03-23,amends,Executive Order 03-23,title_or_document_text,high
VT-EO-06-19-ADDENDUM-1,VT-EO-06-19,amends,Executive Order No. 06-19,title_or_document_text,high
VT-EO-06-19-ADDENDUM-1,VT-EO-20-58,amends,Executive Order No. 20-58,title_or_document_text,high
VT-EO-03-23-AMENDED-RESTATED-2024-08-09,VT-EO-03-23,amends,Executive Order 03-23,title_or_document_text,high
VT-EO-03-23-AMENDED-RESTATED-2024-08-08,VT-EO-03-23,amends,Executive Order 03-23,title_or_document_text,high
VT-EO-03-23-AMENDED-RESTATED-2024-07-13,VT-EO-03-23,amends,Executive Order 03-23,title_or_document_text,high
VT-EO-03-23-AMENDED-RESTATED-2024-07-10,VT-EO-03-23,amends,EXECUTIVE ORDER 03-23,title_or_document_text,high
VT-EO-03-23-ADDENDUM-10,VT-EO-03-23,amends,EXECUTIVE ORDER 03-23,title_or_document_text,high
VT-EO-03-23-ADDENDUM-9,VT-EO-03-23,amends,EXECUTIVE ORDER 03-23,title_or_document_text,high
VT-EO-03-23-ADDENDUM-8,VT-EO-03-23,amends,Executive Order 03-23,title_or_document_text,high
VT-EO-01-19-AMENDED-RESTATED-2023-12-11,VT-EO-01-19,amends,EXECUTIVE ORDER 01-19,title_or_document_text,high
VT-EO-03-23-ADDENDUM-7,VT-EO-03-23,amends,EXECUTIVE ORDER 03-23,title_or_document_text,high
VT-EO-03-23-ADDENDUM-6,VT-EO-03-23,amends,EXECUTIVE ORDER 03-23,title_or_document_text,high
VT-EO-03-23-ADDENDUM-5,VT-EO-03-23,amends,EXECUTIVE ORDER 03-23,title_or_document_text,high
VT-EO-03-23-ADDENDUM-4,VT-EO-03-23,amends,Executive Order 03-23,title_or_document_text,high
VT-EO-03-23-ADDENDUM-3,VT-EO-03-23,amends,EXECUTIVE ORDER 03-23,title_or_document_text,high
VT-EO-03-23-ADDENDUM-2,VT-EO-03-23,amends,Executive Order 03-23,title_or_document_text,high
VT-EO-03-23-ADDENDUM-1,VT-EO-03-23,amends,Executive Order 03-23,title_or_document_text,high
VT-EO-01-20-AMENDED-RESTATED-2021-05-19,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-AMENDED-RESTATED-2021-04-30,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-AMENDED-RESTATED-2021-04-15,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-AMENDED-RESTATED-2021-03-16,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-AMENDED-RESTATED-2021-02-15,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-AMENDED-RESTATED-2021-01-15,VT-EO-01-20,amends,Executive Order No. 01-20,title_or_document_text,high
VT-EO-01-20-AMENDED-RESTATED-2020-12-15,VT-EO-01-20,amends,Executive Order No. 01-20,title_or_document_text,high
VT-EO-01-20-AMENDED-RESTATED-2020-11-20,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-AMENDED-RESTATED-2020-11-13,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-AMENDED-RESTATED-2020-10-16,VT-EO-01-20,amends,Executive Order No. 01-20,title_or_document_text,high
VT-EO-01-20-AMENDED-RESTATED-2020-10-15,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-AMENDED-RESTATED-2020-09-11,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-AMENDED-RESTATED-2020-08-18,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-AMENDED-RESTATED-2020-08-14,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-AMENDED-RESTATED-2020-07-24,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-AMENDED-RESTATED-2020-07-15,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-AMENDED-RESTATED-2020-06-15,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-17,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-16,VT-EO-01-20,amends,Executive Order No. 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-15,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-14,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-6-AMENDMENT,VT-EO-01-20,amends,Executive Order No. 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-13,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-3-AMENDMENT,VT-EO-01-20,amends,Executive Order No. 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-12,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-11,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-10,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-9,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-8,VT-EO-01-20,amends,Executive Order No. 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-7,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-6,VT-EO-01-20,amends,Executive Order 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-5,VT-EO-01-20,amends,Order No. 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-4,VT-EO-01-20,amends,Executive Order No. 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-3,VT-EO-01-20,amends,Executive Order No. 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-2,VT-EO-01-20,amends,Executive Order No. 01-20,title_or_document_text,high
VT-EO-01-20-ADDENDUM-1,VT-EO-01-20,amends,Executive Order No. 01-20,title_or_document_text,high
