declaration_id,eo_number,governor,event_description,date_signed,action_type,external_assistance_only,version_count,archive_record_url
VA-WARNER-EO-10-2002,EO-10,Mark R. Warner,Executive Order 10 (2002) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Significant Rainfall and Flooding Throughout Southwest Virginia.,2002-03-21,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827956005756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-WARNER-EO-31-2002,EO-31,Mark R. Warner,Executive Order 31 (2002) Declaration of a State of Emergency Due to Extreme Drought Conditions Throughout the Commonwealth.,2002-07-31,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827938105756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-WARNER-EO-33-2002,EO-33,Mark R. Warner,Executive Order 33 (2002) Declaration of a State of Emergency Due to Extreme Drought Conditions Throughout the Commonwealth.,2002-08-30,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827953605756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-WARNER-EO-38-2002,EO-38,Mark R. Warner,Executive Order 38 (2002) Declaration of a State of Emergency in the Commonwealth of Virginia Due to Severe Ice Conditions.,2002-12-11,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827941405756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-WARNER-EO-43-2003,EO-43,Mark R. Warner,Executive Order 43 (2003) Declaration of a State of Emergency Throughout the Commonwealth Due to a Severe Winter Storm and Declaration of a Postponement of an Election in Greene County.,2003-02-17,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827954505756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-WARNER-EO-48-2003,EO-48,Mark R. Warner,Executive Order 48 (2003) Declaration of a State of Emergency Due to Tornado and Severe Storm Damage Across the Commonwealth.,2003-05-28,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827939305756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-WARNER-EO-56-2003,EO-56,Mark R. Warner,Executive Order 56 (2003) Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Threat of Significant Flooding and Wind Damage Caused by Hurricane Isabel.,2003-09-16,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827944105756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-WARNER-EO-59-2003,EO-59,Mark R. Warner,Executive Order 59 (2003) Declaration of a State of Emergency for Localities n Southwest Virginia Due to the Affects of Significant Flooding.,2003-11-20,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827940105756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-WARNER-EO-73-2004,EO-73,Mark R. Warner,Executive Order 73 (2004) Declaration of a State of Emergency for the Counties of Tazewell and Russell Due to the Effects of Significant Flooding.,2004-05-25,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827939905756&context=L&vid=01LVA_INST%3A01LVA&lang=en
VA-WARNER-EO-74-2004,EO-74,Mark R. Warner,Executive Order 74 (2004) Inclusion of Lee County in the Declaration of a State of Emergency for the Counties of Tazewell and Russell Due to the Effects of Signficant Flooding.,2004-06-03,declaration,False,1,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827937905756&context=L&vid=01LVA_INST%3A01LVA&lang=en
