declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,BEGIN_DATE_TIME,END_DATE_TIME,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,EVENT_TYPE,MAGNITUDE,MAGNITUDE_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,EPISODE_NARRATIVE,EVENT_NARRATIVE
VA-WARNER-EO-10-2002,EO-10,Mark R. Warner,Executive Order 10 (2002) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Significant Rainfall and Flooding Throughout Southwest Virginia.,2002-03-21,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827956005756&context=L&vid=01LVA_INST%3A01LVA&lang=en,2002-03-18 09:00:00,2002-03-18 11:00:00,C,county/county-equivalent,155,PULASKI,Flood,,,0,0,0K,,NEWSPAPER,"Heavy rains during the 18th caused major flash flooding.  In Tazewell County numerous roads were flooded and washed out, 42 homes suffered major damage with 50 people evacuated. Several cars were washed away.  During the early morning, flood waters leveled off and slowly began receding in the afternoon.In Smyth County, numerous roads were flooded and washed out, 50 people were evacuated from their residences, and there was minor damage to several residences and vehicles.  During the early morning, flood waters leveled off and slowly began receding during the afternoon.In Wythe County many roads were flooded and were washed out with damage to several vehicles.  During the early morning, flood waters leveled off and slowly began receding during the afternoon.Heavy rains also caused minor flooding of Peak Creek in Pulaski.",
VA-WARNER-EO-10-2002,EO-10,Mark R. Warner,Executive Order 10 (2002) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Significant Rainfall and Flooding Throughout Southwest Virginia.,2002-03-21,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827956005756&context=L&vid=01LVA_INST%3A01LVA&lang=en,2002-03-18 00:15:00,2002-03-18 06:00:00,C,county/county-equivalent,173,SMYTH,Flash Flood,,,0,0,100K,,LAW ENFORCEMENT,"Heavy rains during the 18th caused major flash flooding.  In Tazewell County numerous roads were flooded and washed out, 42 homes suffered major damage with 50 people evacuated. Several cars were washed away.  During the early morning, flood waters leveled off and slowly began receding in the afternoon.In Smyth County, numerous roads were flooded and washed out, 50 people were evacuated from their residences, and there was minor damage to several residences and vehicles.  During the early morning, flood waters leveled off and slowly began receding during the afternoon.In Wythe County many roads were flooded and were washed out with damage to several vehicles.  During the early morning, flood waters leveled off and slowly began receding during the afternoon.Heavy rains also caused minor flooding of Peak Creek in Pulaski.",
VA-WARNER-EO-10-2002,EO-10,Mark R. Warner,Executive Order 10 (2002) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Significant Rainfall and Flooding Throughout Southwest Virginia.,2002-03-21,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827956005756&context=L&vid=01LVA_INST%3A01LVA&lang=en,2002-03-18 06:00:00,2002-03-18 16:00:00,C,county/county-equivalent,173,SMYTH,Flood,,,0,0,,,LAW ENFORCEMENT,"Heavy rains during the 18th caused major flash flooding.  In Tazewell County numerous roads were flooded and washed out, 42 homes suffered major damage with 50 people evacuated. Several cars were washed away.  During the early morning, flood waters leveled off and slowly began receding in the afternoon.In Smyth County, numerous roads were flooded and washed out, 50 people were evacuated from their residences, and there was minor damage to several residences and vehicles.  During the early morning, flood waters leveled off and slowly began receding during the afternoon.In Wythe County many roads were flooded and were washed out with damage to several vehicles.  During the early morning, flood waters leveled off and slowly began receding during the afternoon.Heavy rains also caused minor flooding of Peak Creek in Pulaski.",
VA-WARNER-EO-10-2002,EO-10,Mark R. Warner,Executive Order 10 (2002) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Significant Rainfall and Flooding Throughout Southwest Virginia.,2002-03-21,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827956005756&context=L&vid=01LVA_INST%3A01LVA&lang=en,2002-03-18 01:45:00,2002-03-18 08:30:00,C,county/county-equivalent,185,TAZEWELL,Flash Flood,,,0,0,1.5M,,LAW ENFORCEMENT,"Heavy rains during the 18th caused major flash flooding.  In Tazewell County numerous roads were flooded and washed out, 42 homes suffered major damage with 50 people evacuated. Several cars were washed away.  During the early morning, flood waters leveled off and slowly began receding in the afternoon.In Smyth County, numerous roads were flooded and washed out, 50 people were evacuated from their residences, and there was minor damage to several residences and vehicles.  During the early morning, flood waters leveled off and slowly began receding during the afternoon.In Wythe County many roads were flooded and were washed out with damage to several vehicles.  During the early morning, flood waters leveled off and slowly began receding during the afternoon.Heavy rains also caused minor flooding of Peak Creek in Pulaski.",
VA-WARNER-EO-10-2002,EO-10,Mark R. Warner,Executive Order 10 (2002) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Significant Rainfall and Flooding Throughout Southwest Virginia.,2002-03-21,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827956005756&context=L&vid=01LVA_INST%3A01LVA&lang=en,2002-03-18 08:30:00,2002-03-18 16:00:00,C,county/county-equivalent,185,TAZEWELL,Flood,,,0,0,,,LAW ENFORCEMENT,"Heavy rains during the 18th caused major flash flooding.  In Tazewell County numerous roads were flooded and washed out, 42 homes suffered major damage with 50 people evacuated. Several cars were washed away.  During the early morning, flood waters leveled off and slowly began receding in the afternoon.In Smyth County, numerous roads were flooded and washed out, 50 people were evacuated from their residences, and there was minor damage to several residences and vehicles.  During the early morning, flood waters leveled off and slowly began receding during the afternoon.In Wythe County many roads were flooded and were washed out with damage to several vehicles.  During the early morning, flood waters leveled off and slowly began receding during the afternoon.Heavy rains also caused minor flooding of Peak Creek in Pulaski.",
VA-WARNER-EO-10-2002,EO-10,Mark R. Warner,Executive Order 10 (2002) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Significant Rainfall and Flooding Throughout Southwest Virginia.,2002-03-21,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827956005756&context=L&vid=01LVA_INST%3A01LVA&lang=en,2002-03-18 00:30:00,2002-03-18 08:00:00,C,county/county-equivalent,197,WYTHE,Flash Flood,,,0,0,50K,,LAW ENFORCEMENT,"Heavy rains during the 18th caused major flash flooding.  In Tazewell County numerous roads were flooded and washed out, 42 homes suffered major damage with 50 people evacuated. Several cars were washed away.  During the early morning, flood waters leveled off and slowly began receding in the afternoon.In Smyth County, numerous roads were flooded and washed out, 50 people were evacuated from their residences, and there was minor damage to several residences and vehicles.  During the early morning, flood waters leveled off and slowly began receding during the afternoon.In Wythe County many roads were flooded and were washed out with damage to several vehicles.  During the early morning, flood waters leveled off and slowly began receding during the afternoon.Heavy rains also caused minor flooding of Peak Creek in Pulaski.",
VA-WARNER-EO-10-2002,EO-10,Mark R. Warner,Executive Order 10 (2002) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Significant Rainfall and Flooding Throughout Southwest Virginia.,2002-03-21,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827956005756&context=L&vid=01LVA_INST%3A01LVA&lang=en,2002-03-18 08:00:00,2002-03-18 16:00:00,C,county/county-equivalent,197,WYTHE,Flood,,,0,0,,,LAW ENFORCEMENT,"Heavy rains during the 18th caused major flash flooding.  In Tazewell County numerous roads were flooded and washed out, 42 homes suffered major damage with 50 people evacuated. Several cars were washed away.  During the early morning, flood waters leveled off and slowly began receding in the afternoon.In Smyth County, numerous roads were flooded and washed out, 50 people were evacuated from their residences, and there was minor damage to several residences and vehicles.  During the early morning, flood waters leveled off and slowly began receding during the afternoon.In Wythe County many roads were flooded and were washed out with damage to several vehicles.  During the early morning, flood waters leveled off and slowly began receding during the afternoon.Heavy rains also caused minor flooding of Peak Creek in Pulaski.",
VA-WARNER-EO-38-2002,EO-38,Mark R. Warner,Executive Order 38 (2002) Declaration of a State of Emergency in the Commonwealth of Virginia Due to Severe Ice Conditions.,2002-12-11,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827941405756&context=L&vid=01LVA_INST%3A01LVA&lang=en,2002-12-11 00:00:00,2002-12-11 12:00:00,Z,NWS forecast zone,37,ALBEMARLE / CHARLOTTTESVILLE,Ice Storm,,,0,0,,,TRAINED SPOTTER,"An area of low pressure that tracked across the region on the 11th produced between 1 and 2 inches of rainfall.  Unfortunately while rain was falling during the morning hours, ground temperatures were below freezing across much of Northern Virginia. This caused the rain to freeze on contact with the ground and several locations reported significant ice accumulations. Across the Potomac Highlands, the Northern and Central Shenandoah Valley, the Central Foothills, and the Northern Virginia D.C. suburbs, ice accumulations ranged from 1/4 to ½ inch.  Roads and sidewalks became treacherous and numerous trees and power lines were downed by the heavy ice accumulations.  Around 149,000 customers across the northern half of Virginia lost power as a direct result of the storm.  In Orange, Spotsylvania, and Stafford counties, ice accumulations of a trace to 1/8 of an inch were reported before temperatures rose above freezing by mid-morning.  Icy spots were reported on roads and sidewalks through noon.",
VA-WARNER-EO-38-2002,EO-38,Mark R. Warner,Executive Order 38 (2002) Declaration of a State of Emergency in the Commonwealth of Virginia Due to Severe Ice Conditions.,2002-12-11,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827941405756&context=L&vid=01LVA_INST%3A01LVA&lang=en,2002-12-11 01:30:00,2002-12-11 07:00:00,Z,NWS forecast zone,35,AMHERST,Ice Storm,,,0,0,,,EMERGENCY MANAGER,Freezing rain during the predawn hours of the 11th resulted in accretions of a quarter of an inch of ice.,
VA-WARNER-EO-38-2002,EO-38,Mark R. Warner,Executive Order 38 (2002) Declaration of a State of Emergency in the Commonwealth of Virginia Due to Severe Ice Conditions.,2002-12-11,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827941405756&context=L&vid=01LVA_INST%3A01LVA&lang=en,2002-12-11 01:30:00,2002-12-11 07:00:00,Z,NWS forecast zone,46,APPOMATTOX,Ice Storm,,,0,0,,,EMERGENCY MANAGER,Freezing rain during the predawn hours of the 11th resulted in accretions of a quarter of an inch of ice.,
