eo_number,event_description,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,deaths_direct,injuries_direct,damage_property_usd,damage_crops_usd,event_types,event_count,total_damage_usd
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,44,PITTSYLVANIA,1,1,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,8,WASHINGTON,0,0,200000.0,0.0,Winter Storm,1,200000.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,1,LEE,0,0,0.0,0.0,Winter Weather,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,3,DICKENSON,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,4,BUCHANAN,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,5,SCOTT,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,6,RUSSELL,0,0,0.0,0.0,Winter Weather,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,7,TAZEWELL,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,9,SMYTH,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,10,BLAND,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,11,GILES,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,12,WYTHE,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,13,PULASKI,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,14,MONTGOMERY,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,15,GRAYSON,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,16,CARROLL,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,17,FLOYD,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,18,CRAIG,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,19,ALLEGHANY,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,20,BATH,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,22,ROANOKE,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,23,BOTETOURT,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,24,ROCKBRIDGE,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,25,AUGUSTA,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,26,ROCKINGHAM,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,27,SHENANDOAH,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,28,FREDERICK,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,29,PAGE,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,30,WARREN,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,31,CLARKE,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,32,PATRICK,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,33,FRANKLIN,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,34,BEDFORD,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,35,AMHERST,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,36,NELSON,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,37,ALBEMARLE,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,38,GREENE,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,39,MADISON,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,40,RAPPAHANNOCK,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,43,HENRY,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,45,CAMPBELL,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,46,APPOMATTOX,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,47,BUCKINGHAM,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,50,ORANGE,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,51,CULPEPER,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,53,FAIRFAX,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,54,ARLINGTON,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,55,STAFFORD,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,56,SPOTSYLVANIA,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,57,KING GEORGE,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,58,HALIFAX,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,59,CHARLOTTE,0,0,0.0,0.0,Winter Storm,1,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,501,NORTHERN FAUQUIER,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,502,SOUTHERN FAUQUIER,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,503,WESTERN HIGHLAND,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm, Winter Weather",4,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,504,EASTERN HIGHLAND,0,0,0.0,0.0,"Cold/Wind Chill, Extreme Cold/Wind Chill, Winter Storm",3,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,505,WESTERN LOUDOUN,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,506,EASTERN LOUDOUN,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,507,NORTHERN VIRGINIA BLUE RIDGE,0,0,0.0,0.0,"Cold/Wind Chill, Extreme Cold/Wind Chill, Winter Storm",3,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,508,CENTRAL VIRGINIA BLUE RIDGE,0,0,0.0,0.0,"Cold/Wind Chill, Extreme Cold/Wind Chill, Winter Storm",3,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,526,NORTHWEST PRINCE WILLIAM,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
EO-11,Declaring State of Emergency Due to Winter Weather,Z,NWS forecast zone,527,CST AND SOUTHEAST PRINCE WILLIAM/MANASSAS/MANASSAS PARK,0,0,0.0,0.0,"Extreme Cold/Wind Chill, Winter Storm",2,0.0
