eo_number,short_title,date_signed,detail_url
EO-20,Keeping Virginia Covered,2026-08-25,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/eo-20-keep-virginia-covered.pdf
EO-19,Establishing the Commonwealth of Virginia Unified Readiness Framework,2026-08-18,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/eo-19-establishing-the-commonwealth-of-virginia-unified-readiness-framework.pdf
EO-18,Designation of Executive Branch Officers and Employees Required to File Financial Disclosure Statements,2026-06-30,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/eo-18-executive-financial-disclosures.pdf
EO-17,Development and Review of State Agency Regulations,2026-06-30,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/eo-17-development-and-review-of-state-agency-regulations.pdf
EO-16,A Safer Virginia for All,2026-05-20,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/eo-16-a-safer-virginia-for-all.pdf
EO-15,Strengthening Virginia’s Economic Competitiveness,2026-05-07,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/eo-15-strengthening-virginias-economic-competitiveness..pdf
EO-14,Establishing the Role of Chief Energy Officer,2026-03-25,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/EO-14-ESTABLISHING-THE-ROLE-OF-CHIEF-ENERGY-OFFICER.pdf
EO-13,"Ensuring Secure, Accurate, and Fair Elections",2026-03-24,"https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/EO-13-Ensuring-Secure,-Accurate,-and-Fair-Elections.pdf"
EO-12,"Public Safety, Constitutional Policing, and Community Trust",2026-02-04,"https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/ed/EO-12-Public-Safety,-Constitutional-Policing,-and-Community-Trust.pdf"
EO-11,Declaring State of Emergency,2026-01-22,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/EO-11-Declaring-State-of-Emergency---2026-January-Winter-Weather.pdf
EO-10,Rescission of Executive Order No. Forty Seven,2026-01-17,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/EO-10-RESCISSION-OF-EXECUTIVE-ORDER-NO.-FORTY-SEVEN.pdf
EO-9,Equal Opportunity,2026-01-17,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/EO-9-EQUAL-OPPORTUNITY.pdf
EO-8,Authority and Responsibility of the Chief of Staff,2026-01-17,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/EO-8-Authority-and-Responsibility-of-the-Chief-of-Staff.pdf
EO-7,Delegating Emergency and Succession Authority of the Governor,2026-01-17,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/EO-7-Delegating-Emergency-and-Succession-Authority-of-the-Governor.pdf
EO-6,Evaluating Appointments to Public University Boards,2026-01-17,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/EO-6-Evaluating-Appointments-to-Public-University-Boards.pdf
EO-5,Establishing an Economic Resiliency Task Force for Virginia,2026-01-17,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/EO-5-Establishing-an-Economic-Resiliency-Task-Force-for-Virginia.pdf
EO-4,Committing to Academic Excellence,2026-01-17,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/EXECUTIVE-ORDER-FOUR_1.17.pdf
EO-3,Lowering the Cost of Housing by Increasing Supply,2026-01-17,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/EXECUTIVE-ORDER-THREE_1.17.pdf
EO-2,Lowering the Cost of Healthcare,2026-01-17,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/EXECUTIVE-ORDER-TWO_1.17.pdf
EO-1,Cost-Savings For Virginians,2026-01-17,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/EXECUTIVE-ORDER-ONE_1.17.pdf
ED-2,Directing the Secretary of Agriculture & Forestry to Establish the Virginia Wood Council,2026-04-20,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/ed/ED-2-Directing-the-Secretary-of-Agriculture--Forestry-to-Establish-the-Virginia-Wood-Council.pdf
ED-1,Directing the Commonwealth’s Law Enforcement Agencies to Terminate Any and All Section 287(g) Agreements,2026-02-04,https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/ed/ED-1-Directing-the-Commonwealth’s-Law-Enforcement-Agencies-to-Terminate-Any-and-All-Section-287(g)-Agreements.pdf
