declaration_id,governor,administration,governor_key,collection_id,record_id,document_type,eo_number,year,date_signed,event_description,subject,is_emergency_action,action_type,weather_related,weather_hazards,external_assistance_only,format,archive_record_url,document_url,source
VA-WARNER-EO-10-2002,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827956005756,Executive Order,EO-10,2002,2002-03-21,Executive Order 10 (2002) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Significant Rainfall and Flooding Throughout Southwest Virginia.,Declaration of a State of Emergency for the Commonwealth of Virginia Due to Significant Rainfall and Flooding Throughout Southwest Virginia,True,declaration,True,flood; rain,False,7 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827956005756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564732,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-79-2004,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827955905756,Executive Order,EO-79,2004,2004-08-31,Executive Order 79 (2004) Declaration of a State of Emergency for Central Virginia Due to Significant Flooding Caused by Tropical Depression Gaston.,Declaration of a State of Emergency for Central Virginia Due to Significant Flooding Caused by Tropical Depression Gaston,True,declaration,True,flood; tropical,False,7 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827955905756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565101,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-58-2003,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827955705756,Executive Order,EO-58,2003,2003-10-13,Executive Order 58 (2003) Modification of the Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Significant Flooding and Wind Damage Caused by Hurricane Isabel.,Modification of the Declaration of a State of Emergency for the Commonwealth of Virginia Due to the Significant Flooding and Wind Damage Caused by Hurricane Isabel,True,modification_or_extension,True,flood; hurricane; wind,False,3 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827955705756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565416,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-43-2003,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827954505756,Executive Order,EO-43,2003,2003-02-17,Executive Order 43 (2003) Declaration of a State of Emergency Throughout the Commonwealth Due to a Severe Winter Storm and Declaration of a Postponement of an Election in Greene County.,Declaration of a State of Emergency Throughout the Commonwealth Due to a Severe Winter Storm and Declaration of a Postponement of an Election in Greene County,True,declaration,True,storm,False,8 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827954505756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564690,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-19-2002,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827954005756,Executive Order,EO-19,2002,2002-06-26,Executive Order 19 (2002) Continuing Certain Emergency Declarations Due to Disasters in the Commonwealth.,Continuing Certain Emergency Declarations Due to Disasters in the Commonwealth,True,modification_or_extension,False,,False,3 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827954005756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565425,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-80-2004,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827953905756,Executive Order,EO-80,2004,2004-09-08,Executive Order 80 (2004) Declaration of a State of Emergency for the Commonwwealth of Virginia Due to Significant Rains and Threat of Tornadoes and Damaging Flash Flooding.,Declaration of a State of Emergency for the Commonwwealth of Virginia Due to Significant Rains and Threat of Tornadoes and Damaging Flash Flooding,True,declaration,True,flood; tornado,False,8 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827953905756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565137,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-33-2002,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827953605756,Executive Order,EO-33,2002,2002-08-30,Executive Order 33 (2002) Declaration of a State of Emergency Due to Extreme Drought Conditions Throughout the Commonwealth.,Declaration of a State of Emergency Due to Extreme Drought Conditions Throughout the Commonwealth,True,declaration,True,drought,False,5 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827953605756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565431,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-55-2003,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827953505756,Executive Order,EO-55,2003,2003-07-31,Executive Order 55 (2003) Declaration of a State of Emergency Due to an Economic Crisis in Henry County and the City of Martinsville.,Declaration of a State of Emergency Due to an Economic Crisis in Henry County and the City of Martinsville,True,declaration,False,,False,3 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827953505756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2565518,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-97-2005,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827952005756,Executive Order,EO-97,2005,2005-09-12,Executive Order 97 (2005) Declaration of a State of Emergency in Support of the Emergency Management Assistance Compact to Respond to the Impact of Hurricane Katrina.,Declaration of a State of Emergency in Support of the Emergency Management Assistance Compact to Respond to the Impact of Hurricane Katrina,True,declaration,True,hurricane,True,8 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827952005756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564783,Library of Virginia Executive Orders Digital Collection
VA-WARNER-EO-13-2002,Mark R. Warner,2002-2006,warner,81116276840005756,alma9917827950705756,Executive Order,EO-13,2002,2002-05-13,Executive Order 13 (2002) Declaration of a State of Emergency Due to Severe Weather Across the Commonwealth.,Declaration of a State of Emergency Due to Severe Weather Across the Commonwealth,True,declaration,False,,False,8 PDF pages,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827950705756&context=L&vid=01LVA_INST%3A01LVA&lang=en,http://rosetta.virginiamemory.com:1801/delivery/DeliveryManagerServlet?fulltext=true&dps_pid=IE2564474,Library of Virginia Executive Orders Digital Collection
