declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
WA-PROC-26-04,Bob Ferguson,26-04,Wildfires - Walla Walla Water Supply,2026-08-28,https://governor.wa.gov/sites/default/files/proclamations/26-04%20-%20Walla%20Walla%20Water%20Supply%20%28tmp%29.pdf
WA-PROC-26-03,Bob Ferguson,26-03,Wildfires - Burn Ban,2026-08-01,https://governor.wa.gov/sites/default/files/proclamations/26-03%20-%20Wildfires%20-%20Burn%20Ban.pdf
WA-PROC-26-02,Bob Ferguson,26-02,Atmospheric River Storm Damage,2026-04-27,https://governor.wa.gov/sites/default/files/proclamations/26-02%20-%20Atmospheric%20River%20Storm%20Damage%20%28tmp%29.pdf
WA-PROC-25-07,Bob Ferguson,25-07,"December Atmospheric River and Winter Weather Event, Emergency Assistance, and Truck Driver Hours Waiver",2025-12-10,https://governor.wa.gov/sites/default/files/proclamations/25-07%20-%20Atmospheric%20River.pdf
WA-PROC-25-02,Bob Ferguson,25-02,Atmospheric River Storm Damage,2025-04-04,https://governor.wa.gov/sites/default/files/proclamations/25-02%20-%20Atmospheric%20River.pdf
WA-PROC-25-01,Jay Inslee,25-01,"""Bomb Cyclone"" Storm Damage",2025-01-07,https://governor.wa.gov/sites/default/files/proclamations/25-01%20-%20Bomb%20Cyclone%20Storm%20Damage.pdf
WA-PROC-24-05,Jay Inslee,24-05,2024 Wildfires - Roadway Damage,2024-08-16,https://governor.wa.gov/sites/default/files/proclamations/24-05%20-%202024%20Wildfires%20Roadway%20Damage.pdf
WA-PROC-24-04,Jay Inslee,24-04,2024 Wildfires – Fuel Delivery Waiver,2024-08-02,https://governor.wa.gov/sites/default/files/proclamations/24-04%202024%20Wildfires%20and%20Fuel%20Truck%20Driver%20Hour%20Waiver%20Proc.pdf
WA-PROC-24-02,Jay Inslee,24-02,January Winter Storms,2024-03-15,https://governor.wa.gov/sites/default/files/proclamations/24-02%20-%20January%20Winter%20Storm%20Damage.pdf
WA-PROC-24-01,Jay Inslee,24-01,"December Storm Damage — starting on December 3rd, 2023, Washington State experienced an unprecedented atmospheric river event, with rain causing damage to road infrastructure in Clallam, Grays Harbor, Mason, Skagit, and Snohomish Counties",2024-01-24,https://governor.wa.gov/sites/default/files/proclamations/24-01%20-%20December%20Storm%20Damage.pdf
