declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
WA-PROC-26-03.2,WA,Bob Ferguson,26-03.2,emergency_proclamation,amendment,"Wildfires - State Individual Assistance Expansion, Family Emergency Assistance Program, and Ongoing Recovery Support",2026-08-31,,false,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/26-03.2%20-%20Wildfires%20-%20IA%2C%20FEAP%2C%20Recovery%20%28tmp%29.pdf,https://governor.wa.gov/sites/default/files/proclamations/26-03.2%20-%20Wildfires%20-%20IA%2C%20FEAP%2C%20Recovery%20%28tmp%29.pdf
WA-PROC-26-05,WA,Bob Ferguson,26-05,emergency_proclamation,extension,Wildfires - Fuel Waiver,2026-08-28,,false,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/26-05%20-%20Wildfires%20-%20Fuel%20Waiver%20%28tmp%29.pdf,https://governor.wa.gov/sites/default/files/proclamations/26-05%20-%20Wildfires%20-%20Fuel%20Waiver%20%28tmp%29.pdf
WA-PROC-26-04,WA,Bob Ferguson,26-04,emergency_proclamation,declaration,Wildfires - Walla Walla Water Supply,2026-08-28,,true,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/26-04%20-%20Walla%20Walla%20Water%20Supply%20%28tmp%29.pdf,https://governor.wa.gov/sites/default/files/proclamations/26-04%20-%20Walla%20Walla%20Water%20Supply%20%28tmp%29.pdf
WA-PROC-26-03.1,WA,Bob Ferguson,26-03.1,emergency_proclamation,amendment,Wildfires - Immediate Relief and Response,2026-08-10,,false,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/26-03.1%20-%20Wildfires%20-%20Immediate%20Relief%20and%20Response.pdf,https://governor.wa.gov/sites/default/files/proclamations/26-03.1%20-%20Wildfires%20-%20Immediate%20Relief%20and%20Response.pdf
WA-PROC-26-03,WA,Bob Ferguson,26-03,emergency_proclamation,declaration,Wildfires - Burn Ban,2026-08-01,,true,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/26-03%20-%20Wildfires%20-%20Burn%20Ban.pdf,https://governor.wa.gov/sites/default/files/proclamations/26-03%20-%20Wildfires%20-%20Burn%20Ban.pdf
WA-PROC-26-02.1,WA,Bob Ferguson,26-02.1,emergency_proclamation,amendment,Atmospheric River Storm Damage - Amended,2026-06-09,,false,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/26-02.1%20-%20Atmospheric%20River%20Storm%20Damage%20%28tmp%29.pdf,https://governor.wa.gov/sites/default/files/proclamations/26-02.1%20-%20Atmospheric%20River%20Storm%20Damage%20%28tmp%29.pdf
WA-PROC-26-02,WA,Bob Ferguson,26-02,emergency_proclamation,declaration,Atmospheric River Storm Damage,2026-04-27,,true,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/26-02%20-%20Atmospheric%20River%20Storm%20Damage%20%28tmp%29.pdf,https://governor.wa.gov/sites/default/files/proclamations/26-02%20-%20Atmospheric%20River%20Storm%20Damage%20%28tmp%29.pdf
WA-PROC-26-01,WA,Bob Ferguson,26-01,proclamation,administrative,Spongy Moth Infestation,2026-04-27,,false,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/26-01%20-%20Spongy%20Moth%20Infestation.pdf,https://governor.wa.gov/sites/default/files/proclamations/26-01%20-%20Spongy%20Moth%20Infestation.pdf
WA-PROC-25-07.2,WA,Bob Ferguson,25-07.2,emergency_proclamation,amendment,"December Atmospheric River and Winter Weather Event, Emergency Assistance, and Truck Driver Hours Waiver (amended)",2025-12-23,,false,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/25-07.2%20-%20Atmospheric%20River%20%28tmp%29.pdf,https://governor.wa.gov/sites/default/files/proclamations/25-07.2%20-%20Atmospheric%20River%20%28tmp%29.pdf
WA-PROC-25-07.1,WA,Bob Ferguson,25-07.1,emergency_proclamation,amendment,"December Atmospheric River and Winter Weather Event, Emergency Assistance, and Truck Driver Hours Waiver (amended)",2025-12-16,,false,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/25-07.1%20-%20Atmospheric%20River%20%28tmp%29.pdf,https://governor.wa.gov/sites/default/files/proclamations/25-07.1%20-%20Atmospheric%20River%20%28tmp%29.pdf
WA-PROC-25-07,WA,Bob Ferguson,25-07,emergency_proclamation,declaration,"December Atmospheric River and Winter Weather Event, Emergency Assistance, and Truck Driver Hours Waiver",2025-12-10,,true,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/25-07%20-%20Atmospheric%20River.pdf,https://governor.wa.gov/sites/default/files/proclamations/25-07%20-%20Atmospheric%20River.pdf
WA-PROC-25-06,WA,Bob Ferguson,25-06,proclamation,administrative,Olympic Pipeline Shutdown,2025-11-19,,false,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/25-06%20-%20Olympic%20Pipeline%20Shutdown.pdf,https://governor.wa.gov/sites/default/files/proclamations/25-06%20-%20Olympic%20Pipeline%20Shutdown.pdf
WA-PROC-25-05,WA,Bob Ferguson,25-05,proclamation,administrative,Interstate 90/Bullfrog Road Overpass Damage,2025-10-23,,false,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/25-05%20-%20I-90_Bullfrog%20Overpass.pdf,https://governor.wa.gov/sites/default/files/proclamations/25-05%20-%20I-90_Bullfrog%20Overpass.pdf
WA-PROC-25-04,WA,Bob Ferguson,25-04,proclamation,administrative,State Route 167/Bridge 102 Damage,2025-09-30,,false,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/25-04%20State%20Route%20167_Bridge%20102%20Damage%20%28tmp%29.pdf,https://governor.wa.gov/sites/default/files/proclamations/25-04%20State%20Route%20167_Bridge%20102%20Damage%20%28tmp%29.pdf
WA-PROC-25-03,WA,Bob Ferguson,25-03,proclamation,administrative,White River Bridge Damage,2025-08-27,,false,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/25-03%20-%20White%20River%20Bridge%20Damage.pdf,https://governor.wa.gov/sites/default/files/proclamations/25-03%20-%20White%20River%20Bridge%20Damage.pdf
WA-PROC-25-02,WA,Bob Ferguson,25-02,emergency_proclamation,declaration,Atmospheric River Storm Damage,2025-04-04,,true,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/25-02%20-%20Atmospheric%20River.pdf,https://governor.wa.gov/sites/default/files/proclamations/25-02%20-%20Atmospheric%20River.pdf
WA-PROC-25-01.1,WA,Bob Ferguson,25-01.1,emergency_proclamation,amendment,“Bomb Cyclone” Storm Damage - Amended,2025-03-13,,false,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/25-01.1%20-%20Amending%20Bomb%20Cyclone%20Storm%20Damage.pdf,https://governor.wa.gov/sites/default/files/proclamations/25-01.1%20-%20Amending%20Bomb%20Cyclone%20Storm%20Damage.pdf
WA-PROC-25-01,WA,Jay Inslee,25-01,emergency_proclamation,declaration,"""Bomb Cyclone"" Storm Damage",2025-01-07,,true,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/25-01%20-%20Bomb%20Cyclone%20Storm%20Damage.pdf,https://governor.wa.gov/sites/default/files/proclamations/25-01%20-%20Bomb%20Cyclone%20Storm%20Damage.pdf
WA-PROC-24-07,WA,Jay Inslee,24-07,proclamation,administrative,Walla Walla County Bridge Damage,2024-09-27,,false,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/24-07%20Walla%20Walla%20County%20Bridge%20Damage.pdf,https://governor.wa.gov/sites/default/files/proclamations/24-07%20Walla%20Walla%20County%20Bridge%20Damage.pdf
WA-PROC-24-06,WA,Jay Inslee,24-06,proclamation,administrative,Lewis County Bridge Damage,2024-09-27,,false,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/24-06%20Lewis%20County%20Bridge%20Damage.pdf,https://governor.wa.gov/sites/default/files/proclamations/24-06%20Lewis%20County%20Bridge%20Damage.pdf
WA-PROC-24-05,WA,Jay Inslee,24-05,emergency_proclamation,declaration,2024 Wildfires - Roadway Damage,2024-08-16,,true,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/24-05%20-%202024%20Wildfires%20Roadway%20Damage.pdf,https://governor.wa.gov/sites/default/files/proclamations/24-05%20-%202024%20Wildfires%20Roadway%20Damage.pdf
WA-PROC-24-04,WA,Jay Inslee,24-04,emergency_proclamation,declaration,2024 Wildfires – Fuel Delivery Waiver,2024-08-02,,true,washington_governor_proclamation_archive,pdf,https://governor.wa.gov/sites/default/files/proclamations/24-04%202024%20Wildfires%20and%20Fuel%20Truck%20Driver%20Hour%20Waiver%20Proc.pdf,https://governor.wa.gov/sites/default/files/proclamations/24-04%202024%20Wildfires%20and%20Fuel%20Truck%20Driver%20Hour%20Waiver%20Proc.pdf
