source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
WA-PROC-26-03.2,WA-PROC-26-03,amends,26-03,https://governor.wa.gov/sites/default/files/proclamations/26-03.2%20-%20Wildfires%20-%20IA%2C%20FEAP%2C%20Recovery%20%28tmp%29.pdf,high
WA-PROC-26-03.2,WA-PROC-26-03.1,amends,26-03.1,https://governor.wa.gov/sites/default/files/proclamations/26-03.2%20-%20Wildfires%20-%20IA%2C%20FEAP%2C%20Recovery%20%28tmp%29.pdf,high
WA-PROC-26-05,WA-PROC-26-03,extends,26-03,https://governor.wa.gov/sites/default/files/proclamations/26-05%20-%20Wildfires%20-%20Fuel%20Waiver%20%28tmp%29.pdf,high
WA-PROC-26-05,WA-PROC-26-03.1,extends,26-03.1,https://governor.wa.gov/sites/default/files/proclamations/26-05%20-%20Wildfires%20-%20Fuel%20Waiver%20%28tmp%29.pdf,high
WA-PROC-26-03.1,WA-PROC-26-03,amends,26-03,https://governor.wa.gov/sites/default/files/proclamations/26-03.1%20-%20Wildfires%20-%20Immediate%20Relief%20and%20Response.pdf,high
WA-PROC-26-02.1,WA-PROC-26-02,amends,26-02,https://governor.wa.gov/sites/default/files/proclamations/26-02.1%20-%20Atmospheric%20River%20Storm%20Damage%20%28tmp%29.pdf,high
WA-PROC-25-07.2,WA-PROC-25-07,amends,25-07,https://governor.wa.gov/sites/default/files/proclamations/25-07.2%20-%20Atmospheric%20River%20%28tmp%29.pdf,high
WA-PROC-25-07.1,WA-PROC-25-07,amends,25-07,https://governor.wa.gov/sites/default/files/proclamations/25-07.1%20-%20Atmospheric%20River%20%28tmp%29.pdf,high
WA-PROC-25-01.1,WA-PROC-25-01,amends,25-01,https://governor.wa.gov/sites/default/files/proclamations/25-01.1%20-%20Amending%20Bomb%20Cyclone%20Storm%20Damage.pdf,high
WA-PROC-24-01.1,WA-PROC-24-01,amends,24-01,https://governor.wa.gov/sites/default/files/proclamations/24-01.1%20-%20Winter%20Storm%20Damage%20%28tmp%29.pdf,high
WA-PROC-21-14.06,WA-PROC-21-14,terminates,21-14,https://governor.wa.gov/sites/default/files/proclamations/21-14.6%20-%20COVID%20Vaccination%20Requirement_Rescission_%28tmp%29.pdf,high
WA-PROC-21-08.02,WA-PROC-20-05,terminates,20-05,https://governor.wa.gov/sites/default/files/proclamations/21-08.2%20-%20COVID-19%20Safe%20Workers_Rescission_%28tmp%29.pdf,high
WA-PROC-21-08.02,WA-PROC-21-08,terminates,21-08,https://governor.wa.gov/sites/default/files/proclamations/21-08.2%20-%20COVID-19%20Safe%20Workers_Rescission_%28tmp%29.pdf,high
WA-PROC-21-05.02,WA-PROC-21-05,terminates,21-05,https://governor.wa.gov/sites/default/files/proclamations/21-05.2%20Children%26%23039%3Bs%20Mental%20Health%20Crisis_Rescission_%28tmp%29.pdf,high
WA-PROC-20-83.03,WA-PROC-20-05,terminates,20-05,https://governor.wa.gov/sites/default/files/proclamations/20-83.3%20COVID-19%20Restrictions%20on%20Travelers_Rescission_%28tmp%29.pdf,high
WA-PROC-20-83.03,WA-PROC-20-83,terminates,20-83,https://governor.wa.gov/sites/default/files/proclamations/20-83.3%20COVID-19%20Restrictions%20on%20Travelers_Rescission_%28tmp%29.pdf,high
WA-PROC-20-78.01,WA-PROC-20-05,terminates,20-05,https://governor.wa.gov/sites/default/files/proclamations/20-78.1%20-%20COVID-19%20Stability%20in%20Local%20Health%20Jurisdictions_Rescission_%28tmp%29.pdf,high
WA-PROC-20-78.01,WA-PROC-20-78,terminates,20-78,https://governor.wa.gov/sites/default/files/proclamations/20-78.1%20-%20COVID-19%20Stability%20in%20Local%20Health%20Jurisdictions_Rescission_%28tmp%29.pdf,high
WA-PROC-20-64.06,WA-PROC-20-05,terminates,20-05,https://governor.wa.gov/sites/default/files/proclamations/20-64.6%20-%20COVID-19%20PRA-ContactTracing_Rescission_%28tmp%29.pdf,high
WA-PROC-20-64.06,WA-PROC-20-64,terminates,20-64,https://governor.wa.gov/sites/default/files/proclamations/20-64.6%20-%20COVID-19%20PRA-ContactTracing_Rescission_%28tmp%29.pdf,high
WA-PROC-20-43.11,WA-PROC-20-05,terminates,20-05,https://governor.wa.gov/sites/default/files/proclamations/20-43.11%20-%20COVID-19%20OFMLeave-Pay_Rescission_%28tmp%29.pdf,high
WA-PROC-20-43.11,WA-PROC-20-43,terminates,20-43,https://governor.wa.gov/sites/default/files/proclamations/20-43.11%20-%20COVID-19%20OFMLeave-Pay_Rescission_%28tmp%29.pdf,high
WA-PROC-20-25.20,WA-PROC-20-05,terminates,20-05,https://governor.wa.gov/sites/default/files/proclamations/20-25.20%20-%20COVID-19%20Washington%20Ready_Rescission_%28tmp%29.pdf,high
WA-PROC-20-25.20,WA-PROC-20-25,terminates,20-25,https://governor.wa.gov/sites/default/files/proclamations/20-25.20%20-%20COVID-19%20Washington%20Ready_Rescission_%28tmp%29.pdf,high
WA-PROC-20-12.06,WA-PROC-20-05,terminates,20-05,https://governor.wa.gov/sites/default/files/proclamations/20-12.6%20-%20HigherEd%20and%20Vaccine%20Requirement_Rescission_%28tmp%29.pdf,high
WA-PROC-20-12.06,WA-PROC-20-12,terminates,20-12,https://governor.wa.gov/sites/default/files/proclamations/20-12.6%20-%20HigherEd%20and%20Vaccine%20Requirement_Rescission_%28tmp%29.pdf,high
WA-PROC-20-09.05,WA-PROC-20-09,terminates,20-09,https://governor.wa.gov/sites/default/files/proclamations/20-09.5%20-%20COVID-19%20K-12%20Schools_Rescission_%28tmp%29.pdf,high
WA-PROC-20-05.01,WA-PROC-20-05,terminates,20-05,https://governor.wa.gov/sites/default/files/proclamations/20-05.1_%20Coronavirus%20RESCISSION_%28tmp%29.pdf,high
WA-PROC-20-74.4,WA-PROC-20-74,amends,20-74,https://governor.wa.gov/sites/default/files/proclamations/20-74.4%20-%20Rescind%20COVID-19%20BHA-CLIP-RTFGuide%20%28tmp%29.pdf,high
WA-PROC-20-66.6,WA-PROC-20-66,amends,20-66,https://governor.wa.gov/sites/default/files/proclamations/20-66.6%20-%20Rescind%20COVID-19%20LTC-OpsVisit%20%28tmp%29.pdf,high
WA-PROC-20-65.6,WA-PROC-20-65,amends,20-65,https://governor.wa.gov/sites/default/files/proclamations/20-65.6%20-%20Rescind%20COVID-19%20LTC-WkforceFacilities%20%28tmp%29.pdf,high
WA-PROC-20-59.9,WA-PROC-20-05,amends,20-05,https://governor.wa.gov/sites/default/files/proclamations/20-59.9%20%20-%20Rescind%20COVID-19%20ProfProgGrads%20%28tmp%29.pdf,high
WA-PROC-20-59.9,WA-PROC-20-59,amends,20-59,https://governor.wa.gov/sites/default/files/proclamations/20-59.9%20%20-%20Rescind%20COVID-19%20ProfProgGrads%20%28tmp%29.pdf,high
WA-PROC-20-52.11,WA-PROC-20-52,amends,20-52,https://governor.wa.gov/sites/default/files/proclamations/20-52.11%20-%20LTC%20Extensions%20Rescinded%20%28tmp%29.pdf,high
WA-PROC-20-36.11,WA-PROC-20-36,amends,20-36,https://governor.wa.gov/sites/default/files/proclamations/20-36.11%20Rescind%20COVID-19%20DOH%20Facilities%20and%20Hand%20Sanitizer%20%28tmp%29.pdf,high
WA-PROC-20-32.12,WA-PROC-20-05,amends,20-05,https://governor.wa.gov/sites/default/files/proclamations/20-32.12%20-%20Rescind%20COVID-19%20HCWorkerLicensing%20%28tmp%29.pdf,high
WA-PROC-20-32.12,WA-PROC-20-32,amends,20-32,https://governor.wa.gov/sites/default/files/proclamations/20-32.12%20-%20Rescind%20COVID-19%20HCWorkerLicensing%20%28tmp%29.pdf,high
WA-PROC-20-24.4,WA-PROC-20-24,amends,20-24,https://governor.wa.gov/sites/default/files/proclamations/20-24.4%20-%20Rescind%20Restrictions%20On%20Non-Urgent%20Medical%20Procedures%20%28tmp%29.pdf,high
WA-PROC-20-56.9,WA-PROC-20-56,amends,20-56,https://governor.wa.gov/sites/default/files/proclamations/20-56.9%20-%20COVID-19%20TribalFuelTax%20Rescind%20%28tmp%29.pdf,high
WA-PROC-20-23.17,WA-PROC-20-05,amends,20-05,https://governor.wa.gov/sites/default/files/proclamations/20-23.17%20-%20COVID-19%20RatepayerAssist%20Rescind%20%28tmp%29.pdf,high
WA-PROC-20-23.17,WA-PROC-20-23,amends,20-23,https://governor.wa.gov/sites/default/files/proclamations/20-23.17%20-%20COVID-19%20RatepayerAssist%20Rescind%20%28tmp%29.pdf,high
WA-PROC-21-14.5,WA-PROC-21-14,amends,21-14,https://governor.wa.gov/sites/default/files/proclamations/21-14.5%20-%20COVID%20Vax_outdoor%20workers%20%28tmp%29.pdf,high
WA-PROC-20-28.16,WA-PROC-20-28,amends,20-28,https://governor.wa.gov/sites/default/files/proclamations/20-28.16%20-%20COVID-19%20OPMA%20PRA%20Rescind%20%28tmp%29.pdf,high
WA-PROC-20-15.12,WA-PROC-20-15,amends,20-15,https://governor.wa.gov/sites/default/files/proclamations/20-15.12%20-%20COVID-19%20DOL%20Offices%20Rescind%20%28tmp%29.pdf,high
WA-PROC-20-69.5,WA-PROC-20-69,amends,20-69,https://governor.wa.gov/sites/default/files/proclamations/20-69.5%20-%20COVID-19%20ResidencyTuitionWaivers%20RESCIND%20%28tmp%29.pdf,high
WA-PROC-20-31.12,WA-PROC-20-31,amends,20-31,https://governor.wa.gov/sites/default/files/proclamations/20-31.12%20-%20Rescind%20DCYF%20Background%20Checks%20%28tmp%29.pdf,high
WA-PROC-20-48.11,WA-PROC-20-05,amends,20-05,https://governor.wa.gov/sites/default/files/proclamations/20-48.11%20-%20COVID-19%20DOL-CDL%20Rescind%20%28tmp%29.pdf,high
WA-PROC-20-48.11,WA-PROC-20-48,amends,20-48,https://governor.wa.gov/sites/default/files/proclamations/20-48.11%20-%20COVID-19%20DOL-CDL%20Rescind%20%28tmp%29.pdf,high
WA-PROC-20-41.13,WA-PROC-20-05,amends,20-05,https://governor.wa.gov/sites/default/files/proclamations/20-41.13%20-%20COVID-19%20DOLLicense%20Rescind%20%28tmp%29.pdf,high
WA-PROC-20-41.13,WA-PROC-20-41,amends,20-41,https://governor.wa.gov/sites/default/files/proclamations/20-41.13%20-%20COVID-19%20DOLLicense%20Rescind%20%28tmp%29.pdf,high
WA-PROC-21-14.4,WA-PROC-21-14,amends,21-14,https://governor.wa.gov/sites/default/files/proclamations/21-14.4%20-%20COVID-19%20Vax%20WA%20Amendment%20%28tmp%29.pdf,high
WA-PROC-20-25.19,WA-PROC-20-25,amends,20-25,https://governor.wa.gov/sites/default/files/proclamations/20-25.19%20-%20COVID-19%20Washington%20Ready%20%28tmp%29.pdf,high
WA-PROC-21-08.01,WA-PROC-21-08,amends,21-08,https://governor.wa.gov/sites/default/files/proclamations/21-08.1%20-%20COVID-19%20Safe%20Workers%20%28tmp%29_0.pdf,high
WA-PROC-20-25.18,WA-PROC-20-25,amends,20-25,https://governor.wa.gov/sites/default/files/proclamations/20-25.18%20-%20COVID-19%20Washington%20Ready%20%28tmp%29.pdf,high
WA-PROC-20-03.07,WA-PROC-20-03,amends,20-03,https://governor.wa.gov/sites/default/files/proclamations/WA_DOH_Secretary_of_Health_Order_20-03.7_Amended_Statewide_Face_Covering_2022.02.16.pdf,high
WA-PROC-20-24.3,WA-PROC-20-24,amends,20-24,https://governor.wa.gov/sites/default/files/proclamations/20-24.3%20-%20Restrictions%20On%20Non-Urgent%20Medical%20Procedures%20%28tmp%29.pdf,high
WA-PROC-22-01.1,WA-PROC-22-01,amends,22-01,https://governor.wa.gov/sites/default/files/proclamations/22-01.1%20-%20Winter%20Weather%20and%20Driver%20Hours.pdf,high
WA-PROC-20-22.11,WA-PROC-20-22,amends,20-22,https://governor.wa.gov/sites/default/files/proclamations/20-22.11.pdf,high
WA-PROC-21-18.2,WA-PROC-21-18,amends,21-18,https://governor.wa.gov/sites/default/files/proclamations/21-18.2%20-%20Severe%20Weather%20Amendment%20%28tmp%29.pdf,high
WA-PROC-21-14.3,WA-PROC-21-14,amends,21-14,https://governor.wa.gov/sites/default/files/proclamations/21-14.3%20-%20COVID-19%20Vax%20WA%20Amendment%20%28tmp%29.pdf,high
WA-PROC-21-18.1,WA-PROC-21-18,amends,21-18,https://governor.wa.gov/sites/default/files/proclamations/21-18.1%20-%20Severe%20Weather%20-%20FEAP%20-%20Truck%20Driver%20Hours%20Waiver%20%28tmp%29.pdf,high
WA-PROC-21-16.1,WA-PROC-21-16,amends,21-16,https://governor.wa.gov/sites/default/files/proclamations/21-16.1%20-%20COVID-19%20-%20Large%20Events%20%28tmp%29.pdf,high
WA-PROC-21-15.2,WA-PROC-21-15,amends,21-15,https://governor.wa.gov/sites/default/files/proclamations/21-15.2%20COVID-19%20Nursing%20Home%20Transfers%20%28tmp%29.pdf,high
WA-PROC-20-80.1,WA-PROC-20-80,amends,20-80,https://governor.wa.gov/sites/default/files/proclamations/20-80.1%20-%20COVID-19%20DOC%20Confinement%20Placement.pdf,high
WA-PROC-21-15.1,WA-PROC-21-15,amends,21-15,https://governor.wa.gov/sites/default/files/proclamations/21-15.1%20COVID-19%20Nursing%20Home%20Transfers.pdf,high
WA-PROC-21-09.2,WA-PROC-21-09,amends,21-09,https://governor.wa.gov/sites/default/files/proclamations/21-09.2%20%20-%20COVID-19%20Eviction%20bridge%20transition%20Ext%20%28tmp%29.pdf,high
WA-PROC-21-14.2,WA-PROC-21-14,amends,21-14,https://governor.wa.gov/sites/default/files/proclamations/21-14.2%20-%20COVID-19%20Vax%20Washington%20Amendment%20%28tmp%29.pdf,high
WA-PROC-21-09.1,WA-PROC-21-09,amends,21-09,https://governor.wa.gov/sites/default/files/proclamations/proc_21-09.1.pdf,high
WA-PROC-21-10.4,WA-PROC-21-10,amends,21-10,https://governor.wa.gov/sites/default/files/proclamations/proc_21-10.4.pdf,high
WA-PROC-21-10.4,WA-PROC-21-10.1,amends,21-10.1,https://governor.wa.gov/sites/default/files/proclamations/proc_21-10.4.pdf,high
WA-PROC-21-10.4,WA-PROC-21-10.2,amends,21-10.2,https://governor.wa.gov/sites/default/files/proclamations/proc_21-10.4.pdf,high
WA-PROC-21-10.4,WA-PROC-21-10.3,amends,21-10.3,https://governor.wa.gov/sites/default/files/proclamations/proc_21-10.4.pdf,high
WA-PROC-20-25.17,WA-PROC-20-25,amends,20-25,https://governor.wa.gov/sites/default/files/proclamations/proc_20-25.17.pdf,high
WA-PROC-20-25.16,WA-PROC-20-25,amends,20-25,https://governor.wa.gov/sites/default/files/proclamations/proc_20-25.16.pdf,high
WA-PROC-20-22.10,WA-PROC-20-22,amends,20-22,https://governor.wa.gov/sites/default/files/proclamations/20-22.10%20-%20COVID-19%20Truck%20Driver%20Hours%20Ext%20%28tmp%29.pdf,high
WA-PROC-21-12.1,WA-PROC-21-12,amends,21-12,https://governor.wa.gov/sites/default/files/proclamations/proc_21-12.1.pdf,high
WA-PROC-20-12.5,WA-PROC-20-12,amends,20-12,https://governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf,high
WA-PROC-21-14.1,WA-PROC-21-14,amends,21-14,https://governor.wa.gov/sites/default/files/proclamations/21-14.1%20-%20COVID-19%20Vax%20Washington%20Amendment.pdf,high
WA-PROC-20-25.15,WA-PROC-20-25,amends,20-25,https://governor.wa.gov/sites/default/files/proclamations/20-25.15%20-%20COVID-19%20Washington%20Ready.pdf,high
WA-PROC-21-10.3,WA-PROC-21-10,amends,21-10,https://governor.wa.gov/sites/default/files/proclamations/21-10.3%20-%20Wildfire%20Emergency%20Amend%20%28tmp%29.pdf,high
WA-PROC-21-10.3,WA-PROC-21-10.1,amends,21-10.1,https://governor.wa.gov/sites/default/files/proclamations/21-10.3%20-%20Wildfire%20Emergency%20Amend%20%28tmp%29.pdf,high
WA-PROC-21-10.3,WA-PROC-21-10.2,amends,21-10.2,https://governor.wa.gov/sites/default/files/proclamations/21-10.3%20-%20Wildfire%20Emergency%20Amend%20%28tmp%29.pdf,high
WA-PROC-21-10.2,WA-PROC-21-10,amends,21-10,https://governor.wa.gov/sites/default/files/proclamations/proc_21-10.2.pdf,high
WA-PROC-20-84.2,WA-PROC-20-84,amends,20-84,https://governor.wa.gov/sites/default/files/proclamations/proc_20-84.2.pdf,high
WA-PROC-20-49.15,WA-PROC-20-49,amends,20-49,https://governor.wa.gov/sites/default/files/proclamations/proc_20-49.15.pdf,high
WA-PROC-20-09.4,WA-PROC-20-09,amends,20-09,https://governor.wa.gov/sites/default/files/proclamations/20-09.4-COVID-19K-12Schools.pdf,high
WA-PROC-20-70.1,WA-PROC-20-70,amends,20-70,https://governor.wa.gov/sites/default/files/proclamations/proc_20-70.1.pdf,high
WA-PROC-20-44.11,WA-PROC-20-44,amends,20-44,https://governor.wa.gov/sites/default/files/proclamations/proc_20-44.11.pdf,high
WA-PROC-20-20.12,WA-PROC-20-20,amends,20-20,https://governor.wa.gov/sites/default/files/proclamations/proc_20-20.12.pdf,high
WA-PROC-20-79.2,WA-PROC-20-79,amends,20-79,https://governor.wa.gov/sites/default/files/proclamations/proc_20-79.2.pdf,high
WA-PROC-20-67.1,WA-PROC-20-67,amends,20-67,https://governor.wa.gov/sites/default/files/proclamations/proc_20-67.1.pdf,high
WA-PROC-20-45.11,WA-PROC-20-05,amends,20-05,https://governor.wa.gov/sites/default/files/proclamations/proc_20-45.11.pdf,high
WA-PROC-20-45.11,WA-PROC-20-45,amends,20-45,https://governor.wa.gov/sites/default/files/proclamations/proc_20-45.11.pdf,high
WA-PROC-21-10.1,WA-PROC-21-10,amends,21-10,https://governor.wa.gov/sites/default/files/proclamations/21-10.1%20-%20Wildfire%20Emergency%20%28tmp%29.pdf,high
WA-PROC-20-82.2,WA-PROC-20-82,amends,20-82,https://governor.wa.gov/sites/default/files/proclamations/proc_20-82.2.pdf,high
WA-PROC-20-51.12,WA-PROC-20-51,amends,20-51,https://governor.wa.gov/sites/default/files/proclamations/proc_20-51.12.pdf,high
WA-PROC-20-12.4,WA-PROC-20-12,amends,20-12,https://governor.wa.gov/sites/default/files/proclamations/proc_20-12.4.pdf,high
WA-PROC-20-23.16,WA-PROC-20-05,amends,20-05,https://governor.wa.gov/sites/default/files/proclamations/proc_20-23.16.pdf,high
WA-PROC-20-23.16,WA-PROC-20-23,amends,20-23,https://governor.wa.gov/sites/default/files/proclamations/proc_20-23.16.pdf,high
WA-PROC-20-57.2,WA-PROC-20-57,amends,20-57,https://governor.wa.gov/sites/default/files/proclamations/proc_20-57.2.pdf,high
WA-PROC-20-25.14,WA-PROC-20-25,amends,20-25,https://governor.wa.gov/sites/default/files/proclamations/proc_20-25.14.pdf,high
WA-PROC-20-12.3,WA-PROC-20-12,amends,20-12,https://governor.wa.gov/sites/default/files/proclamations/20-12.3%20-%20HigherEd.pdf,high
WA-PROC-20-76.1,WA-PROC-20-76,amends,20-76,https://governor.wa.gov/sites/default/files/proclamations/proc_20-76.1.pdf,high
WA-PROC-20-46.4,WA-PROC-20-46,amends,20-46,https://governor.wa.gov/sites/default/files/proclamations/proc_20-46.4.pdf,high
WA-PROC-20-30.12,WA-PROC-20-30,amends,20-30,https://governor.wa.gov/sites/default/files/proclamations/proc_20-30.12.pdf,high
WA-PROC-20-63.9,WA-PROC-20-05,amends,20-05,https://governor.wa.gov/sites/default/files/proclamations/proc_20-63.9.pdf,high
WA-PROC-20-63.9,WA-PROC-20-63,amends,20-63,https://governor.wa.gov/sites/default/files/proclamations/proc_20-63.9.pdf,high
WA-PROC-20-22.09,WA-PROC-20-22,amends,20-22,https://governor.wa.gov/sites/default/files/proclamations/proc_20-22.9.pdf,high
WA-PROC-20-25.13,WA-PROC-20-25,amends,20-25,https://governor.wa.gov/sites/default/files/proclamations/proc_20-25.13.pdf,high
WA-PROC-20-63.8,WA-PROC-20-05,amends,20-05,https://governor.wa.gov/sites/default/files/proclamations/proc_20-63.8.pdf,high
WA-PROC-20-63.8,WA-PROC-20-63,amends,20-63,https://governor.wa.gov/sites/default/files/proclamations/proc_20-63.8.pdf,high
WA-PROC-20-46.3,WA-PROC-20-46,amends,20-46,https://governor.wa.gov/sites/default/files/proclamations/proc_20-46.3.pdf,high
WA-PROC-20-83.2,WA-PROC-20-83,amends,20-83,https://governor.wa.gov/sites/default/files/proclamations/proc_20-83.2.pdf,high
WA-PROC-21-05.1,WA-PROC-21-05,amends,21-05,https://governor.wa.gov/sites/default/files/proclamations/proc_21-05.1.pdf,high
WA-PROC-20-23.15,WA-PROC-20-05,amends,20-05,https://governor.wa.gov/sites/default/files/proclamations/proc_20-23.15.pdf,high
WA-PROC-20-23.15,WA-PROC-20-23,amends,20-23,https://governor.wa.gov/sites/default/files/proclamations/proc_20-23.15.pdf,high
WA-PROC-20-19.6,WA-PROC-20-05,extends,20-05,https://governor.wa.gov/sites/default/files/proclamations/proc_20-19.6.pdf,high
WA-PROC-20-19.6,WA-PROC-20-19,extends,20-19,https://governor.wa.gov/sites/default/files/proclamations/proc_20-19.6.pdf,high
WA-PROC-20-49.14,WA-PROC-20-49,amends,20-49,https://governor.wa.gov/sites/default/files/proclamations/proc_20-49.14.pdf,high
WA-PROC-20-83.1,WA-PROC-20-83,amends,20-83,https://governor.wa.gov/sites/default/files/proclamations/proc_20-83.1.pdf,high
WA-PROC-20-22.08,WA-PROC-20-22,amends,20-22,https://governor.wa.gov/sites/default/files/proclamations/proc_20-22.8.pdf,high
WA-PROC-21-02,WA-PROC-20-05,extends,20-05,https://governor.wa.gov/sites/default/files/proclamations/proc_21-02.pdf,high
WA-PROC-20-84.1,WA-PROC-20-84,amends,20-84,https://governor.wa.gov/sites/default/files/proclamations/proc_20-84.1.pdf,high
WA-PROC-20-82.1,WA-PROC-20-82,amends,20-82,https://governor.wa.gov/sites/default/files/proclamations/proc_20-82.1.pdf,high
WA-PROC-20-79.1,WA-PROC-20-79,amends,20-79,https://governor.wa.gov/sites/default/files/proclamations/proc_20-79.1.pdf,high
WA-PROC-20-74.3,WA-PROC-20-74,amends,20-74,https://governor.wa.gov/sites/default/files/proclamations/proc_20-74.3.pdf,high
WA-PROC-20-69.4,WA-PROC-20-69,amends,20-69,https://governor.wa.gov/sites/default/files/proclamations/proc_20-69.4.pdf,high
WA-PROC-20-66.5,WA-PROC-20-66,amends,20-66,https://governor.wa.gov/sites/default/files/proclamations/proc_20-66.5.pdf,high
WA-PROC-20-65.5,WA-PROC-20-65,amends,20-65,https://governor.wa.gov/sites/default/files/proclamations/proc_20-65.5.pdf,high
WA-PROC-20-64.5,WA-PROC-20-64,amends,20-64,https://governor.wa.gov/sites/default/files/proclamations/proc_20-64.5.pdf,high
WA-PROC-20-59.8,WA-PROC-20-05,amends,20-05,https://governor.wa.gov/sites/default/files/proclamations/proc_20-59.8.pdf,high
WA-PROC-20-59.8,WA-PROC-20-59,amends,20-59,https://governor.wa.gov/sites/default/files/proclamations/proc_20-59.8.pdf,high
WA-PROC-20-56.8,WA-PROC-20-56,amends,20-56,https://governor.wa.gov/sites/default/files/proclamations/proc_20-56.8.pdf,high
WA-PROC-20-52.10,WA-PROC-20-52,amends,20-52,https://governor.wa.gov/sites/default/files/proclamations/proc_20-52.10.pdf,high
WA-PROC-20-51.11,WA-PROC-20-51,amends,20-51,https://governor.wa.gov/sites/default/files/proclamations/proc_20-51.11.pdf,high
WA-PROC-20-49.13,WA-PROC-20-49,amends,20-49,https://governor.wa.gov/sites/default/files/proclamations/proc_20-49.13.pdf,high
WA-PROC-20-48.10,WA-PROC-20-05,amends,20-05,https://governor.wa.gov/sites/default/files/proclamations/proc_20-48.10.pdf,high
WA-PROC-20-48.10,WA-PROC-20-48,amends,20-48,https://governor.wa.gov/sites/default/files/proclamations/proc_20-48.10.pdf,high
WA-PROC-20-45.10,WA-PROC-20-05,amends,20-05,https://governor.wa.gov/sites/default/files/proclamations/proc_20-45.10.pdf,high
WA-PROC-20-45.10,WA-PROC-20-45,amends,20-45,https://governor.wa.gov/sites/default/files/proclamations/proc_20-45.10.pdf,high
