declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
WV-PROC-2026-08-18-declares-state-of-emergency-following-new-round-of-severe-st,WV,Patrick Morrisey,,emergency_proclamation,declaration,Governor Morrisey Declares State of Emergency Following New Round of Severe Storms and Flooding,2026-08-18,,true,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-morrisey-declares-state-emergency-following-new-round-severe-storms-and-flooding,https://governor.wv.gov/article/governor-morrisey-declares-state-emergency-following-new-round-severe-storms-and-flooding
WV-PROC-2026-08-14-extends-state-of-emergency-in-12-counties-as-flood-recovery-,WV,Patrick Morrisey,,emergency_proclamation,extension,Governor Morrisey Extends State of Emergency in 12 Counties as Flood Recovery Continues,2026-08-14,,true,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-morrisey-extends-state-emergency-12-counties-flood-recovery-continues,https://governor.wv.gov/article/governor-morrisey-extends-state-emergency-12-counties-flood-recovery-continues
WV-PROC-2026-07-21-declares-state-of-preparedness-for-all-55-counties-ahead-of-,WV,Patrick Morrisey,,emergency_proclamation,declaration,Governor Morrisey Declares State of Preparedness for All 55 Counties Ahead of Severe Weather Systems,2026-07-21,,true,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-morrisey-declares-state-preparedness-all-55-counties-ahead-severe-weather-systems,https://governor.wv.gov/article/governor-morrisey-declares-state-preparedness-all-55-counties-ahead-severe-weather-systems
WV-PROC-2026-07-21-declares-state-of-emergency-for-all-55-counties-due-to-sever,WV,Patrick Morrisey,,emergency_proclamation,declaration,Governor Morrisey Declares State of Emergency for All 55 Counties Due to Severe Weather,2026-07-21,,true,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-morrisey-declares-state-emergency-all-55-counties-due-severe-weather,https://governor.wv.gov/article/governor-morrisey-declares-state-emergency-all-55-counties-due-severe-weather
WV-PROC-2026-07-20-declares-state-of-emergency-for-barbour-county-following-sev,WV,Patrick Morrisey,,emergency_proclamation,declaration,Governor Morrisey Declares State of Emergency for Barbour County Following Severe Flooding,2026-07-20,,true,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-morrisey-declares-state-emergency-barbour-county-following-severe-flooding,https://governor.wv.gov/article/governor-morrisey-declares-state-emergency-barbour-county-following-severe-flooding
WV-PROC-2026-07-05-declares-state-of-emergency-for-wood-county-following-parker,WV,Patrick Morrisey,,emergency_proclamation,declaration,Governor Morrisey Declares State of Emergency for Wood County Following Parkersburg Warehouse Fire,2026-07-05,,false,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-morrisey-declares-state-emergency-wood-county-following-parkersburg-warehouse-fire,https://governor.wv.gov/article/governor-morrisey-declares-state-emergency-wood-county-following-parkersburg-warehouse-fire
WV-PROC-2026-06-24-declares-state-of-emergency-for-boone-logan-and-raleigh-coun,WV,Patrick Morrisey,,emergency_proclamation,declaration,"Governor Morrisey Declares State of Emergency for Boone, Logan, and Raleigh Counties — - Governor Patrick Morrisey has declared a State of Emergency for Boone, Logan, and Raleigh counties following severe storms, flash flooding, and landslides that impacted communities across southern West Virginia.",2026-06-24,,true,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-morrisey-declares-state-emergency-boone-logan-and-raleigh-counties,https://governor.wv.gov/article/governor-morrisey-declares-state-emergency-boone-logan-and-raleigh-counties
WV-PROC-2026-01-23-declares-state-of-emergency-for-all-55-counties-as-major-win,WV,Patrick Morrisey,,emergency_proclamation,declaration,Governor Morrisey Declares State of Emergency for All 55 Counties as Major Winter Storm Approaches,2026-01-23,,true,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-morrisey-declares-state-emergency-all-55-counties-major-winter-storm-approaches,https://governor.wv.gov/article/governor-morrisey-declares-state-emergency-all-55-counties-major-winter-storm-approaches
WV-PROC-2026-01-21-declares-state-of-preparedness-in-all-55-counties-ahead-of-w,WV,Patrick Morrisey,,emergency_proclamation,declaration,Governor Morrisey Declares State of Preparedness in All 55 counties Ahead of Winter Storm,2026-01-21,,true,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-morrisey-declares-state-preparedness-all-55-counties-ahead-winter-storm,https://governor.wv.gov/article/governor-morrisey-declares-state-preparedness-all-55-counties-ahead-winter-storm
WV-PROC-2025-12-13-declares-state-of-preparedness,WV,Patrick Morrisey,,emergency_proclamation,declaration,"Governor Morrisey Declares State of Preparedness — - Due to expected snowfall and plunging temperatures, Governor Patrick Morrisey has declared a State of Preparedness in all 55 counties in West Virginia, which will remain in effect until Thursday, December 18, 2025.",2025-12-13,,true,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-morrisey-declares-state-preparedness,https://governor.wv.gov/article/governor-morrisey-declares-state-preparedness
WV-PROC-2025-06-15-declares-state-of-emergency-in-ohio-county,WV,Patrick Morrisey,,emergency_proclamation,declaration,"Governor Patrick Morrisey Declares State of Emergency in Ohio County — – Due to heavy rains that resulted in flash flooding, Governor Patrick Morrisey has declared a State of Emergency in Ohio County.",2025-06-15,,true,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-patrick-morrisey-declares-state-emergency-ohio-county,https://governor.wv.gov/article/governor-patrick-morrisey-declares-state-emergency-ohio-county
WV-PROC-2025-06-15-declares-state-of-emergency-in-marion-county,WV,Patrick Morrisey,,emergency_proclamation,declaration,"Governor Patrick Morrisey Declares State of Emergency in Marion County — – Due to heavy rains that have resulted in flash flooding, and a severe and continuing threat to the health, safety, welfare and property, Governor Patrick Morrisey has declared a State of Emergency in Marion County.",2025-06-15,,true,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-patrick-morrisey-declares-state-emergency-marion-county,https://governor.wv.gov/article/governor-patrick-morrisey-declares-state-emergency-marion-county
WV-PROC-2025-05-13-declares-state-of-emergency-in-mineral-county,WV,Patrick Morrisey,,emergency_proclamation,declaration,"Governor Patrick Morrisey Declares State of Emergency in Mineral County — Charleston, W.Va – Due to severe storms and heavy rains that resulted in flash flooding, Governor Patrick Morrisey has declared a State of Emergency in Mineral County.",2025-05-13,,true,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-patrick-morrisey-declares-state-emergency-mineral-county,https://governor.wv.gov/article/governor-patrick-morrisey-declares-state-emergency-mineral-county
WV-PROC-2025-04-02-declares-state-of-preparedness-in-all-55-counties,WV,Patrick Morrisey,,emergency_proclamation,declaration,"Governor Patrick Morrisey Declares State of Preparedness in All 55 Counties — – Due to developing weather patterns that will bring multiple rounds of severe thunderstorms with heavy rains and high winds in West Virginia beginning Wednesday, April 2, 2025, through Sunday, April 6, 2025, Governor Patrick Morrisey has issued a state of preparedness for all 55 counties.",2025-04-02,,true,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-patrick-morrisey-declares-state-preparedness-all-55-counties,https://governor.wv.gov/article/governor-patrick-morrisey-declares-state-preparedness-all-55-counties
WV-PROC-2025-03-07-extends-state-of-emergency-in-fourteen-counties,WV,Patrick Morrisey,,emergency_proclamation,extension,Governor Patrick Morrisey Extends State of Emergency in Fourteen Counties,2025-03-07,,false,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-patrick-morrisey-extends-state-emergency-fourteen-counties,https://governor.wv.gov/article/governor-patrick-morrisey-extends-state-emergency-fourteen-counties
WV-PROC-2025-02-16-adds-boone-lincoln-and-wayne-counties-to-state-of-emergency-,WV,Patrick Morrisey,,emergency_proclamation,amendment,"Governor Patrick Morrisey Adds Boone, Lincoln, and Wayne Counties to State of Emergency Declaration — Governor Morrisey has spoken to US Department of Homeland Security (DHS) Secretary Kristi Noem, who notified the Governor that DHS stands ready to take immediate action to offer resources and support West Virginians affected by flooding.",2025-02-16,,true,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-patrick-morrisey-adds-boone-lincoln-and-wayne-counties-state-emergency-declaration,https://governor.wv.gov/article/governor-patrick-morrisey-adds-boone-lincoln-and-wayne-counties-state-emergency-declaration
WV-PROC-2025-02-15-declares-state-of-emergency-in-10-counties-urges-caution-acr,WV,Patrick Morrisey,,emergency_proclamation,declaration,"Governor Patrick Morrisey Declares State of Emergency in 10 Counties, Urges Caution Across West Virginia — CHARLESTON, WV – Governor Patrick Morrisey has declared a State of Emergency amid heavy rains and flooding in Cabell, Greenbrier, Kanawha, Logan, Mercer, McDowell, Mingo, Raleigh, Summers, and Wyoming Counties.",2025-02-15,,true,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-patrick-morrisey-declares-state-emergency-10-counties-urges-caution-across-west,https://governor.wv.gov/article/governor-patrick-morrisey-declares-state-emergency-10-counties-urges-caution-across-west
WV-PROC-2025-02-06-declares-state-of-emergency-in-cabell-and-kanawha-counties,WV,Patrick Morrisey,,emergency_proclamation,declaration,"Governor Patrick Morrisey Declares State of Emergency in Cabell and Kanawha Counties — CHARLESTON, WV - Due to severe rainstorms and high winds that resulted in flooding, downed trees, power outages, and road blockages, Governor Patrick Morrisey has declared a State of Emergency in Cabell and Kanawha Counties.",2025-02-06,,true,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-patrick-morrisey-declares-state-emergency-cabell-and-kanawha-counties,https://governor.wv.gov/article/governor-patrick-morrisey-declares-state-emergency-cabell-and-kanawha-counties
WV-PROC-2025-02-05-declares-state-of-preparedness-urges-caution,WV,Patrick Morrisey,,emergency_proclamation,declaration,"Governor Patrick Morrisey Declares State of Preparedness, Urges Caution — CHARLESTON, WV - Due to developing weather patterns suggesting a significant winter storm event followed by dangerous wind chills and other adverse weather, Governor Patrick Morrisey has issued a state of preparedness for all 55 counties in West Virginia beginning tonight, February 5, 2025, through February 7, 2025.",2025-02-05,,true,morrisey_governor_news_archive,html,https://governor.wv.gov/article/governor-patrick-morrisey-declares-state-preparedness-urges-caution,https://governor.wv.gov/article/governor-patrick-morrisey-declares-state-preparedness-urges-caution
WV-PROC-2025-01-05-state-of-emergency-issued-january-5-2025-extreme-cold-and-wi,WV,Jim Justice,,emergency_proclamation,declaration,"State of Emergency issued January 5, 2025 — extreme cold and winter weather",2025-01-05,,true,official_governor_transition_article,html,https://governor.wv.gov/article/gov-morrisey-urges-caution-reminds-west-virginians-be-vigilant-and-prepare-expected-extreme,https://governor.wv.gov/article/gov-morrisey-urges-caution-reminds-west-virginians-be-vigilant-and-prepare-expected-extreme
