declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
WI-EO-5,Tony Evers,5,"Executive Order 5, Declaring a State of Emergency in Response to Severe Winter Weather",2019-01-28,"https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/EO%205,%20relating%20to%20declaring%20a%20state%20of%20Emergency.pdf"
WI-EO-16,Tony Evers,16,"Executive Order 16, Relating to Declaring a State of Emergency in Response to Widespread Flooding",2019-03-15,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/EO%2016.pdf
WI-EO-35,Tony Evers,35,"Executive Order 35, Relating to a Proclamation Declaring a State of Emergency Due to Extreme Severe Weather",2019-07-21,https://evers.wi.gov/Documents/EO%20035%20-%20Declaring%20a%20State%20of%20Emergency.pdf
WI-EO-47,Tony Evers,47,"Executive Order 47, Relating to a Proclamation Declaring a State of Emergency Due to Severe Weather and Flooding",2019-09-25,https://evers.wi.gov/Documents/EO/EO047-StateOfEmergencyWeatherChippewaClarkDunn.pdf
WI-EO-68,Tony Evers,68,"Executive Order 68, Relating to a Proclamation Declaring a State of Emergency in Response to Damaging Winds and Lakeshore Flooding",2020-01-31,https://evers.wi.gov/Documents/EO/EO068-DeclaringEmergencyLakeshore.pdf
WI-EO-75,Tony Evers,75,Gov. Evers Executive Order 75: Relating to Declaring a State of Emergency in Response to Elevated Wildfire Conditions,2020-04-21,https://evers.wi.gov/Documents/COVID19/EO075-DeclaringaStateofEmergencyWildFires.pdf
WI-EO-110,Tony Evers,110,Gov. Evers Executive Order 110: Relating to Declaring a State of Emergency in Response to Elevated Wildfire Conditions,2021-04-05,https://evers.wi.gov/Documents/EO/EO110-DeclaringaStateofEmergencyWildfires.pdf
WI-EO-128,Tony Evers,128,Gov. Evers Executive Order 128: Relating to a Proclamation Declaring a State of Emergency Due to Severe Weather,2021-07-29,https://evers.wi.gov/Documents/EO/EO128-StateofEmergencySevereWeather.pdf
WI-EO-191,Tony Evers,191,Gov. Evers Executive Order #191: Relating to a Declaration of a State of Emergency in Response to Elevated Wildfire Conditions,2023-04-12,https://evers.wi.gov/Documents/EO/EO191-WildfireConditions.pdf
WI-EO-194,Tony Evers,194,Gov. Evers Executive Order #194: Relating to a Proclamation Declaring a State of Emergency in Response to Widespread Flooding,2023-04-18,https://evers.wi.gov/Documents/EO/EO194-FloodingEmergency.pdf
WI-EO-232,Tony Evers,232,Gov. Evers Executive Order #232: Declaring a State of Emergency in Response to Severe Weather,2024-06-28,https://evers.wi.gov/Documents/EO/EO232-StateofEmergencySevereWeather.pdf
WI-EO-234,Tony Evers,234,Gov. Evers Executive Order #234: Declaring a State of Emergency in Response to Widespread Flooding,2024-07-12,https://evers.wi.gov/Documents/EO/EO234-StateofEmergencyFlooding.pdf
WI-EO-256,Tony Evers,256,Gov. Evers Executive Order #256: Declaring a State of Emergency in Response to Severe Weather,2025-04-01,https://evers.wi.gov/Documents/EO/EO256-SevereWeatherEmergency.pdf
WI-EO-272,Tony Evers,272,Gov. Evers Executive Order #272: Declaring a State of Emergency in Response to Flooding and Severe Weather Impacts,2025-08-11,https://evers.wi.gov/Documents/EO/EO272-EmergencyOrderFlooding.pdf
WI-EO-286,Tony Evers,286,Gov. Evers Executive Order #286: Declaring a State of Emergency in Response to Severe Winter Weather,2026-03-14,https://evers.wi.gov/Documents/EO/EO286-EmergencyOrderWinterWeather.pdf
WI-EO-289,Tony Evers,289,Gov. Evers Executive Order #289: Declaring a State of Emergency in Response to Flooding and Severe Weather Impacts,2026-04-15,https://evers.wi.gov/Documents/EO/EO289-EmergencyOrderFlooding.pdf
WI-EO-300,Tony Evers,300,Gov. Evers Executive Order #300: Declaring a State of Emergency in Response to Severe Weather,2026-07-28,https://evers.wi.gov/Documents/EO/EO300-EmergencyOrderSevereWeather.pdf
WI-EO-301,Tony Evers,301,Gov. Evers Executive Order #301: Relating to Declaring a State of Emergency in Response to Severe Weather,2026-08-03,https://evers.wi.gov/Documents/EO/EO301-EmergencyOrderHoursofService.pdf
