declaration_id,eo_number,title,date_signed,action_type,hazard_category,archive_record_url
WI-EO-1,1,"Executive Order 1, Relating to Prohibiting Discrimination In State Employment",2019-01-07,other,,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/EO%201%20relating%20to%20prohibiting%20discrimination%20in%20state%20employment.pdf
WI-EO-2,2,"Executive Order 2, Relating to Recognizing and Respecting State Employees",2019-01-07,other,,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/EO%202%20relating%20to%20recognizing%20and%20respecting%20state%20employees.pdf
WI-EO-3,3,"Executive Order 3, Relating to The Creation of Healthy Communities Initiative",2019-01-08,other,,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/EO%203%20relating%20to%20the%20creation%20of%20healthy%20communities%20initiative.pdf
WI-EO-4,4,"Executive Order 4, Relating to The Preservation of Insurance Protection",2019-01-08,other,,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/EO%204%20Relating%20to%20the%20preservation%20of%20insurance%20protection.pdf
WI-EO-5,5,"Executive Order 5, Declaring a State of Emergency in Response to Severe Winter Weather",2019-01-28,declaration,winter,"https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/EO%205,%20relating%20to%20declaring%20a%20state%20of%20Emergency.pdf"
WI-EO-6,6,"Executive Order 6, Relating to Recreating Non-Statutory Committees",2019-01-28,other,,"https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/EO%206,%20Relating%20to%20recreating%20non-statutory%20committees.pdf"
WI-EO-7,7,"Executive Order 7, Relating to Declaring a State of Emergency and Closing State Office Buildings",2019-01-29,operational,,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/EO%207%20Relating%20to%20Declaring%20a%20State%20of%20Emergency%20and%20Closing%20State%20Office%20Buildings.pdf
WI-EO-8,8,"Executive Order 8, Relating to a Proclamation that the Flag of the United States and the Flag of the State of Wisconsin Be Flown at Half-Staff as a Mark of Respect for Officer Matthew Rittner of the Milwaukee Police Department",2019-02-07,other,,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/E.O.%208%20Relating%20to%20a%20Proclamation%20that%20the%20Flag%20of%20the%20United%20States.pdf
WI-EO-9,9,"Executive Order 9, Relating to a Special Election for the Sixty-Fourth Assembly District",2019-02-14,other,,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/EO%209%20Relating%20to%20a%20special%20election.pdf
WI-EO-10,10,"Executive Order 10, Relating to a Proclamation that the Flag of the United States and the Flag of the State of Wisconsin Be Flown at Half-Staff as a Mark of Respect for City of Milwaukee Department of Public Works Employee Bryan Rodriguez",2019-02-15,other,,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/E.O.%2010%20Relating%20to%20lowering%20the%20flags.pdf
WI-EO-11,11,"Executive Order 11, Relating to the Creation of the Governor's Task Force on Caregiving",2019-02-18,other,,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/E.O%2011%20Relating%20to%20the%20Creation%20of%20the%20Governor%27s%20Task%20Force%20on%20Caregiving.pdf
WI-EO-12,12,"Executive Order 12, Relating to Declaring an Energy Emergency",2019-02-21,operational,,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/EO%2012%20Relating%20to%20Declaring%20an%20Energy%20Emergency.pdf
WI-EO-13,13,"Executive Order 13, Relating to Withdrawing the Wisconsin National Guard Assisting at the Southwest Border",2019-02-25,other,,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/E.O.%2013%20Relating%20to%20Withdrawing%20WI%20National%20Guard.pdf
WI-EO-14,14,"Executive Order 14, Relating to the Accessibility of Division of Motor Vehicles Facilities and Department of Transportation-Issued Voter Identification",2019-03-04,other,,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/E.O%2014%20Relating%20to%20the%20Accessibility%20of%20Division%20of%20Motor%20Vehicles%20Facilities.pdf
WI-EO-15,15,"Executive Order 15, Relating to Inclusive Language in Administrative Rules",2019-03-12,other,,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/EO%2015%20(1).pdf
WI-EO-16,16,"Executive Order 16, Relating to Declaring a State of Emergency in Response to Widespread Flooding",2019-03-15,declaration,flood,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/EO%2016.pdf
WI-EO-17,17,"Executive Order 17, Relating to the Creation of the Governor's Health Equity Council",2019-03-19,other,,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/EO%20017%20Relating%20to%20creating%20the%20health%20equity%20council%20-%20Copy.pdf
WI-EO-18,18,"Executive Order 18, Relating to an Affirmation of the Intergovernmental Relationships Among the State of Wisconsin and Tribal Nations Located Within the State",2019-04-09,other,,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/EO%20018%20relating%20to%20affirmation%20of%20the%20intergovernmental%20relationship%20among%20the%20state%20of%20Wisconsin%20and%20Tribal%20Nations%20located%20within%20the%20state.pdf
WI-EO-19,19,"Executive Order 19, Relating to the Creation of the Committee to Celebrate the Centennial Anniversary of Wisconsin's Ratification of the 19th Amendment",2019-04-11,other,,https://evers.wi.gov/Pages/Newsroom/Executive%20Orders/EO%2019%20Relating%20to%20the%20creation%20of%20the%20Committee%20to%20Celebrate%20the%20centennial%20Anniversary%20of%20Wisconsin%27s%20Ratification%20of%20the%2019th%20Amendment.pdf
